timestep,agg_RIS,category,date,NER,NER_SA
M,Census Divisions,East North Central,2010-01-01,16009000.0,16203000.0
M,Census Divisions,East North Central,2010-02-01,15943000.0,16169000.0
M,Census Divisions,East North Central,2010-03-01,16034000.0,16237000.0
M,Census Divisions,East North Central,2010-04-01,16184000.0,16279000.0
M,Census Divisions,East North Central,2010-05-01,16312000.0,16315000.0
M,Census Divisions,East North Central,2010-06-01,16524000.0,16339000.0
M,Census Divisions,East North Central,2010-07-01,16568000.0,16370000.0
M,Census Divisions,East North Central,2010-08-01,16614000.0,16394000.0
M,Census Divisions,East North Central,2010-09-01,16616000.0,16439000.0
M,Census Divisions,East North Central,2010-10-01,16649000.0,16472000.0
M,Census Divisions,East North Central,2010-11-01,16696000.0,16545000.0
M,Census Divisions,East North Central,2010-12-01,16488000.0,16523000.0
M,Census Divisions,East North Central,2011-01-01,16364000.0,16553000.0
M,Census Divisions,East North Central,2011-02-01,16358000.0,16587000.0
M,Census Divisions,East North Central,2011-03-01,16462000.0,16646000.0
M,Census Divisions,East North Central,2011-04-01,16595000.0,16694000.0
M,Census Divisions,East North Central,2011-05-01,16718000.0,16726000.0
M,Census Divisions,East North Central,2011-06-01,16963000.0,16781000.0
M,Census Divisions,East North Central,2011-07-01,17010000.0,16814000.0
M,Census Divisions,East North Central,2011-08-01,17076000.0,16855000.0
M,Census Divisions,East North Central,2011-09-01,17084000.0,16909000.0
M,Census Divisions,East North Central,2011-10-01,17132000.0,16953000.0
M,Census Divisions,East North Central,2011-11-01,17182000.0,17011000.0
M,Census Divisions,East North Central,2011-12-01,16997000.0,17032000.0
M,Census Divisions,East North Central,2012-01-01,16888000.0,17083000.0
M,Census Divisions,East North Central,2012-02-01,16859000.0,17102000.0
M,Census Divisions,East North Central,2012-03-01,16940000.0,17151000.0
M,Census Divisions,East North Central,2012-04-01,17061000.0,17194000.0
M,Census Divisions,East North Central,2012-05-01,17212000.0,17203000.0
M,Census Divisions,East North Central,2012-06-01,17384000.0,17222000.0
M,Census Divisions,East North Central,2012-07-01,17438000.0,17251000.0
M,Census Divisions,East North Central,2012-08-01,17458000.0,17268000.0
M,Census Divisions,East North Central,2012-09-01,17449000.0,17296000.0
M,Census Divisions,East North Central,2012-10-01,17470000.0,17313000.0
M,Census Divisions,East North Central,2012-11-01,17432000.0,17301000.0
M,Census Divisions,East North Central,2012-12-01,17230000.0,17295000.0
M,Census Divisions,East North Central,2013-01-01,17133000.0,17347000.0
M,Census Divisions,East North Central,2013-02-01,17128000.0,17372000.0
M,Census Divisions,East North Central,2013-03-01,17176000.0,17401000.0
M,Census Divisions,East North Central,2013-04-01,17252000.0,17413000.0
M,Census Divisions,East North Central,2013-05-01,17431000.0,17446000.0
M,Census Divisions,East North Central,2013-06-01,17621000.0,17469000.0
M,Census Divisions,East North Central,2013-07-01,17650000.0,17463000.0
M,Census Divisions,East North Central,2013-08-01,17690000.0,17499000.0
M,Census Divisions,East North Central,2013-09-01,17657000.0,17512000.0
M,Census Divisions,East North Central,2013-10-01,17669000.0,17526000.0
M,Census Divisions,East North Central,2013-11-01,17681000.0,17557000.0
M,Census Divisions,East North Central,2013-12-01,17548000.0,17610000.0
M,Census Divisions,East North Central,2014-01-01,17420000.0,17641000.0
M,Census Divisions,East North Central,2014-02-01,17425000.0,17673000.0
M,Census Divisions,East North Central,2014-03-01,17457000.0,17695000.0
M,Census Divisions,East North Central,2014-04-01,17590000.0,17759000.0
M,Census Divisions,East North Central,2014-05-01,17771000.0,17805000.0
M,Census Divisions,East North Central,2014-06-01,17982000.0,17836000.0
M,Census Divisions,East North Central,2014-07-01,18093000.0,17908000.0
M,Census Divisions,East North Central,2014-08-01,18098000.0,17902000.0
M,Census Divisions,East North Central,2014-09-01,18052000.0,17907000.0
M,Census Divisions,East North Central,2014-10-01,18103000.0,17959000.0
M,Census Divisions,East North Central,2014-11-01,18123000.0,18001000.0
M,Census Divisions,East North Central,2014-12-01,17974000.0,18031000.0
M,Census Divisions,East North Central,2015-01-01,17817000.0,18041000.0
M,Census Divisions,East North Central,2015-02-01,17779000.0,18031000.0
M,Census Divisions,East North Central,2015-03-01,17781000.0,18032000.0
M,Census Divisions,East North Central,2015-04-01,17895000.0,18084000.0
M,Census Divisions,East North Central,2015-05-01,18149000.0,18205000.0
M,Census Divisions,East North Central,2015-06-01,18384000.0,18246000.0
M,Census Divisions,East North Central,2015-07-01,18421000.0,18238000.0
M,Census Divisions,East North Central,2015-08-01,18509000.0,18309000.0
M,Census Divisions,East North Central,2015-09-01,18501000.0,18349000.0
M,Census Divisions,East North Central,2015-10-01,18517000.0,18370000.0
M,Census Divisions,East North Central,2015-11-01,18515000.0,18395000.0
M,Census Divisions,East North Central,2015-12-01,18292000.0,18364000.0
M,Census Divisions,East North Central,2016-01-01,18102000.0,18323000.0
M,Census Divisions,East North Central,2016-02-01,18063000.0,18317000.0
M,Census Divisions,East North Central,2016-03-01,18087000.0,18349000.0
M,Census Divisions,East North Central,2016-04-01,18160000.0,18362000.0
M,Census Divisions,East North Central,2016-05-01,18276000.0,18358000.0
M,Census Divisions,East North Central,2016-06-01,18566000.0,18416000.0
M,Census Divisions,East North Central,2016-07-01,18630000.0,18440000.0
M,Census Divisions,East North Central,2016-08-01,18704000.0,18497000.0
M,Census Divisions,East North Central,2016-09-01,18679000.0,18526000.0
M,Census Divisions,East North Central,2016-10-01,18685000.0,18535000.0
M,Census Divisions,East North Central,2016-11-01,18690000.0,18558000.0
M,Census Divisions,East North Central,2016-12-01,18491000.0,18552000.0
M,Census Divisions,East North Central,2017-01-01,18330000.0,18540000.0
M,Census Divisions,East North Central,2017-02-01,18288000.0,18542000.0
M,Census Divisions,East North Central,2017-03-01,18336000.0,18596000.0
M,Census Divisions,East North Central,2017-04-01,18392000.0,18604000.0
M,Census Divisions,East North Central,2017-05-01,18511000.0,18618000.0
M,Census Divisions,East North Central,2017-06-01,18782000.0,18642000.0
M,Census Divisions,East North Central,2017-07-01,18867000.0,18673000.0
M,Census Divisions,East North Central,2017-08-01,18872000.0,18684000.0
M,Census Divisions,East North Central,2017-09-01,18846000.0,18702000.0
M,Census Divisions,East North Central,2017-10-01,18871000.0,18730000.0
M,Census Divisions,East North Central,2017-11-01,18860000.0,18742000.0
M,Census Divisions,East North Central,2017-12-01,18660000.0,18724000.0
M,Census Divisions,East North Central,2018-01-01,18536000.0,18741000.0
M,Census Divisions,East North Central,2018-02-01,18534000.0,18775000.0
M,Census Divisions,East North Central,2018-03-01,18442000.0,18707000.0
M,Census Divisions,East North Central,2018-04-01,18470000.0,18696000.0
M,Census Divisions,East North Central,2018-05-01,18668000.0,18735000.0
M,Census Divisions,East North Central,2018-06-01,18913000.0,18782000.0
M,Census Divisions,East North Central,2018-07-01,19033000.0,18831000.0
M,Census Divisions,East North Central,2018-08-01,18988000.0,18803000.0
M,Census Divisions,East North Central,2018-09-01,18948000.0,18812000.0
M,Census Divisions,East North Central,2018-10-01,18947000.0,18821000.0
M,Census Divisions,East North Central,2018-11-01,18948000.0,18845000.0
M,Census Divisions,East North Central,2018-12-01,18790000.0,18856000.0
M,Census Divisions,East North Central,2019-01-01,18651000.0,18851000.0
M,Census Divisions,East North Central,2019-02-01,18602000.0,18829000.0
M,Census Divisions,East North Central,2019-03-01,18587000.0,18829000.0
M,Census Divisions,East North Central,2019-04-01,18623000.0,18824000.0
M,Census Divisions,East North Central,2019-05-01,18732000.0,18796000.0
M,Census Divisions,East North Central,2019-06-01,18940000.0,18799000.0
M,Census Divisions,East North Central,2019-07-01,18998000.0,18782000.0
M,Census Divisions,East North Central,2019-08-01,18958000.0,18758000.0
M,Census Divisions,East North Central,2019-09-01,18873000.0,18729000.0
M,Census Divisions,East North Central,2019-10-01,18824000.0,18692000.0
M,Census Divisions,East North Central,2019-11-01,18724000.0,18639000.0
M,Census Divisions,East North Central,2019-12-01,18578000.0,18647000.0
M,Census Divisions,East North Central,2020-01-01,18384000.0,18583000.0
M,Census Divisions,East North Central,2020-02-01,18322000.0,18549000.0
M,Census Divisions,East North Central,2020-03-01,18321000.0,18566000.0
M,Census Divisions,East North Central,2020-04-01,17450000.0,17645000.0
M,Census Divisions,East North Central,2020-05-01,17450000.0,17526000.0
M,Census Divisions,East North Central,2020-06-01,17668000.0,17534000.0
M,Census Divisions,East North Central,2020-07-01,17713000.0,17486000.0
M,Census Divisions,East North Central,2020-08-01,17751000.0,17544000.0
M,Census Divisions,East North Central,2020-09-01,17718000.0,17570000.0
M,Census Divisions,East North Central,2020-10-01,17725000.0,17592000.0
M,Census Divisions,East North Central,2020-11-01,17666000.0,17583000.0
M,Census Divisions,East North Central,2020-12-01,17547000.0,17622000.0
M,Census Divisions,East North Central,2021-01-01,17423000.0,17622000.0
M,Census Divisions,East North Central,2021-02-01,17386000.0,17614000.0
M,Census Divisions,East North Central,2021-03-01,17420000.0,17670000.0
M,Census Divisions,East North Central,2021-04-01,17516000.0,17713000.0
M,Census Divisions,East North Central,2021-05-01,17611000.0,17699000.0
M,Census Divisions,East North Central,2021-06-01,17854000.0,17687000.0
M,Census Divisions,East North Central,2021-07-01,18002000.0,17779000.0
M,Census Divisions,East North Central,2021-08-01,18089000.0,17878000.0
M,Census Divisions,East North Central,2021-09-01,18127000.0,17982000.0
