Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES2000000001,2006,M01,2006 Jan,7601,68,0.9
CES2000000001,2006,M02,2006 Feb,7664,63,0.8
CES2000000001,2006,M03,2006 Mar,7689,25,0.3
CES2000000001,2006,M04,2006 Apr,7726,37,0.5
CES2000000001,2006,M05,2006 May,7713,-13,-0.2
CES2000000001,2006,M06,2006 Jun,7699,-14,-0.2
CES2000000001,2006,M07,2006 Jul,7712,13,0.2
CES2000000001,2006,M08,2006 Aug,7720,8,0.1
CES2000000001,2006,M09,2006 Sep,7718,-2,0.0
CES2000000001,2006,M10,2006 Oct,7682,-36,-0.5
CES2000000001,2006,M11,2006 Nov,7666,-16,-0.2
CES2000000001,2006,M12,2006 Dec,7685,19,0.2
CES2000000001,2007,M01,2007 Jan,7725,40,0.5
CES2000000001,2007,M02,2007 Feb,7626,-99,-1.3
CES2000000001,2007,M03,2007 Mar,7706,80,1.0
CES2000000001,2007,M04,2007 Apr,7686,-20,-0.3
CES2000000001,2007,M05,2007 May,7673,-13,-0.2
CES2000000001,2007,M06,2007 Jun,7687,14,0.2
CES2000000001,2007,M07,2007 Jul,7660,-27,-0.4
CES2000000001,2007,M08,2007 Aug,7610,-50,-0.7
CES2000000001,2007,M09,2007 Sep,7577,-33,-0.4
CES2000000001,2007,M10,2007 Oct,7565,-12,-0.2
CES2000000001,2007,M11,2007 Nov,7523,-42,-0.6
CES2000000001,2007,M12,2007 Dec,7490,-33,-0.4
CES2000000001,2008,M01,2008 Jan,7476,-14,-0.2
CES2000000001,2008,M02,2008 Feb,7453,-23,-0.3
CES2000000001,2008,M03,2008 Mar,7406,-47,-0.6
CES2000000001,2008,M04,2008 Apr,7327,-79,-1.1
CES2000000001,2008,M05,2008 May,7274,-53,-0.7
CES2000000001,2008,M06,2008 Jun,7213,-61,-0.8
CES2000000001,2008,M07,2008 Jul,7160,-53,-0.7
CES2000000001,2008,M08,2008 Aug,7114,-46,-0.6
CES2000000001,2008,M09,2008 Sep,7044,-70,-1.0
CES2000000001,2008,M10,2008 Oct,6967,-77,-1.1
CES2000000001,2008,M11,2008 Nov,6813,-154,-2.2
CES2000000001,2008,M12,2008 Dec,6701,-112,-1.6
CES2000000001,2009,M01,2009 Jan,6567,-134,-2.0
CES2000000001,2009,M02,2009 Feb,6446,-121,-1.8
CES2000000001,2009,M03,2009 Mar,6291,-155,-2.4
CES2000000001,2009,M04,2009 Apr,6154,-137,-2.2
CES2000000001,2009,M05,2009 May,6100,-54,-0.9
CES2000000001,2009,M06,2009 Jun,6010,-90,-1.5
CES2000000001,2009,M07,2009 Jul,5932,-78,-1.3
CES2000000001,2009,M08,2009 Aug,5855,-77,-1.3
CES2000000001,2009,M09,2009 Sep,5787,-68,-1.2
CES2000000001,2009,M10,2009 Oct,5716,-71,-1.2
CES2000000001,2009,M11,2009 Nov,5696,-20,-0.3
CES2000000001,2009,M12,2009 Dec,5654,-42,-0.7
CES2000000001,2010,M01,2010 Jan,5580,-74,-1.3
CES2000000001,2010,M02,2010 Feb,5500,-80,-1.4
CES2000000001,2010,M03,2010 Mar,5537,37,0.7
CES2000000001,2010,M04,2010 Apr,5553,16,0.3
CES2000000001,2010,M05,2010 May,5520,-33,-0.6
CES2000000001,2010,M06,2010 Jun,5516,-4,-0.1
CES2000000001,2010,M07,2010 Jul,5508,-8,-0.1
CES2000000001,2010,M08,2010 Aug,5524,16,0.3
CES2000000001,2010,M09,2010 Sep,5501,-23,-0.4
CES2000000001,2010,M10,2010 Oct,5508,7,0.1
CES2000000001,2010,M11,2010 Nov,5506,-2,0.0
CES2000000001,2010,M12,2010 Dec,5467,-39,-0.7
CES2000000001,2011,M01,2011 Jan,5427,-40,-0.7
CES2000000001,2011,M02,2011 Feb,5451,24,0.4
CES2000000001,2011,M03,2011 Mar,5477,26,0.5
CES2000000001,2011,M04,2011 Apr,5485,8,0.1
CES2000000001,2011,M05,2011 May,5516,31,0.6
CES2000000001,2011,M06,2011 Jun,5528,12,0.2
CES2000000001,2011,M07,2011 Jul,5547,19,0.3
CES2000000001,2011,M08,2011 Aug,5552,5,0.1
CES2000000001,2011,M09,2011 Sep,5584,32,0.6
CES2000000001,2011,M10,2011 Oct,5588,4,0.1
CES2000000001,2011,M11,2011 Nov,5593,5,0.1
CES2000000001,2011,M12,2011 Dec,5611,18,0.3
CES2000000001,2012,M01,2012 Jan,5626,15,0.3
CES2000000001,2012,M02,2012 Feb,5629,3,0.1
CES2000000001,2012,M03,2012 Mar,5625,-4,-0.1
CES2000000001,2012,M04,2012 Apr,5618,-7,-0.1
CES2000000001,2012,M05,2012 May,5604,-14,-0.2
CES2000000001,2012,M06,2012 Jun,5621,17,0.3
CES2000000001,2012,M07,2012 Jul,5632,11,0.2
CES2000000001,2012,M08,2012 Aug,5648,16,0.3
CES2000000001,2012,M09,2012 Sep,5661,13,0.2
CES2000000001,2012,M10,2012 Oct,5674,13,0.2
CES2000000001,2012,M11,2012 Nov,5684,10,0.2
CES2000000001,2012,M12,2012 Dec,5724,40,0.7
CES2000000001,2013,M01,2013 Jan,5746,22,0.4
CES2000000001,2013,M02,2013 Feb,5784,38,0.7
CES2000000001,2013,M03,2013 Mar,5802,18,0.3
CES2000000001,2013,M04,2013 Apr,5796,-6,-0.1
CES2000000001,2013,M05,2013 May,5829,33,0.6
CES2000000001,2013,M06,2013 Jun,5855,26,0.4
CES2000000001,2013,M07,2013 Jul,5859,4,0.1
CES2000000001,2013,M08,2013 Aug,5878,19,0.3
CES2000000001,2013,M09,2013 Sep,5910,32,0.5
CES2000000001,2013,M10,2013 Oct,5931,21,0.4
CES2000000001,2013,M11,2013 Nov,5963,32,0.5
CES2000000001,2013,M12,2013 Dec,5932,-31,-0.5
CES2000000001,2014,M01,2014 Jan,5985,53,0.9
CES2000000001,2014,M02,2014 Feb,6007,22,0.4
CES2000000001,2014,M03,2014 Mar,6038,31,0.5
CES2000000001,2014,M04,2014 Apr,6084,46,0.8
CES2000000001,2014,M05,2014 May,6109,25,0.4
CES2000000001,2014,M06,2014 Jun,6133,24,0.4
CES2000000001,2014,M07,2014 Jul,6178,45,0.7
CES2000000001,2014,M08,2014 Aug,6210,32,0.5
CES2000000001,2014,M09,2014 Sep,6242,32,0.5
CES2000000001,2014,M10,2014 Oct,6259,17,0.3
CES2000000001,2014,M11,2014 Nov,6272,13,0.2
CES2000000001,2014,M12,2014 Dec,6293,21,0.3
CES2000000001,2015,M01,2015 Jan,6320,27,0.4
CES2000000001,2015,M02,2015 Feb,6361,41,0.6
CES2000000001,2015,M03,2015 Mar,6334,-27,-0.4
