Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU230000000000000HIL,2006,M01,2006 Jan,453,153,51.0
JTU230000000000000HIL,2006,M02,2006 Feb,387,-66,-14.6
JTU230000000000000HIL,2006,M03,2006 Mar,502,115,29.7
JTU230000000000000HIL,2006,M04,2006 Apr,646,144,28.7
JTU230000000000000HIL,2006,M05,2006 May,629,-17,-2.6
JTU230000000000000HIL,2006,M06,2006 Jun,540,-89,-14.1
JTU230000000000000HIL,2006,M07,2006 Jul,541,1,0.2
JTU230000000000000HIL,2006,M08,2006 Aug,418,-123,-22.7
JTU230000000000000HIL,2006,M09,2006 Sep,404,-14,-3.3
JTU230000000000000HIL,2006,M10,2006 Oct,426,22,5.4
JTU230000000000000HIL,2006,M11,2006 Nov,351,-75,-17.6
JTU230000000000000HIL,2006,M12,2006 Dec,269,-82,-23.4
JTU230000000000000HIL,2007,M01,2007 Jan,389,120,44.6
JTU230000000000000HIL,2007,M02,2007 Feb,262,-127,-32.6
JTU230000000000000HIL,2007,M03,2007 Mar,507,245,93.5
JTU230000000000000HIL,2007,M04,2007 Apr,566,59,11.6
JTU230000000000000HIL,2007,M05,2007 May,523,-43,-7.6
JTU230000000000000HIL,2007,M06,2007 Jun,527,4,0.8
JTU230000000000000HIL,2007,M07,2007 Jul,483,-44,-8.3
JTU230000000000000HIL,2007,M08,2007 Aug,421,-62,-12.8
JTU230000000000000HIL,2007,M09,2007 Sep,389,-32,-7.6
JTU230000000000000HIL,2007,M10,2007 Oct,410,21,5.4
JTU230000000000000HIL,2007,M11,2007 Nov,281,-129,-31.5
JTU230000000000000HIL,2007,M12,2007 Dec,227,-54,-19.2
JTU230000000000000HIL,2008,M01,2008 Jan,337,110,48.5
JTU230000000000000HIL,2008,M02,2008 Feb,315,-22,-6.5
JTU230000000000000HIL,2008,M03,2008 Mar,400,85,27.0
JTU230000000000000HIL,2008,M04,2008 Apr,548,148,37.0
JTU230000000000000HIL,2008,M05,2008 May,456,-92,-16.8
JTU230000000000000HIL,2008,M06,2008 Jun,456,0,0.0
JTU230000000000000HIL,2008,M07,2008 Jul,459,3,0.7
JTU230000000000000HIL,2008,M08,2008 Aug,398,-61,-13.3
JTU230000000000000HIL,2008,M09,2008 Sep,317,-81,-20.4
JTU230000000000000HIL,2008,M10,2008 Oct,396,79,24.9
JTU230000000000000HIL,2008,M11,2008 Nov,268,-128,-32.3
JTU230000000000000HIL,2008,M12,2008 Dec,204,-64,-23.9
JTU230000000000000HIL,2009,M01,2009 Jan,325,121,59.3
JTU230000000000000HIL,2009,M02,2009 Feb,284,-41,-12.6
JTU230000000000000HIL,2009,M03,2009 Mar,332,48,16.9
JTU230000000000000HIL,2009,M04,2009 Apr,448,116,34.9
JTU230000000000000HIL,2009,M05,2009 May,409,-39,-8.7
JTU230000000000000HIL,2009,M06,2009 Jun,333,-76,-18.6
JTU230000000000000HIL,2009,M07,2009 Jul,383,50,15.0
JTU230000000000000HIL,2009,M08,2009 Aug,260,-123,-32.1
JTU230000000000000HIL,2009,M09,2009 Sep,304,44,16.9
JTU230000000000000HIL,2009,M10,2009 Oct,316,12,3.9
JTU230000000000000HIL,2009,M11,2009 Nov,239,-77,-24.4
JTU230000000000000HIL,2009,M12,2009 Dec,198,-41,-17.2
JTU230000000000000HIL,2010,M01,2010 Jan,271,73,36.9
JTU230000000000000HIL,2010,M02,2010 Feb,236,-35,-12.9
JTU230000000000000HIL,2010,M03,2010 Mar,419,183,77.5
JTU230000000000000HIL,2010,M04,2010 Apr,487,68,16.2
JTU230000000000000HIL,2010,M05,2010 May,388,-99,-20.3
JTU230000000000000HIL,2010,M06,2010 Jun,335,-53,-13.7
JTU230000000000000HIL,2010,M07,2010 Jul,400,65,19.4
JTU230000000000000HIL,2010,M08,2010 Aug,334,-66,-16.5
JTU230000000000000HIL,2010,M09,2010 Sep,301,-33,-9.9
JTU230000000000000HIL,2010,M10,2010 Oct,357,56,18.6
JTU230000000000000HIL,2010,M11,2010 Nov,254,-103,-28.9
JTU230000000000000HIL,2010,M12,2010 Dec,213,-41,-16.1
JTU230000000000000HIL,2011,M01,2011 Jan,250,37,17.4
JTU230000000000000HIL,2011,M02,2011 Feb,290,40,16.0
JTU230000000000000HIL,2011,M03,2011 Mar,379,89,30.7
JTU230000000000000HIL,2011,M04,2011 Apr,504,125,33.0
JTU230000000000000HIL,2011,M05,2011 May,497,-7,-1.4
JTU230000000000000HIL,2011,M06,2011 Jun,476,-21,-4.2
JTU230000000000000HIL,2011,M07,2011 Jul,402,-74,-15.5
JTU230000000000000HIL,2011,M08,2011 Aug,336,-66,-16.4
JTU230000000000000HIL,2011,M09,2011 Sep,361,25,7.4
JTU230000000000000HIL,2011,M10,2011 Oct,331,-30,-8.3
JTU230000000000000HIL,2011,M11,2011 Nov,241,-90,-27.2
