Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU230000000000000JOL,2006,M01,2006 Jan,156,39,33.3
JTU230000000000000JOL,2006,M02,2006 Feb,146,-10,-6.4
JTU230000000000000JOL,2006,M03,2006 Mar,185,39,26.7
JTU230000000000000JOL,2006,M04,2006 Apr,222,37,20.0
JTU230000000000000JOL,2006,M05,2006 May,182,-40,-18.0
JTU230000000000000JOL,2006,M06,2006 Jun,185,3,1.6
JTU230000000000000JOL,2006,M07,2006 Jul,199,14,7.6
JTU230000000000000JOL,2006,M08,2006 Aug,202,3,1.5
JTU230000000000000JOL,2006,M09,2006 Sep,174,-28,-13.9
JTU230000000000000JOL,2006,M10,2006 Oct,157,-17,-9.8
JTU230000000000000JOL,2006,M11,2006 Nov,105,-52,-33.1
JTU230000000000000JOL,2006,M12,2006 Dec,103,-2,-1.9
JTU230000000000000JOL,2007,M01,2007 Jan,242,139,135.0
JTU230000000000000JOL,2007,M02,2007 Feb,231,-11,-4.5
JTU230000000000000JOL,2007,M03,2007 Mar,191,-40,-17.3
JTU230000000000000JOL,2007,M04,2007 Apr,221,30,15.7
JTU230000000000000JOL,2007,M05,2007 May,191,-30,-13.6
JTU230000000000000JOL,2007,M06,2007 Jun,189,-2,-1.0
JTU230000000000000JOL,2007,M07,2007 Jul,208,19,10.1
JTU230000000000000JOL,2007,M08,2007 Aug,178,-30,-14.4
JTU230000000000000JOL,2007,M09,2007 Sep,144,-34,-19.1
JTU230000000000000JOL,2007,M10,2007 Oct,161,17,11.8
JTU230000000000000JOL,2007,M11,2007 Nov,107,-54,-33.5
JTU230000000000000JOL,2007,M12,2007 Dec,106,-1,-0.9
JTU230000000000000JOL,2008,M01,2008 Jan,145,39,36.8
JTU230000000000000JOL,2008,M02,2008 Feb,121,-24,-16.6
JTU230000000000000JOL,2008,M03,2008 Mar,108,-13,-10.7
JTU230000000000000JOL,2008,M04,2008 Apr,122,14,13.0
JTU230000000000000JOL,2008,M05,2008 May,189,67,54.9
JTU230000000000000JOL,2008,M06,2008 Jun,145,-44,-23.3
JTU230000000000000JOL,2008,M07,2008 Jul,132,-13,-9.0
JTU230000000000000JOL,2008,M08,2008 Aug,88,-44,-33.3
JTU230000000000000JOL,2008,M09,2008 Sep,115,27,30.7
JTU230000000000000JOL,2008,M10,2008 Oct,71,-44,-38.3
JTU230000000000000JOL,2008,M11,2008 Nov,52,-19,-26.8
JTU230000000000000JOL,2008,M12,2008 Dec,46,-6,-11.5
JTU230000000000000JOL,2009,M01,2009 Jan,38,-8,-17.4
JTU230000000000000JOL,2009,M02,2009 Feb,73,35,92.1
JTU230000000000000JOL,2009,M03,2009 Mar,48,-25,-34.2
JTU230000000000000JOL,2009,M04,2009 Apr,29,-19,-39.6
JTU230000000000000JOL,2009,M05,2009 May,51,22,75.9
JTU230000000000000JOL,2009,M06,2009 Jun,67,16,31.4
JTU230000000000000JOL,2009,M07,2009 Jul,50,-17,-25.4
JTU230000000000000JOL,2009,M08,2009 Aug,65,15,30.0
JTU230000000000000JOL,2009,M09,2009 Sep,66,1,1.5
JTU230000000000000JOL,2009,M10,2009 Oct,54,-12,-18.2
JTU230000000000000JOL,2009,M11,2009 Nov,49,-5,-9.3
JTU230000000000000JOL,2009,M12,2009 Dec,55,6,12.2
JTU230000000000000JOL,2010,M01,2010 Jan,54,-1,-1.8
JTU230000000000000JOL,2010,M02,2010 Feb,65,11,20.4
JTU230000000000000JOL,2010,M03,2010 Mar,86,21,32.3
JTU230000000000000JOL,2010,M04,2010 Apr,101,15,17.4
JTU230000000000000JOL,2010,M05,2010 May,88,-13,-12.9
JTU230000000000000JOL,2010,M06,2010 Jun,83,-5,-5.7
JTU230000000000000JOL,2010,M07,2010 Jul,113,30,36.1
JTU230000000000000JOL,2010,M08,2010 Aug,59,-54,-47.8
JTU230000000000000JOL,2010,M09,2010 Sep,78,19,32.2
JTU230000000000000JOL,2010,M10,2010 Oct,67,-11,-14.1
JTU230000000000000JOL,2010,M11,2010 Nov,66,-1,-1.5
JTU230000000000000JOL,2010,M12,2010 Dec,32,-34,-51.5
JTU230000000000000JOL,2011,M01,2011 Jan,61,29,90.6
JTU230000000000000JOL,2011,M02,2011 Feb,45,-16,-26.2
JTU230000000000000JOL,2011,M03,2011 Mar,67,22,48.9
JTU230000000000000JOL,2011,M04,2011 Apr,91,24,35.8
JTU230000000000000JOL,2011,M05,2011 May,124,33,36.3
JTU230000000000000JOL,2011,M06,2011 Jun,77,-47,-37.9
JTU230000000000000JOL,2011,M07,2011 Jul,94,17,22.1
JTU230000000000000JOL,2011,M08,2011 Aug,111,17,18.1
JTU230000000000000JOL,2011,M09,2011 Sep,87,-24,-21.6
JTU230000000000000JOL,2011,M10,2011 Oct,82,-5,-5.7
JTU230000000000000JOL,2011,M11,2011 Nov,63,-19,-23.2
JTU230000000000000JOL,2011,M12,2011 Dec,56,-7,-11.1
JTU230000000000000JOL,2012,M01,2012 Jan,85,29,51.8
JTU230000000000000JOL,2012,M02,2012 Feb,61,-24,-28.2
JTU230000000000000JOL,2012,M03,2012 Mar,94,33,54.1
JTU230000000000000JOL,2012,M04,2012 Apr,134,40,42.6
JTU230000000000000JOL,2012,M05,2012 May,105,-29,-21.6
JTU230000000000000JOL,2012,M06,2012 Jun,70,-35,-33.3
JTU230000000000000JOL,2012,M07,2012 Jul,95,25,35.7
JTU230000000000000JOL,2012,M08,2012 Aug,134,39,41.1
JTU230000000000000JOL,2012,M09,2012 Sep,92,-42,-31.3
JTU230000000000000JOL,2012,M10,2012 Oct,107,15,16.3
JTU230000000000000JOL,2012,M11,2012 Nov,73,-34,-31.8
JTU230000000000000JOL,2012,M12,2012 Dec,93,20,27.4
JTU230000000000000JOL,2013,M01,2013 Jan,116,23,24.7
JTU230000000000000JOL,2013,M02,2013 Feb,121,5,4.3
JTU230000000000000JOL,2013,M03,2013 Mar,121,0,0.0
JTU230000000000000JOL,2013,M04,2013 Apr,133,12,9.9
JTU230000000000000JOL,2013,M05,2013 May,137,4,3.0
JTU230000000000000JOL,2013,M06,2013 Jun,146,9,6.6
JTU230000000000000JOL,2013,M07,2013 Jul,111,-35,-24.0
JTU230000000000000JOL,2013,M08,2013 Aug,129,18,16.2
JTU230000000000000JOL,2013,M09,2013 Sep,121,-8,-6.2
JTU230000000000000JOL,2013,M10,2013 Oct,141,20,16.5
JTU230000000000000JOL,2013,M11,2013 Nov,117,-24,-17.0
JTU230000000000000JOL,2013,M12,2013 Dec,86,-31,-26.5
JTU230000000000000JOL,2014,M01,2014 Jan,152,66,76.7
JTU230000000000000JOL,2014,M02,2014 Feb,122,-30,-19.7
JTU230000000000000JOL,2014,M03,2014 Mar,130,8,6.6
JTU230000000000000JOL,2014,M04,2014 Apr,137,7,5.4
JTU230000000000000JOL,2014,M05,2014 May,137,0,0.0
JTU230000000000000JOL,2014,M06,2014 Jun,171,34,24.8
JTU230000000000000JOL,2014,M07,2014 Jul,158,-13,-7.6
JTU230000000000000JOL,2014,M08,2014 Aug,148,-10,-6.3
JTU230000000000000JOL,2014,M09,2014 Sep,105,-43,-29.1
JTU230000000000000JOL,2014,M10,2014 Oct,156,51,48.6
JTU230000000000000JOL,2014,M11,2014 Nov,104,-52,-33.3
JTU230000000000000JOL,2014,M12,2014 Dec,100,-4,-3.8
JTU230000000000000JOL,2015,M01,2015 Jan,148,48,48.0
JTU230000000000000JOL,2015,M02,2015 Feb,153,5,3.4
JTU230000000000000JOL,2015,M03,2015 Mar,172,19,12.4
JTU230000000000000JOL,2015,M04,2015 Apr,177,5,2.9
JTU230000000000000JOL,2015,M05,2015 May,180,3,1.7
JTU230000000000000JOL,2015,M06,2015 Jun,160,-20,-11.1
JTU230000000000000JOL,2015,M07,2015 Jul,155,-5,-3.1
JTU230000000000000JOL,2015,M08,2015 Aug,167,12,7.7
JTU230000000000000JOL,2015,M09,2015 Sep,107,-60,-35.9
JTU230000000000000JOL,2015,M10,2015 Oct,145,38,35.5
JTU230000000000000JOL,2015,M11,2015 Nov,91,-54,-37.2
JTU230000000000000JOL,2015,M12,2015 Dec,116,25,27.5
JTU230000000000000JOL,2016,M01,2016 Jan,164,48,41.4
JTU230000000000000JOL,2016,M02,2016 Feb,191,27,16.5
JTU230000000000000JOL,2016,M03,2016 Mar,216,25,13.1
JTU230000000000000JOL,2016,M04,2016 Apr,194,-22,-10.2
JTU230000000000000JOL,2016,M05,2016 May,183,-11,-5.7
JTU230000000000000JOL,2016,M06,2016 Jun,186,3,1.6
JTU230000000000000JOL,2016,M07,2016 Jul,239,53,28.5
JTU230000000000000JOL,2016,M08,2016 Aug,204,-35,-14.6
JTU230000000000000JOL,2016,M09,2016 Sep,242,38,18.6
JTU230000000000000JOL,2016,M10,2016 Oct,224,-18,-7.4
JTU230000000000000JOL,2016,M11,2016 Nov,181,-43,-19.2
JTU230000000000000JOL,2016,M12,2016 Dec,138,-43,-23.8
JTU230000000000000JOL,2017,M01,2017 Jan,150,12,8.7
JTU230000000000000JOL,2017,M02,2017 Feb,186,36,24.0
JTU230000000000000JOL,2017,M03,2017 Mar,184,-2,-1.1
JTU230000000000000JOL,2017,M04,2017 Apr,226,42,22.8
JTU230000000000000JOL,2017,M05,2017 May,182,-44,-19.5
JTU230000000000000JOL,2017,M06,2017 Jun,222,40,22.0
JTU230000000000000JOL,2017,M07,2017 Jul,241,19,8.6
JTU230000000000000JOL,2017,M08,2017 Aug,226,-15,-6.2
JTU230000000000000JOL,2017,M09,2017 Sep,180,-46,-20.4
JTU230000000000000JOL,2017,M10,2017 Oct,202,22,12.2
JTU230000000000000JOL,2017,M11,2017 Nov,218,16,7.9
JTU230000000000000JOL,2017,M12,2017 Dec,180,-38,-17.4
JTU230000000000000JOL,2018,M01,2018 Jan,240,60,33.3
JTU230000000000000JOL,2018,M02,2018 Feb,207,-33,-13.8
JTU230000000000000JOL,2018,M03,2018 Mar,231,24,11.6
JTU230000000000000JOL,2018,M04,2018 Apr,255,24,10.4
JTU230000000000000JOL,2018,M05,2018 May,279,24,9.4
JTU230000000000000JOL,2018,M06,2018 Jun,324,45,16.1
JTU230000000000000JOL,2018,M07,2018 Jul,308,-16,-4.9
JTU230000000000000JOL,2018,M08,2018 Aug,311,3,1.0
JTU230000000000000JOL,2018,M09,2018 Sep,294,-17,-5.5
