Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU230000000000000TSL,2006,M01,2006 Jan,556,16,3.0
JTU230000000000000TSL,2006,M02,2006 Feb,375,-181,-32.6
JTU230000000000000TSL,2006,M03,2006 Mar,370,-5,-1.3
JTU230000000000000TSL,2006,M04,2006 Apr,406,36,9.7
JTU230000000000000TSL,2006,M05,2006 May,433,27,6.7
JTU230000000000000TSL,2006,M06,2006 Jun,401,-32,-7.4
JTU230000000000000TSL,2006,M07,2006 Jul,480,79,19.7
JTU230000000000000TSL,2006,M08,2006 Aug,471,-9,-1.9
JTU230000000000000TSL,2006,M09,2006 Sep,423,-48,-10.2
JTU230000000000000TSL,2006,M10,2006 Oct,492,69,16.3
JTU230000000000000TSL,2006,M11,2006 Nov,497,5,1.0
JTU230000000000000TSL,2006,M12,2006 Dec,483,-14,-2.8
JTU230000000000000TSL,2007,M01,2007 Jan,511,28,5.8
JTU230000000000000TSL,2007,M02,2007 Feb,369,-142,-27.8
JTU230000000000000TSL,2007,M03,2007 Mar,326,-43,-11.7
JTU230000000000000TSL,2007,M04,2007 Apr,406,80,24.5
JTU230000000000000TSL,2007,M05,2007 May,368,-38,-9.4
JTU230000000000000TSL,2007,M06,2007 Jun,368,0,0.0
JTU230000000000000TSL,2007,M07,2007 Jul,468,100,27.2
JTU230000000000000TSL,2007,M08,2007 Aug,537,69,14.7
JTU230000000000000TSL,2007,M09,2007 Sep,439,-98,-18.2
JTU230000000000000TSL,2007,M10,2007 Oct,445,6,1.4
JTU230000000000000TSL,2007,M11,2007 Nov,428,-17,-3.8
JTU230000000000000TSL,2007,M12,2007 Dec,472,44,10.3
JTU230000000000000TSL,2008,M01,2008 Jan,504,32,6.8
JTU230000000000000TSL,2008,M02,2008 Feb,352,-152,-30.2
JTU230000000000000TSL,2008,M03,2008 Mar,349,-3,-0.9
JTU230000000000000TSL,2008,M04,2008 Apr,455,106,30.4
JTU230000000000000TSL,2008,M05,2008 May,359,-96,-21.1
JTU230000000000000TSL,2008,M06,2008 Jun,386,27,7.5
JTU230000000000000TSL,2008,M07,2008 Jul,471,85,22.0
JTU230000000000000TSL,2008,M08,2008 Aug,504,33,7.0
JTU230000000000000TSL,2008,M09,2008 Sep,402,-102,-20.2
JTU230000000000000TSL,2008,M10,2008 Oct,499,97,24.1
JTU230000000000000TSL,2008,M11,2008 Nov,525,26,5.2
JTU230000000000000TSL,2008,M12,2008 Dec,525,0,0.0
JTU230000000000000TSL,2009,M01,2009 Jan,629,104,19.8
JTU230000000000000TSL,2009,M02,2009 Feb,394,-235,-37.4
JTU230000000000000TSL,2009,M03,2009 Mar,389,-5,-1.3
JTU230000000000000TSL,2009,M04,2009 Apr,442,53,13.6
JTU230000000000000TSL,2009,M05,2009 May,331,-111,-25.1
JTU230000000000000TSL,2009,M06,2009 Jun,321,-10,-3.0
JTU230000000000000TSL,2009,M07,2009 Jul,427,106,33.0
JTU230000000000000TSL,2009,M08,2009 Aug,379,-48,-11.2
JTU230000000000000TSL,2009,M09,2009 Sep,388,9,2.4
JTU230000000000000TSL,2009,M10,2009 Oct,409,21,5.4
JTU230000000000000TSL,2009,M11,2009 Nov,347,-62,-15.2
JTU230000000000000TSL,2009,M12,2009 Dec,441,94,27.1
JTU230000000000000TSL,2010,M01,2010 Jan,468,27,6.1
JTU230000000000000TSL,2010,M02,2010 Feb,303,-165,-35.3
JTU230000000000000TSL,2010,M03,2010 Mar,304,1,0.3
JTU230000000000000TSL,2010,M04,2010 Apr,326,22,7.2
JTU230000000000000TSL,2010,M05,2010 May,300,-26,-8.0
JTU230000000000000TSL,2010,M06,2010 Jun,251,-49,-16.3
JTU230000000000000TSL,2010,M07,2010 Jul,355,104,41.4
JTU230000000000000TSL,2010,M08,2010 Aug,368,13,3.7
JTU230000000000000TSL,2010,M09,2010 Sep,339,-29,-7.9
JTU230000000000000TSL,2010,M10,2010 Oct,370,31,9.1
JTU230000000000000TSL,2010,M11,2010 Nov,350,-20,-5.4
JTU230000000000000TSL,2010,M12,2010 Dec,475,125,35.7
JTU230000000000000TSL,2011,M01,2011 Jan,388,-87,-18.3
JTU230000000000000TSL,2011,M02,2011 Feb,267,-121,-31.2
JTU230000000000000TSL,2011,M03,2011 Mar,288,21,7.9
JTU230000000000000TSL,2011,M04,2011 Apr,344,56,19.4
JTU230000000000000TSL,2011,M05,2011 May,324,-20,-5.8
JTU230000000000000TSL,2011,M06,2011 Jun,343,19,5.9
JTU230000000000000TSL,2011,M07,2011 Jul,336,-7,-2.0
JTU230000000000000TSL,2011,M08,2011 Aug,368,32,9.5
JTU230000000000000TSL,2011,M09,2011 Sep,349,-19,-5.2
JTU230000000000000TSL,2011,M10,2011 Oct,345,-4,-1.1
JTU230000000000000TSL,2011,M11,2011 Nov,327,-18,-5.2
JTU230000000000000TSL,2011,M12,2011 Dec,348,21,6.4
JTU230000000000000TSL,2012,M01,2012 Jan,379,31,8.9
JTU230000000000000TSL,2012,M02,2012 Feb,284,-95,-25.1
JTU230000000000000TSL,2012,M03,2012 Mar,267,-17,-6.0
JTU230000000000000TSL,2012,M04,2012 Apr,269,2,0.7
JTU230000000000000TSL,2012,M05,2012 May,305,36,13.4
JTU230000000000000TSL,2012,M06,2012 Jun,308,3,1.0
JTU230000000000000TSL,2012,M07,2012 Jul,376,68,22.1
JTU230000000000000TSL,2012,M08,2012 Aug,353,-23,-6.1
JTU230000000000000TSL,2012,M09,2012 Sep,357,4,1.1
JTU230000000000000TSL,2012,M10,2012 Oct,320,-37,-10.4
JTU230000000000000TSL,2012,M11,2012 Nov,391,71,22.2
JTU230000000000000TSL,2012,M12,2012 Dec,319,-72,-18.4
JTU230000000000000TSL,2013,M01,2013 Jan,370,51,16.0
JTU230000000000000TSL,2013,M02,2013 Feb,282,-88,-23.8
JTU230000000000000TSL,2013,M03,2013 Mar,288,6,2.1
JTU230000000000000TSL,2013,M04,2013 Apr,283,-5,-1.7
JTU230000000000000TSL,2013,M05,2013 May,279,-4,-1.4
JTU230000000000000TSL,2013,M06,2013 Jun,289,10,3.6
JTU230000000000000TSL,2013,M07,2013 Jul,316,27,9.3
JTU230000000000000TSL,2013,M08,2013 Aug,311,-5,-1.6
JTU230000000000000TSL,2013,M09,2013 Sep,292,-19,-6.1
JTU230000000000000TSL,2013,M10,2013 Oct,365,73,25.0
JTU230000000000000TSL,2013,M11,2013 Nov,289,-76,-20.8
JTU230000000000000TSL,2013,M12,2013 Dec,339,50,17.3
JTU230000000000000TSL,2014,M01,2014 Jan,270,-69,-20.4
JTU230000000000000TSL,2014,M02,2014 Feb,215,-55,-20.4
JTU230000000000000TSL,2014,M03,2014 Mar,208,-7,-3.3
JTU230000000000000TSL,2014,M04,2014 Apr,237,29,13.9
JTU230000000000000TSL,2014,M05,2014 May,272,35,14.8
JTU230000000000000TSL,2014,M06,2014 Jun,242,-30,-11.0
JTU230000000000000TSL,2014,M07,2014 Jul,300,58,24.0
JTU230000000000000TSL,2014,M08,2014 Aug,339,39,13.0
JTU230000000000000TSL,2014,M09,2014 Sep,271,-68,-20.1
JTU230000000000000TSL,2014,M10,2014 Oct,325,54,19.9
JTU230000000000000TSL,2014,M11,2014 Nov,317,-8,-2.5
JTU230000000000000TSL,2014,M12,2014 Dec,414,97,30.6
JTU230000000000000TSL,2015,M01,2015 Jan,365,-49,-11.8
JTU230000000000000TSL,2015,M02,2015 Feb,240,-125,-34.2
JTU230000000000000TSL,2015,M03,2015 Mar,306,66,27.5
JTU230000000000000TSL,2015,M04,2015 Apr,271,-35,-11.4
JTU230000000000000TSL,2015,M05,2015 May,264,-7,-2.6
JTU230000000000000TSL,2015,M06,2015 Jun,307,43,16.3
JTU230000000000000TSL,2015,M07,2015 Jul,296,-11,-3.6
JTU230000000000000TSL,2015,M08,2015 Aug,343,47,15.9
JTU230000000000000TSL,2015,M09,2015 Sep,328,-15,-4.4
JTU230000000000000TSL,2015,M10,2015 Oct,309,-19,-5.8
JTU230000000000000TSL,2015,M11,2015 Nov,299,-10,-3.2
JTU230000000000000TSL,2015,M12,2015 Dec,317,18,6.0
JTU230000000000000TSL,2016,M01,2016 Jan,318,1,0.3
JTU230000000000000TSL,2016,M02,2016 Feb,275,-43,-13.5
JTU230000000000000TSL,2016,M03,2016 Mar,286,11,4.0
JTU230000000000000TSL,2016,M04,2016 Apr,318,32,11.2
JTU230000000000000TSL,2016,M05,2016 May,322,4,1.3
JTU230000000000000TSL,2016,M06,2016 Jun,256,-66,-20.5
JTU230000000000000TSL,2016,M07,2016 Jul,335,79,30.9
JTU230000000000000TSL,2016,M08,2016 Aug,379,44,13.1
JTU230000000000000TSL,2016,M09,2016 Sep,294,-85,-22.4
JTU230000000000000TSL,2016,M10,2016 Oct,347,53,18.0
JTU230000000000000TSL,2016,M11,2016 Nov,315,-32,-9.2
JTU230000000000000TSL,2016,M12,2016 Dec,477,162,51.4
JTU230000000000000TSL,2017,M01,2017 Jan,412,-65,-13.6
JTU230000000000000TSL,2017,M02,2017 Feb,264,-148,-35.9
JTU230000000000000TSL,2017,M03,2017 Mar,331,67,25.4
JTU230000000000000TSL,2017,M04,2017 Apr,355,24,7.3
JTU230000000000000TSL,2017,M05,2017 May,358,3,0.8
JTU230000000000000TSL,2017,M06,2017 Jun,324,-34,-9.5
JTU230000000000000TSL,2017,M07,2017 Jul,394,70,21.6
JTU230000000000000TSL,2017,M08,2017 Aug,400,6,1.5
JTU230000000000000TSL,2017,M09,2017 Sep,396,-4,-1.0
JTU230000000000000TSL,2017,M10,2017 Oct,412,16,4.0
JTU230000000000000TSL,2017,M11,2017 Nov,318,-94,-22.8
JTU230000000000000TSL,2017,M12,2017 Dec,312,-6,-1.9
JTU230000000000000TSL,2018,M01,2018 Jan,372,60,19.2
JTU230000000000000TSL,2018,M02,2018 Feb,259,-113,-30.4
JTU230000000000000TSL,2018,M03,2018 Mar,324,65,25.1
JTU230000000000000TSL,2018,M04,2018 Apr,317,-7,-2.2
JTU230000000000000TSL,2018,M05,2018 May,334,17,5.4
JTU230000000000000TSL,2018,M06,2018 Jun,334,0,0.0
JTU230000000000000TSL,2018,M07,2018 Jul,391,57,17.1
JTU230000000000000TSL,2018,M08,2018 Aug,395,4,1.0
JTU230000000000000TSL,2018,M09,2018 Sep,364,-31,-7.8
JTU230000000000000TSL,2018,M10,2018 Oct,366,2,0.5
JTU230000000000000TSL,2018,M11,2018 Nov,388,22,6.0
JTU230000000000000TSL,2018,M12,2018 Dec,373,-15,-3.9
JTU230000000000000TSL,2019,M01,2019 Jan,438,65,17.4
JTU230000000000000TSL,2019,M02,2019 Feb,315,-123,-28.1
JTU230000000000000TSL,2019,M03,2019 Mar,307,-8,-2.5
JTU230000000000000TSL,2019,M04,2019 Apr,369,62,20.2
JTU230000000000000TSL,2019,M05,2019 May,356,-13,-3.5
JTU230000000000000TSL,2019,M06,2019 Jun,378,22,6.2
JTU230000000000000TSL,2019,M07,2019 Jul,397,19,5.0
JTU230000000000000TSL,2019,M08,2019 Aug,452,55,13.9
JTU230000000000000TSL,2019,M09,2019 Sep,447,-5,-1.1
JTU230000000000000TSL,2019,M10,2019 Oct,515,68,15.2
JTU230000000000000TSL,2019,M11,2019 Nov,424,-91,-17.7
JTU230000000000000TSL,2019,M12,2019 Dec,472,48,11.3
JTU230000000000000TSL,2020,M01,2020 Jan,409,-63,-13.3
JTU230000000000000TSL,2020,M02,2020 Feb,271,-138,-33.7
JTU230000000000000TSL,2020,M03,2020 Mar,736,465,171.6
JTU230000000000000TSL,2020,M04,2020 Apr,794,58,7.9
JTU230000000000000TSL,2020,M05,2020 May,280,-514,-64.7
JTU230000000000000TSL,2020,M06,2020 Jun,311,31,11.1
JTU230000000000000TSL,2020,M07,2020 Jul,367,56,18.0
JTU230000000000000TSL,2020,M08,2020 Aug,356,-11,-3.0
JTU230000000000000TSL,2020,M09,2020 Sep,325,-31,-8.7
JTU230000000000000TSL,2020,M10,2020 Oct,367,42,12.9
JTU230000000000000TSL,2020,M11,2020 Nov,365,-2,-0.5
JTU230000000000000TSL,2020,M12,2020 Dec,389,24,6.6
JTU230000000000000TSL,2021,M01,2021 Jan,374,-15,-3.9
JTU230000000000000TSL,2021,M02,2021 Feb,342,-32,-8.6
JTU230000000000000TSL,2021,M03,2021 Mar,303,-39,-11.4
JTU230000000000000TSL,2021,M04,2021 Apr,321,18,5.9
JTU230000000000000TSL,2021,M05,2021 May,299,-22,-6.9
JTU230000000000000TSL,2021,M06,2021 Jun,336,37,12.4
JTU230000000000000TSL,2021,M07,2021 Jul,378,42,12.5
JTU230000000000000TSL,2021,M08,2021 Aug,422,44,11.6
JTU230000000000000TSL,2021,M09,2021 Sep,325,-97,-23.0
JTU230000000000000TSL,2021,M10,2021 Oct,376,51,15.7
JTU230000000000000TSL,2021,M11,2021 Nov,390,14,3.7
JTU230000000000000TSL,2021,M12,2021 Dec,350,-40,-10.3
JTU230000000000000TSL,2022,M01,2022 Jan,350,0,0.0
JTU230000000000000TSL,2022,M02,2022 Feb,284,-66,-18.9
JTU230000000000000TSL,2022,M03,2022 Mar,344,60,21.1
JTU230000000000000TSL,2022,M04,2022 Apr,324,-20,-5.8
JTU230000000000000TSL,2022,M05,2022 May,303,-21,-6.5
JTU230000000000000TSL,2022,M06,2022 Jun,310,7,2.3
JTU230000000000000TSL,2022,M07,2022 Jul,382,72,23.2
