Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNU04032231,2006,M01,2006 Jan,9.0,0.8,9.8
LNU04032231,2006,M02,2006 Feb,8.6,-0.4,-4.4
LNU04032231,2006,M03,2006 Mar,8.5,-0.1,-1.2
LNU04032231,2006,M04,2006 Apr,6.9,-1.6,-18.8
LNU04032231,2006,M05,2006 May,6.6,-0.3,-4.3
LNU04032231,2006,M06,2006 Jun,5.6,-1.0,-15.2
LNU04032231,2006,M07,2006 Jul,6.1,0.5,8.9
LNU04032231,2006,M08,2006 Aug,5.9,-0.2,-3.3
LNU04032231,2006,M09,2006 Sep,5.6,-0.3,-5.1
LNU04032231,2006,M10,2006 Oct,4.5,-1.1,-19.6
LNU04032231,2006,M11,2006 Nov,6.0,1.5,33.3
LNU04032231,2006,M12,2006 Dec,6.9,0.9,15.0
LNU04032231,2007,M01,2007 Jan,8.9,2.0,29.0
LNU04032231,2007,M02,2007 Feb,10.5,1.6,18.0
LNU04032231,2007,M03,2007 Mar,9.0,-1.5,-14.3
LNU04032231,2007,M04,2007 Apr,8.6,-0.4,-4.4
LNU04032231,2007,M05,2007 May,6.9,-1.7,-19.8
LNU04032231,2007,M06,2007 Jun,5.9,-1.0,-14.5
LNU04032231,2007,M07,2007 Jul,5.9,0.0,0.0
LNU04032231,2007,M08,2007 Aug,5.3,-0.6,-10.2
LNU04032231,2007,M09,2007 Sep,5.8,0.5,9.4
LNU04032231,2007,M10,2007 Oct,6.1,0.3,5.2
LNU04032231,2007,M11,2007 Nov,6.2,0.1,1.6
LNU04032231,2007,M12,2007 Dec,9.4,3.2,51.6
LNU04032231,2008,M01,2008 Jan,11.0,1.6,17.0
LNU04032231,2008,M02,2008 Feb,11.4,0.4,3.6
LNU04032231,2008,M03,2008 Mar,12.0,0.6,5.3
LNU04032231,2008,M04,2008 Apr,11.1,-0.9,-7.5
LNU04032231,2008,M05,2008 May,8.6,-2.5,-22.5
LNU04032231,2008,M06,2008 Jun,8.2,-0.4,-4.7
LNU04032231,2008,M07,2008 Jul,8.0,-0.2,-2.4
LNU04032231,2008,M08,2008 Aug,8.2,0.2,2.5
LNU04032231,2008,M09,2008 Sep,9.9,1.7,20.7
LNU04032231,2008,M10,2008 Oct,10.8,0.9,9.1
LNU04032231,2008,M11,2008 Nov,12.7,1.9,17.6
LNU04032231,2008,M12,2008 Dec,15.3,2.6,20.5
LNU04032231,2009,M01,2009 Jan,18.2,2.9,19.0
LNU04032231,2009,M02,2009 Feb,21.4,3.2,17.6
LNU04032231,2009,M03,2009 Mar,21.1,-0.3,-1.4
LNU04032231,2009,M04,2009 Apr,18.7,-2.4,-11.4
LNU04032231,2009,M05,2009 May,19.2,0.5,2.7
LNU04032231,2009,M06,2009 Jun,17.4,-1.8,-9.4
LNU04032231,2009,M07,2009 Jul,18.2,0.8,4.6
LNU04032231,2009,M08,2009 Aug,16.5,-1.7,-9.3
LNU04032231,2009,M09,2009 Sep,17.1,0.6,3.6
LNU04032231,2009,M10,2009 Oct,18.7,1.6,9.4
LNU04032231,2009,M11,2009 Nov,19.4,0.7,3.7
LNU04032231,2009,M12,2009 Dec,22.7,3.3,17.0
LNU04032231,2010,M01,2010 Jan,24.7,2.0,8.8
LNU04032231,2010,M02,2010 Feb,27.1,2.4,9.7
LNU04032231,2010,M03,2010 Mar,24.9,-2.2,-8.1
LNU04032231,2010,M04,2010 Apr,21.8,-3.1,-12.4
LNU04032231,2010,M05,2010 May,20.1,-1.7,-7.8
LNU04032231,2010,M06,2010 Jun,20.1,0.0,0.0
LNU04032231,2010,M07,2010 Jul,17.3,-2.8,-13.9
LNU04032231,2010,M08,2010 Aug,17.0,-0.3,-1.7
LNU04032231,2010,M09,2010 Sep,17.2,0.2,1.2
LNU04032231,2010,M10,2010 Oct,17.3,0.1,0.6
LNU04032231,2010,M11,2010 Nov,18.8,1.5,8.7
LNU04032231,2010,M12,2010 Dec,20.7,1.9,10.1
LNU04032231,2011,M01,2011 Jan,22.5,1.8,8.7
LNU04032231,2011,M02,2011 Feb,21.8,-0.7,-3.1
LNU04032231,2011,M03,2011 Mar,20.0,-1.8,-8.3
LNU04032231,2011,M04,2011 Apr,17.8,-2.2,-11.0
LNU04032231,2011,M05,2011 May,16.3,-1.5,-8.4
LNU04032231,2011,M06,2011 Jun,15.6,-0.7,-4.3
LNU04032231,2011,M07,2011 Jul,13.6,-2.0,-12.8
LNU04032231,2011,M08,2011 Aug,13.5,-0.1,-0.7
LNU04032231,2011,M09,2011 Sep,13.3,-0.2,-1.5
LNU04032231,2011,M10,2011 Oct,13.7,0.4,3.0
LNU04032231,2011,M11,2011 Nov,13.1,-0.6,-4.4
LNU04032231,2011,M12,2011 Dec,16.0,2.9,22.1
LNU04032231,2012,M01,2012 Jan,17.7,1.7,10.6
