Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU600000000000000HIL,2006,M01,2006 Jan,522,148,39.6
JTU600000000000000HIL,2006,M02,2006 Feb,439,-83,-15.9
JTU600000000000000HIL,2006,M03,2006 Mar,451,12,2.7
JTU600000000000000HIL,2006,M04,2006 Apr,519,68,15.1
JTU600000000000000HIL,2006,M05,2006 May,537,18,3.5
JTU600000000000000HIL,2006,M06,2006 Jun,569,32,6.0
JTU600000000000000HIL,2006,M07,2006 Jul,635,66,11.6
JTU600000000000000HIL,2006,M08,2006 Aug,650,15,2.4
JTU600000000000000HIL,2006,M09,2006 Sep,646,-4,-0.6
JTU600000000000000HIL,2006,M10,2006 Oct,607,-39,-6.0
JTU600000000000000HIL,2006,M11,2006 Nov,450,-157,-25.9
JTU600000000000000HIL,2006,M12,2006 Dec,396,-54,-12.0
JTU600000000000000HIL,2007,M01,2007 Jan,558,162,40.9
JTU600000000000000HIL,2007,M02,2007 Feb,459,-99,-17.7
JTU600000000000000HIL,2007,M03,2007 Mar,487,28,6.1
JTU600000000000000HIL,2007,M04,2007 Apr,529,42,8.6
JTU600000000000000HIL,2007,M05,2007 May,545,16,3.0
JTU600000000000000HIL,2007,M06,2007 Jun,638,93,17.1
JTU600000000000000HIL,2007,M07,2007 Jul,603,-35,-5.5
JTU600000000000000HIL,2007,M08,2007 Aug,678,75,12.4
JTU600000000000000HIL,2007,M09,2007 Sep,629,-49,-7.2
JTU600000000000000HIL,2007,M10,2007 Oct,608,-21,-3.3
JTU600000000000000HIL,2007,M11,2007 Nov,463,-145,-23.8
JTU600000000000000HIL,2007,M12,2007 Dec,364,-99,-21.4
JTU600000000000000HIL,2008,M01,2008 Jan,586,222,61.0
JTU600000000000000HIL,2008,M02,2008 Feb,495,-91,-15.5
JTU600000000000000HIL,2008,M03,2008 Mar,495,0,0.0
JTU600000000000000HIL,2008,M04,2008 Apr,555,60,12.1
JTU600000000000000HIL,2008,M05,2008 May,519,-36,-6.5
JTU600000000000000HIL,2008,M06,2008 Jun,620,101,19.5
JTU600000000000000HIL,2008,M07,2008 Jul,623,3,0.5
JTU600000000000000HIL,2008,M08,2008 Aug,685,62,10.0
JTU600000000000000HIL,2008,M09,2008 Sep,587,-98,-14.3
JTU600000000000000HIL,2008,M10,2008 Oct,588,1,0.2
JTU600000000000000HIL,2008,M11,2008 Nov,415,-173,-29.4
JTU600000000000000HIL,2008,M12,2008 Dec,372,-43,-10.4
JTU600000000000000HIL,2009,M01,2009 Jan,535,163,43.8
JTU600000000000000HIL,2009,M02,2009 Feb,454,-81,-15.1
JTU600000000000000HIL,2009,M03,2009 Mar,423,-31,-6.8
JTU600000000000000HIL,2009,M04,2009 Apr,472,49,11.6
JTU600000000000000HIL,2009,M05,2009 May,453,-19,-4.0
JTU600000000000000HIL,2009,M06,2009 Jun,586,133,29.4
JTU600000000000000HIL,2009,M07,2009 Jul,585,-1,-0.2
JTU600000000000000HIL,2009,M08,2009 Aug,678,93,15.9
JTU600000000000000HIL,2009,M09,2009 Sep,603,-75,-11.1
JTU600000000000000HIL,2009,M10,2009 Oct,556,-47,-7.8
JTU600000000000000HIL,2009,M11,2009 Nov,412,-144,-25.9
JTU600000000000000HIL,2009,M12,2009 Dec,356,-56,-13.6
JTU600000000000000HIL,2010,M01,2010 Jan,465,109,30.6
JTU600000000000000HIL,2010,M02,2010 Feb,397,-68,-14.6
JTU600000000000000HIL,2010,M03,2010 Mar,434,37,9.3
JTU600000000000000HIL,2010,M04,2010 Apr,456,22,5.1
JTU600000000000000HIL,2010,M05,2010 May,441,-15,-3.3
JTU600000000000000HIL,2010,M06,2010 Jun,592,151,34.2
JTU600000000000000HIL,2010,M07,2010 Jul,615,23,3.9
JTU600000000000000HIL,2010,M08,2010 Aug,613,-2,-0.3
