Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU600000000000000JOL,2006,M01,2006 Jan,770,128,19.9
JTU600000000000000JOL,2006,M02,2006 Feb,728,-42,-5.5
JTU600000000000000JOL,2006,M03,2006 Mar,714,-14,-1.9
JTU600000000000000JOL,2006,M04,2006 Apr,811,97,13.6
JTU600000000000000JOL,2006,M05,2006 May,685,-126,-15.5
JTU600000000000000JOL,2006,M06,2006 Jun,695,10,1.5
JTU600000000000000JOL,2006,M07,2006 Jul,670,-25,-3.6
JTU600000000000000JOL,2006,M08,2006 Aug,762,92,13.7
JTU600000000000000JOL,2006,M09,2006 Sep,736,-26,-3.4
JTU600000000000000JOL,2006,M10,2006 Oct,800,64,8.7
JTU600000000000000JOL,2006,M11,2006 Nov,759,-41,-5.1
JTU600000000000000JOL,2006,M12,2006 Dec,726,-33,-4.3
JTU600000000000000JOL,2007,M01,2007 Jan,786,60,8.3
JTU600000000000000JOL,2007,M02,2007 Feb,711,-75,-9.5
JTU600000000000000JOL,2007,M03,2007 Mar,753,42,5.9
JTU600000000000000JOL,2007,M04,2007 Apr,856,103,13.7
JTU600000000000000JOL,2007,M05,2007 May,801,-55,-6.4
JTU600000000000000JOL,2007,M06,2007 Jun,790,-11,-1.4
JTU600000000000000JOL,2007,M07,2007 Jul,790,0,0.0
JTU600000000000000JOL,2007,M08,2007 Aug,798,8,1.0
JTU600000000000000JOL,2007,M09,2007 Sep,845,47,5.9
JTU600000000000000JOL,2007,M10,2007 Oct,763,-82,-9.7
JTU600000000000000JOL,2007,M11,2007 Nov,727,-36,-4.7
JTU600000000000000JOL,2007,M12,2007 Dec,753,26,3.6
JTU600000000000000JOL,2008,M01,2008 Jan,770,17,2.3
JTU600000000000000JOL,2008,M02,2008 Feb,788,18,2.3
JTU600000000000000JOL,2008,M03,2008 Mar,773,-15,-1.9
JTU600000000000000JOL,2008,M04,2008 Apr,777,4,0.5
JTU600000000000000JOL,2008,M05,2008 May,721,-56,-7.2
JTU600000000000000JOL,2008,M06,2008 Jun,728,7,1.0
JTU600000000000000JOL,2008,M07,2008 Jul,830,102,14.0
JTU600000000000000JOL,2008,M08,2008 Aug,697,-133,-16.0
JTU600000000000000JOL,2008,M09,2008 Sep,594,-103,-14.8
JTU600000000000000JOL,2008,M10,2008 Oct,678,84,14.1
JTU600000000000000JOL,2008,M11,2008 Nov,640,-38,-5.6
JTU600000000000000JOL,2008,M12,2008 Dec,603,-37,-5.8
JTU600000000000000JOL,2009,M01,2009 Jan,607,4,0.7
JTU600000000000000JOL,2009,M02,2009 Feb,539,-68,-11.2
JTU600000000000000JOL,2009,M03,2009 Mar,498,-41,-7.6
JTU600000000000000JOL,2009,M04,2009 Apr,557,59,11.8
JTU600000000000000JOL,2009,M05,2009 May,520,-37,-6.6
JTU600000000000000JOL,2009,M06,2009 Jun,498,-22,-4.2
JTU600000000000000JOL,2009,M07,2009 Jul,586,88,17.7
JTU600000000000000JOL,2009,M08,2009 Aug,534,-52,-8.9
JTU600000000000000JOL,2009,M09,2009 Sep,529,-5,-0.9
JTU600000000000000JOL,2009,M10,2009 Oct,539,10,1.9
JTU600000000000000JOL,2009,M11,2009 Nov,490,-49,-9.1
JTU600000000000000JOL,2009,M12,2009 Dec,531,41,8.4
JTU600000000000000JOL,2010,M01,2010 Jan,644,113,21.3
JTU600000000000000JOL,2010,M02,2010 Feb,507,-137,-21.3
JTU600000000000000JOL,2010,M03,2010 Mar,522,15,3.0
JTU600000000000000JOL,2010,M04,2010 Apr,556,34,6.5
JTU600000000000000JOL,2010,M05,2010 May,505,-51,-9.2
JTU600000000000000JOL,2010,M06,2010 Jun,431,-74,-14.7
JTU600000000000000JOL,2010,M07,2010 Jul,587,156,36.2
JTU600000000000000JOL,2010,M08,2010 Aug,484,-103,-17.5
JTU600000000000000JOL,2010,M09,2010 Sep,508,24,5.0
JTU600000000000000JOL,2010,M10,2010 Oct,641,133,26.2
JTU600000000000000JOL,2010,M11,2010 Nov,531,-110,-17.2
JTU600000000000000JOL,2010,M12,2010 Dec,532,1,0.2
JTU600000000000000JOL,2011,M01,2011 Jan,573,41,7.7
JTU600000000000000JOL,2011,M02,2011 Feb,555,-18,-3.1
JTU600000000000000JOL,2011,M03,2011 Mar,594,39,7.0
JTU600000000000000JOL,2011,M04,2011 Apr,653,59,9.9
JTU600000000000000JOL,2011,M05,2011 May,584,-69,-10.6
JTU600000000000000JOL,2011,M06,2011 Jun,576,-8,-1.4
JTU600000000000000JOL,2011,M07,2011 Jul,688,112,19.4
JTU600000000000000JOL,2011,M08,2011 Aug,633,-55,-8.0
JTU600000000000000JOL,2011,M09,2011 Sep,604,-29,-4.6
JTU600000000000000JOL,2011,M10,2011 Oct,650,46,7.6
JTU600000000000000JOL,2011,M11,2011 Nov,613,-37,-5.7
JTU600000000000000JOL,2011,M12,2011 Dec,610,-3,-0.5
JTU600000000000000JOL,2012,M01,2012 Jan,717,107,17.5
JTU600000000000000JOL,2012,M02,2012 Feb,655,-62,-8.6
JTU600000000000000JOL,2012,M03,2012 Mar,680,25,3.8
JTU600000000000000JOL,2012,M04,2012 Apr,739,59,8.7
JTU600000000000000JOL,2012,M05,2012 May,726,-13,-1.8
JTU600000000000000JOL,2012,M06,2012 Jun,709,-17,-2.3
JTU600000000000000JOL,2012,M07,2012 Jul,732,23,3.2
JTU600000000000000JOL,2012,M08,2012 Aug,653,-79,-10.8
JTU600000000000000JOL,2012,M09,2012 Sep,704,51,7.8
JTU600000000000000JOL,2012,M10,2012 Oct,723,19,2.7
JTU600000000000000JOL,2012,M11,2012 Nov,702,-21,-2.9
JTU600000000000000JOL,2012,M12,2012 Dec,680,-22,-3.1
JTU600000000000000JOL,2013,M01,2013 Jan,664,-16,-2.4
JTU600000000000000JOL,2013,M02,2013 Feb,665,1,0.2
JTU600000000000000JOL,2013,M03,2013 Mar,696,31,4.7
JTU600000000000000JOL,2013,M04,2013 Apr,780,84,12.1
JTU600000000000000JOL,2013,M05,2013 May,688,-92,-11.8
JTU600000000000000JOL,2013,M06,2013 Jun,641,-47,-6.8
JTU600000000000000JOL,2013,M07,2013 Jul,688,47,7.3
JTU600000000000000JOL,2013,M08,2013 Aug,745,57,8.3
JTU600000000000000JOL,2013,M09,2013 Sep,661,-84,-11.3
JTU600000000000000JOL,2013,M10,2013 Oct,704,43,6.5
JTU600000000000000JOL,2013,M11,2013 Nov,633,-71,-10.1
JTU600000000000000JOL,2013,M12,2013 Dec,591,-42,-6.6
JTU600000000000000JOL,2014,M01,2014 Jan,746,155,26.2
JTU600000000000000JOL,2014,M02,2014 Feb,707,-39,-5.2
JTU600000000000000JOL,2014,M03,2014 Mar,733,26,3.7
JTU600000000000000JOL,2014,M04,2014 Apr,791,58,7.9
JTU600000000000000JOL,2014,M05,2014 May,812,21,2.7
JTU600000000000000JOL,2014,M06,2014 Jun,804,-8,-1.0
JTU600000000000000JOL,2014,M07,2014 Jul,923,119,14.8
JTU600000000000000JOL,2014,M08,2014 Aug,924,1,0.1
JTU600000000000000JOL,2014,M09,2014 Sep,863,-61,-6.6
JTU600000000000000JOL,2014,M10,2014 Oct,921,58,6.7
JTU600000000000000JOL,2014,M11,2014 Nov,763,-158,-17.2
JTU600000000000000JOL,2014,M12,2014 Dec,901,138,18.1
JTU600000000000000JOL,2015,M01,2015 Jan,972,71,7.9
JTU600000000000000JOL,2015,M02,2015 Feb,907,-65,-6.7
JTU600000000000000JOL,2015,M03,2015 Mar,865,-42,-4.6
JTU600000000000000JOL,2015,M04,2015 Apr,1107,242,28.0
JTU600000000000000JOL,2015,M05,2015 May,964,-143,-12.9
JTU600000000000000JOL,2015,M06,2015 Jun,965,1,0.1
JTU600000000000000JOL,2015,M07,2015 Jul,1225,260,26.9
JTU600000000000000JOL,2015,M08,2015 Aug,1037,-188,-15.3
JTU600000000000000JOL,2015,M09,2015 Sep,1048,11,1.1
JTU600000000000000JOL,2015,M10,2015 Oct,1112,64,6.1
JTU600000000000000JOL,2015,M11,2015 Nov,1047,-65,-5.8
JTU600000000000000JOL,2015,M12,2015 Dec,1018,-29,-2.8
JTU600000000000000JOL,2016,M01,2016 Jan,1243,225,22.1
JTU600000000000000JOL,2016,M02,2016 Feb,1004,-239,-19.2
JTU600000000000000JOL,2016,M03,2016 Mar,1029,25,2.5
JTU600000000000000JOL,2016,M04,2016 Apr,1225,196,19.0
JTU600000000000000JOL,2016,M05,2016 May,1065,-160,-13.1
JTU600000000000000JOL,2016,M06,2016 Jun,1025,-40,-3.8
JTU600000000000000JOL,2016,M07,2016 Jul,1181,156,15.2
JTU600000000000000JOL,2016,M08,2016 Aug,1058,-123,-10.4
JTU600000000000000JOL,2016,M09,2016 Sep,1076,18,1.7
JTU600000000000000JOL,2016,M10,2016 Oct,1272,196,18.2
JTU600000000000000JOL,2016,M11,2016 Nov,1129,-143,-11.2
JTU600000000000000JOL,2016,M12,2016 Dec,1147,18,1.6
JTU600000000000000JOL,2017,M01,2017 Jan,1235,88,7.7
JTU600000000000000JOL,2017,M02,2017 Feb,1216,-19,-1.5
JTU600000000000000JOL,2017,M03,2017 Mar,1087,-129,-10.6
JTU600000000000000JOL,2017,M04,2017 Apr,1249,162,14.9
JTU600000000000000JOL,2017,M05,2017 May,1062,-187,-15.0
JTU600000000000000JOL,2017,M06,2017 Jun,1125,63,5.9
JTU600000000000000JOL,2017,M07,2017 Jul,1216,91,8.1
JTU600000000000000JOL,2017,M08,2017 Aug,1162,-54,-4.4
JTU600000000000000JOL,2017,M09,2017 Sep,1109,-53,-4.6
JTU600000000000000JOL,2017,M10,2017 Oct,1151,42,3.8
JTU600000000000000JOL,2017,M11,2017 Nov,1037,-114,-9.9
JTU600000000000000JOL,2017,M12,2017 Dec,1112,75,7.2
JTU600000000000000JOL,2018,M01,2018 Jan,1260,148,13.3
JTU600000000000000JOL,2018,M02,2018 Feb,1158,-102,-8.1
JTU600000000000000JOL,2018,M03,2018 Mar,1204,46,4.0
JTU600000000000000JOL,2018,M04,2018 Apr,1373,169,14.0
JTU600000000000000JOL,2018,M05,2018 May,1164,-209,-15.2
JTU600000000000000JOL,2018,M06,2018 Jun,1212,48,4.1
JTU600000000000000JOL,2018,M07,2018 Jul,1283,71,5.9
JTU600000000000000JOL,2018,M08,2018 Aug,1248,-35,-2.7
JTU600000000000000JOL,2018,M09,2018 Sep,1239,-9,-0.7
JTU600000000000000JOL,2018,M10,2018 Oct,1244,5,0.4
JTU600000000000000JOL,2018,M11,2018 Nov,1167,-77,-6.2
JTU600000000000000JOL,2018,M12,2018 Dec,1271,104,8.9
JTU600000000000000JOL,2019,M01,2019 Jan,1471,200,15.7
JTU600000000000000JOL,2019,M02,2019 Feb,1179,-292,-19.9
JTU600000000000000JOL,2019,M03,2019 Mar,1367,188,15.9
JTU600000000000000JOL,2019,M04,2019 Apr,1536,169,12.4
JTU600000000000000JOL,2019,M05,2019 May,1322,-214,-13.9
JTU600000000000000JOL,2019,M06,2019 Jun,1256,-66,-5.0
JTU600000000000000JOL,2019,M07,2019 Jul,1335,79,6.3
JTU600000000000000JOL,2019,M08,2019 Aug,1331,-4,-0.3
JTU600000000000000JOL,2019,M09,2019 Sep,1183,-148,-11.1
JTU600000000000000JOL,2019,M10,2019 Oct,1296,113,9.6
JTU600000000000000JOL,2019,M11,2019 Nov,1221,-75,-5.8
JTU600000000000000JOL,2019,M12,2019 Dec,1188,-33,-2.7
JTU600000000000000JOL,2020,M01,2020 Jan,1461,273,23.0
JTU600000000000000JOL,2020,M02,2020 Feb,1205,-256,-17.5
JTU600000000000000JOL,2020,M03,2020 Mar,1129,-76,-6.3
JTU600000000000000JOL,2020,M04,2020 Apr,1108,-21,-1.9
JTU600000000000000JOL,2020,M05,2020 May,931,-177,-16.0
JTU600000000000000JOL,2020,M06,2020 Jun,1021,90,9.7
JTU600000000000000JOL,2020,M07,2020 Jul,1287,266,26.1
JTU600000000000000JOL,2020,M08,2020 Aug,1173,-114,-8.9
JTU600000000000000JOL,2020,M09,2020 Sep,1170,-3,-0.3
JTU600000000000000JOL,2020,M10,2020 Oct,1448,278,23.8
JTU600000000000000JOL,2020,M11,2020 Nov,1262,-186,-12.8
JTU600000000000000JOL,2020,M12,2020 Dec,1217,-45,-3.6
JTU600000000000000JOL,2021,M01,2021 Jan,1459,242,19.9
JTU600000000000000JOL,2021,M02,2021 Feb,1568,109,7.5
JTU600000000000000JOL,2021,M03,2021 Mar,1427,-141,-9.0
JTU600000000000000JOL,2021,M04,2021 Apr,1722,295,20.7
JTU600000000000000JOL,2021,M05,2021 May,1633,-89,-5.2
JTU600000000000000JOL,2021,M06,2021 Jun,1625,-8,-0.5
JTU600000000000000JOL,2021,M07,2021 Jul,2052,427,26.3
JTU600000000000000JOL,2021,M08,2021 Aug,1771,-281,-13.7
JTU600000000000000JOL,2021,M09,2021 Sep,1903,132,7.5
JTU600000000000000JOL,2021,M10,2021 Oct,2209,306,16.1
JTU600000000000000JOL,2021,M11,2021 Nov,2037,-172,-7.8
JTU600000000000000JOL,2021,M12,2021 Dec,2083,46,2.3
JTU600000000000000JOL,2022,M01,2022 Jan,2295,212,10.2
JTU600000000000000JOL,2022,M02,2022 Feb,2207,-88,-3.8
JTU600000000000000JOL,2022,M03,2022 Mar,2195,-12,-0.5
JTU600000000000000JOL,2022,M04,2022 Apr,2359,164,7.5
JTU600000000000000JOL,2022,M05,2022 May,2041,-318,-13.5
JTU600000000000000JOL,2022,M06,2022 Jun,2092,51,2.5
JTU600000000000000JOL,2022,M07,2022 Jul,2348,256,12.2
