Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU600000000000000TSL,2006,M01,2006 Jan,482,68,16.4
JTU600000000000000TSL,2006,M02,2006 Feb,363,-119,-24.7
JTU600000000000000TSL,2006,M03,2006 Mar,407,44,12.1
JTU600000000000000TSL,2006,M04,2006 Apr,497,90,22.1
JTU600000000000000TSL,2006,M05,2006 May,556,59,11.9
JTU600000000000000TSL,2006,M06,2006 Jun,601,45,8.1
JTU600000000000000TSL,2006,M07,2006 Jul,644,43,7.2
JTU600000000000000TSL,2006,M08,2006 Aug,616,-28,-4.3
JTU600000000000000TSL,2006,M09,2006 Sep,485,-131,-21.3
JTU600000000000000TSL,2006,M10,2006 Oct,482,-3,-0.6
JTU600000000000000TSL,2006,M11,2006 Nov,383,-99,-20.5
JTU600000000000000TSL,2006,M12,2006 Dec,429,46,12.0
JTU600000000000000TSL,2007,M01,2007 Jan,533,104,24.2
JTU600000000000000TSL,2007,M02,2007 Feb,391,-142,-26.6
JTU600000000000000TSL,2007,M03,2007 Mar,442,51,13.0
JTU600000000000000TSL,2007,M04,2007 Apr,474,32,7.2
JTU600000000000000TSL,2007,M05,2007 May,545,71,15.0
JTU600000000000000TSL,2007,M06,2007 Jun,610,65,11.9
JTU600000000000000TSL,2007,M07,2007 Jul,613,3,0.5
JTU600000000000000TSL,2007,M08,2007 Aug,627,14,2.3
JTU600000000000000TSL,2007,M09,2007 Sep,481,-146,-23.3
JTU600000000000000TSL,2007,M10,2007 Oct,485,4,0.8
JTU600000000000000TSL,2007,M11,2007 Nov,410,-75,-15.5
JTU600000000000000TSL,2007,M12,2007 Dec,392,-18,-4.4
JTU600000000000000TSL,2008,M01,2008 Jan,547,155,39.5
JTU600000000000000TSL,2008,M02,2008 Feb,430,-117,-21.4
JTU600000000000000TSL,2008,M03,2008 Mar,458,28,6.5
JTU600000000000000TSL,2008,M04,2008 Apr,503,45,9.8
JTU600000000000000TSL,2008,M05,2008 May,518,15,3.0
JTU600000000000000TSL,2008,M06,2008 Jun,581,63,12.2
JTU600000000000000TSL,2008,M07,2008 Jul,608,27,4.6
JTU600000000000000TSL,2008,M08,2008 Aug,626,18,3.0
JTU600000000000000TSL,2008,M09,2008 Sep,496,-130,-20.8
JTU600000000000000TSL,2008,M10,2008 Oct,481,-15,-3.0
JTU600000000000000TSL,2008,M11,2008 Nov,357,-124,-25.8
JTU600000000000000TSL,2008,M12,2008 Dec,413,56,15.7
JTU600000000000000TSL,2009,M01,2009 Jan,512,99,24.0
JTU600000000000000TSL,2009,M02,2009 Feb,405,-107,-20.9
JTU600000000000000TSL,2009,M03,2009 Mar,419,14,3.5
JTU600000000000000TSL,2009,M04,2009 Apr,465,46,11.0
JTU600000000000000TSL,2009,M05,2009 May,428,-37,-8.0
JTU600000000000000TSL,2009,M06,2009 Jun,578,150,35.0
JTU600000000000000TSL,2009,M07,2009 Jul,618,40,6.9
JTU600000000000000TSL,2009,M08,2009 Aug,624,6,1.0
JTU600000000000000TSL,2009,M09,2009 Sep,504,-120,-19.2
JTU600000000000000TSL,2009,M10,2009 Oct,436,-68,-13.5
JTU600000000000000TSL,2009,M11,2009 Nov,363,-73,-16.7
JTU600000000000000TSL,2009,M12,2009 Dec,404,41,11.3
JTU600000000000000TSL,2010,M01,2010 Jan,464,60,14.9
JTU600000000000000TSL,2010,M02,2010 Feb,366,-98,-21.1
JTU600000000000000TSL,2010,M03,2010 Mar,391,25,6.8
JTU600000000000000TSL,2010,M04,2010 Apr,453,62,15.9
JTU600000000000000TSL,2010,M05,2010 May,436,-17,-3.8
JTU600000000000000TSL,2010,M06,2010 Jun,596,160,36.7
JTU600000000000000TSL,2010,M07,2010 Jul,625,29,4.9
JTU600000000000000TSL,2010,M08,2010 Aug,573,-52,-8.3
JTU600000000000000TSL,2010,M09,2010 Sep,512,-61,-10.6
JTU600000000000000TSL,2010,M10,2010 Oct,404,-108,-21.1
JTU600000000000000TSL,2010,M11,2010 Nov,372,-32,-7.9
JTU600000000000000TSL,2010,M12,2010 Dec,419,47,12.6
JTU600000000000000TSL,2011,M01,2011 Jan,461,42,10.0
JTU600000000000000TSL,2011,M02,2011 Feb,367,-94,-20.4
JTU600000000000000TSL,2011,M03,2011 Mar,379,12,3.3
JTU600000000000000TSL,2011,M04,2011 Apr,430,51,13.5
JTU600000000000000TSL,2011,M05,2011 May,466,36,8.4
JTU600000000000000TSL,2011,M06,2011 Jun,596,130,27.9
JTU600000000000000TSL,2011,M07,2011 Jul,557,-39,-6.5
JTU600000000000000TSL,2011,M08,2011 Aug,617,60,10.8
JTU600000000000000TSL,2011,M09,2011 Sep,446,-171,-27.7
JTU600000000000000TSL,2011,M10,2011 Oct,421,-25,-5.6
