Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNU04032240,2006,M01,2006 Jan,3.2,0.4,14.3
LNU04032240,2006,M02,2006 Feb,2.8,-0.4,-12.5
LNU04032240,2006,M03,2006 Mar,3.0,0.2,7.1
LNU04032240,2006,M04,2006 Apr,3.0,0.0,0.0
LNU04032240,2006,M05,2006 May,2.9,-0.1,-3.3
LNU04032240,2006,M06,2006 Jun,3.3,0.4,13.8
LNU04032240,2006,M07,2006 Jul,3.5,0.2,6.1
LNU04032240,2006,M08,2006 Aug,3.2,-0.3,-8.6
LNU04032240,2006,M09,2006 Sep,3.0,-0.2,-6.3
LNU04032240,2006,M10,2006 Oct,2.8,-0.2,-6.7
LNU04032240,2006,M11,2006 Nov,2.8,0.0,0.0
LNU04032240,2006,M12,2006 Dec,2.6,-0.2,-7.1
LNU04032240,2007,M01,2007 Jan,2.9,0.3,11.5
LNU04032240,2007,M02,2007 Feb,2.5,-0.4,-13.8
LNU04032240,2007,M03,2007 Mar,2.5,0.0,0.0
LNU04032240,2007,M04,2007 Apr,2.9,0.4,16.0
LNU04032240,2007,M05,2007 May,3.3,0.4,13.8
LNU04032240,2007,M06,2007 Jun,3.4,0.1,3.0
LNU04032240,2007,M07,2007 Jul,3.5,0.1,2.9
LNU04032240,2007,M08,2007 Aug,3.4,-0.1,-2.9
LNU04032240,2007,M09,2007 Sep,3.2,-0.2,-5.9
LNU04032240,2007,M10,2007 Oct,2.7,-0.5,-15.6
LNU04032240,2007,M11,2007 Nov,2.7,0.0,0.0
LNU04032240,2007,M12,2007 Dec,2.6,-0.1,-3.7
LNU04032240,2008,M01,2008 Jan,2.9,0.3,11.5
LNU04032240,2008,M02,2008 Feb,2.9,0.0,0.0
LNU04032240,2008,M03,2008 Mar,3.1,0.2,6.9
LNU04032240,2008,M04,2008 Apr,2.8,-0.3,-9.7
LNU04032240,2008,M05,2008 May,3.2,0.4,14.3
LNU04032240,2008,M06,2008 Jun,3.4,0.2,6.3
LNU04032240,2008,M07,2008 Jul,3.9,0.5,14.7
LNU04032240,2008,M08,2008 Aug,4.3,0.4,10.3
LNU04032240,2008,M09,2008 Sep,4.1,-0.2,-4.7
LNU04032240,2008,M10,2008 Oct,3.9,-0.2,-4.9
LNU04032240,2008,M11,2008 Nov,3.6,-0.3,-7.7
LNU04032240,2008,M12,2008 Dec,3.8,0.2,5.6
LNU04032240,2009,M01,2009 Jan,3.8,0.0,0.0
LNU04032240,2009,M02,2009 Feb,4.1,0.3,7.9
LNU04032240,2009,M03,2009 Mar,4.5,0.4,9.8
LNU04032240,2009,M04,2009 Apr,4.6,0.1,2.2
LNU04032240,2009,M05,2009 May,4.9,0.3,6.5
LNU04032240,2009,M06,2009 Jun,6.1,1.2,24.5
LNU04032240,2009,M07,2009 Jul,6.1,0.0,0.0
LNU04032240,2009,M08,2009 Aug,6.0,-0.1,-1.6
LNU04032240,2009,M09,2009 Sep,6.0,0.0,0.0
LNU04032240,2009,M10,2009 Oct,6.0,0.0,0.0
LNU04032240,2009,M11,2009 Nov,5.5,-0.5,-8.3
LNU04032240,2009,M12,2009 Dec,5.6,0.1,1.8
LNU04032240,2010,M01,2010 Jan,5.5,-0.1,-1.8
LNU04032240,2010,M02,2010 Feb,5.6,0.1,1.8
