Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES6500000001,2006,M01,2006 Jan,17946,52,0.3
CES6500000001,2006,M02,2006 Feb,17998,52,0.3
CES6500000001,2006,M03,2006 Mar,18045,47,0.3
CES6500000001,2006,M04,2006 Apr,18070,25,0.1
CES6500000001,2006,M05,2006 May,18100,30,0.2
CES6500000001,2006,M06,2006 Jun,18102,2,0.0
CES6500000001,2006,M07,2006 Jul,18128,26,0.1
CES6500000001,2006,M08,2006 Aug,18182,54,0.3
CES6500000001,2006,M09,2006 Sep,18248,66,0.4
CES6500000001,2006,M10,2006 Oct,18288,40,0.2
CES6500000001,2006,M11,2006 Nov,18337,49,0.3
CES6500000001,2006,M12,2006 Dec,18378,41,0.2
CES6500000001,2007,M01,2007 Jan,18415,37,0.2
CES6500000001,2007,M02,2007 Feb,18451,36,0.2
CES6500000001,2007,M03,2007 Mar,18507,56,0.3
CES6500000001,2007,M04,2007 Apr,18563,56,0.3
CES6500000001,2007,M05,2007 May,18608,45,0.2
CES6500000001,2007,M06,2007 Jun,18661,53,0.3
CES6500000001,2007,M07,2007 Jul,18691,30,0.2
CES6500000001,2007,M08,2007 Aug,18755,64,0.3
CES6500000001,2007,M09,2007 Sep,18812,57,0.3
CES6500000001,2007,M10,2007 Oct,18849,37,0.2
CES6500000001,2007,M11,2007 Nov,18875,26,0.1
CES6500000001,2007,M12,2007 Dec,18924,49,0.3
CES6500000001,2008,M01,2008 Jan,18978,54,0.3
CES6500000001,2008,M02,2008 Feb,19018,40,0.2
CES6500000001,2008,M03,2008 Mar,19068,50,0.3
CES6500000001,2008,M04,2008 Apr,19126,58,0.3
CES6500000001,2008,M05,2008 May,19166,40,0.2
CES6500000001,2008,M06,2008 Jun,19224,58,0.3
CES6500000001,2008,M07,2008 Jul,19275,51,0.3
CES6500000001,2008,M08,2008 Aug,19337,62,0.3
CES6500000001,2008,M09,2008 Sep,19343,6,0.0
CES6500000001,2008,M10,2008 Oct,19363,20,0.1
CES6500000001,2008,M11,2008 Nov,19401,38,0.2
CES6500000001,2008,M12,2008 Dec,19442,41,0.2
CES6500000001,2009,M01,2009 Jan,19482,40,0.2
CES6500000001,2009,M02,2009 Feb,19507,25,0.1
CES6500000001,2009,M03,2009 Mar,19514,7,0.0
CES6500000001,2009,M04,2009 Apr,19521,7,0.0
CES6500000001,2009,M05,2009 May,19582,61,0.3
CES6500000001,2009,M06,2009 Jun,19614,32,0.2
CES6500000001,2009,M07,2009 Jul,19629,15,0.1
CES6500000001,2009,M08,2009 Aug,19681,52,0.3
CES6500000001,2009,M09,2009 Sep,19692,11,0.1
CES6500000001,2009,M10,2009 Oct,19736,44,0.2
CES6500000001,2009,M11,2009 Nov,19770,34,0.2
CES6500000001,2009,M12,2009 Dec,19804,34,0.2
CES6500000001,2010,M01,2010 Jan,19820,16,0.1
CES6500000001,2010,M02,2010 Feb,19839,19,0.1
CES6500000001,2010,M03,2010 Mar,19896,57,0.3
CES6500000001,2010,M04,2010 Apr,19902,6,0.0
CES6500000001,2010,M05,2010 May,19934,32,0.2
CES6500000001,2010,M06,2010 Jun,19955,21,0.1
CES6500000001,2010,M07,2010 Jul,19980,25,0.1
CES6500000001,2010,M08,2010 Aug,20017,37,0.2
CES6500000001,2010,M09,2010 Sep,20001,-16,-0.1
CES6500000001,2010,M10,2010 Oct,20074,73,0.4
CES6500000001,2010,M11,2010 Nov,20119,45,0.2
CES6500000001,2010,M12,2010 Dec,20134,15,0.1
