Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNS12300000,2006,M01,2006 Jan,62.9,0.1,0.2
LNS12300000,2006,M02,2006 Feb,63.0,0.1,0.2
LNS12300000,2006,M03,2006 Mar,63.1,0.1,0.2
LNS12300000,2006,M04,2006 Apr,63.0,-0.1,-0.2
LNS12300000,2006,M05,2006 May,63.1,0.1,0.2
LNS12300000,2006,M06,2006 Jun,63.1,0.0,0.0
LNS12300000,2006,M07,2006 Jul,63.0,-0.1,-0.2
LNS12300000,2006,M08,2006 Aug,63.1,0.1,0.2
LNS12300000,2006,M09,2006 Sep,63.1,0.0,0.0
LNS12300000,2006,M10,2006 Oct,63.3,0.2,0.3
LNS12300000,2006,M11,2006 Nov,63.3,0.0,0.0
LNS12300000,2006,M12,2006 Dec,63.4,0.1,0.2
LNS12300000,2007,M01,2007 Jan,63.3,-0.1,-0.2
LNS12300000,2007,M02,2007 Feb,63.3,0.0,0.0
LNS12300000,2007,M03,2007 Mar,63.3,0.0,0.0
LNS12300000,2007,M04,2007 Apr,63.0,-0.3,-0.5
LNS12300000,2007,M05,2007 May,63.0,0.0,0.0
LNS12300000,2007,M06,2007 Jun,63.0,0.0,0.0
LNS12300000,2007,M07,2007 Jul,62.9,-0.1,-0.2
LNS12300000,2007,M08,2007 Aug,62.7,-0.2,-0.3
LNS12300000,2007,M09,2007 Sep,62.9,0.2,0.3
LNS12300000,2007,M10,2007 Oct,62.7,-0.2,-0.3
LNS12300000,2007,M11,2007 Nov,62.9,0.2,0.3
LNS12300000,2007,M12,2007 Dec,62.7,-0.2,-0.3
LNS12300000,2008,M01,2008 Jan,62.9,0.2,0.3
LNS12300000,2008,M02,2008 Feb,62.8,-0.1,-0.2
LNS12300000,2008,M03,2008 Mar,62.7,-0.1,-0.2
LNS12300000,2008,M04,2008 Apr,62.7,0.0,0.0
LNS12300000,2008,M05,2008 May,62.5,-0.2,-0.3
LNS12300000,2008,M06,2008 Jun,62.4,-0.1,-0.2
LNS12300000,2008,M07,2008 Jul,62.2,-0.2,-0.3
LNS12300000,2008,M08,2008 Aug,62.0,-0.2,-0.3
LNS12300000,2008,M09,2008 Sep,61.9,-0.1,-0.2
LNS12300000,2008,M10,2008 Oct,61.7,-0.2,-0.3
LNS12300000,2008,M11,2008 Nov,61.4,-0.3,-0.5
LNS12300000,2008,M12,2008 Dec,61.0,-0.4,-0.7
LNS12300000,2009,M01,2009 Jan,60.6,-0.4,-0.7
LNS12300000,2009,M02,2009 Feb,60.3,-0.3,-0.5
LNS12300000,2009,M03,2009 Mar,59.9,-0.4,-0.7
