Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU510099000000000HIL,2006,M01,2006 Jan,268,104,63.4
JTU510099000000000HIL,2006,M02,2006 Feb,228,-40,-14.9
JTU510099000000000HIL,2006,M03,2006 Mar,226,-2,-0.9
JTU510099000000000HIL,2006,M04,2006 Apr,265,39,17.3
JTU510099000000000HIL,2006,M05,2006 May,258,-7,-2.6
JTU510099000000000HIL,2006,M06,2006 Jun,276,18,7.0
JTU510099000000000HIL,2006,M07,2006 Jul,324,48,17.4
JTU510099000000000HIL,2006,M08,2006 Aug,233,-91,-28.1
JTU510099000000000HIL,2006,M09,2006 Sep,254,21,9.0
JTU510099000000000HIL,2006,M10,2006 Oct,305,51,20.1
JTU510099000000000HIL,2006,M11,2006 Nov,231,-74,-24.3
JTU510099000000000HIL,2006,M12,2006 Dec,192,-39,-16.9
JTU510099000000000HIL,2007,M01,2007 Jan,265,73,38.0
JTU510099000000000HIL,2007,M02,2007 Feb,217,-48,-18.1
JTU510099000000000HIL,2007,M03,2007 Mar,216,-1,-0.5
JTU510099000000000HIL,2007,M04,2007 Apr,255,39,18.1
JTU510099000000000HIL,2007,M05,2007 May,299,44,17.3
JTU510099000000000HIL,2007,M06,2007 Jun,277,-22,-7.4
JTU510099000000000HIL,2007,M07,2007 Jul,298,21,7.6
JTU510099000000000HIL,2007,M08,2007 Aug,268,-30,-10.1
JTU510099000000000HIL,2007,M09,2007 Sep,236,-32,-11.9
JTU510099000000000HIL,2007,M10,2007 Oct,286,50,21.2
JTU510099000000000HIL,2007,M11,2007 Nov,196,-90,-31.5
JTU510099000000000HIL,2007,M12,2007 Dec,177,-19,-9.7
JTU510099000000000HIL,2008,M01,2008 Jan,273,96,54.2
JTU510099000000000HIL,2008,M02,2008 Feb,200,-73,-26.7
JTU510099000000000HIL,2008,M03,2008 Mar,187,-13,-6.5
JTU510099000000000HIL,2008,M04,2008 Apr,259,72,38.5
JTU510099000000000HIL,2008,M05,2008 May,220,-39,-15.1
JTU510099000000000HIL,2008,M06,2008 Jun,247,27,12.3
JTU510099000000000HIL,2008,M07,2008 Jul,249,2,0.8
JTU510099000000000HIL,2008,M08,2008 Aug,218,-31,-12.4
JTU510099000000000HIL,2008,M09,2008 Sep,210,-8,-3.7
JTU510099000000000HIL,2008,M10,2008 Oct,202,-8,-3.8
JTU510099000000000HIL,2008,M11,2008 Nov,170,-32,-15.8
JTU510099000000000HIL,2008,M12,2008 Dec,125,-45,-26.5
JTU510099000000000HIL,2009,M01,2009 Jan,201,76,60.8
JTU510099000000000HIL,2009,M02,2009 Feb,133,-68,-33.8
JTU510099000000000HIL,2009,M03,2009 Mar,150,17,12.8
JTU510099000000000HIL,2009,M04,2009 Apr,146,-4,-2.7
JTU510099000000000HIL,2009,M05,2009 May,174,28,19.2
JTU510099000000000HIL,2009,M06,2009 Jun,190,16,9.2
JTU510099000000000HIL,2009,M07,2009 Jul,217,27,14.2
JTU510099000000000HIL,2009,M08,2009 Aug,175,-42,-19.4
JTU510099000000000HIL,2009,M09,2009 Sep,140,-35,-20.0
JTU510099000000000HIL,2009,M10,2009 Oct,205,65,46.4
JTU510099000000000HIL,2009,M11,2009 Nov,112,-93,-45.4
JTU510099000000000HIL,2009,M12,2009 Dec,136,24,21.4
JTU510099000000000HIL,2010,M01,2010 Jan,175,39,28.7
JTU510099000000000HIL,2010,M02,2010 Feb,129,-46,-26.3
JTU510099000000000HIL,2010,M03,2010 Mar,131,2,1.6
JTU510099000000000HIL,2010,M04,2010 Apr,199,68,51.9
JTU510099000000000HIL,2010,M05,2010 May,190,-9,-4.5
JTU510099000000000HIL,2010,M06,2010 Jun,218,28,14.7
JTU510099000000000HIL,2010,M07,2010 Jul,200,-18,-8.3
JTU510099000000000HIL,2010,M08,2010 Aug,170,-30,-15.0
JTU510099000000000HIL,2010,M09,2010 Sep,159,-11,-6.5
JTU510099000000000HIL,2010,M10,2010 Oct,189,30,18.9
JTU510099000000000HIL,2010,M11,2010 Nov,134,-55,-29.1
JTU510099000000000HIL,2010,M12,2010 Dec,141,7,5.2
JTU510099000000000HIL,2011,M01,2011 Jan,161,20,14.2
JTU510099000000000HIL,2011,M02,2011 Feb,119,-42,-26.1
JTU510099000000000HIL,2011,M03,2011 Mar,145,26,21.8
JTU510099000000000HIL,2011,M04,2011 Apr,144,-1,-0.7
JTU510099000000000HIL,2011,M05,2011 May,169,25,17.4
JTU510099000000000HIL,2011,M06,2011 Jun,193,24,14.2
JTU510099000000000HIL,2011,M07,2011 Jul,182,-11,-5.7
JTU510099000000000HIL,2011,M08,2011 Aug,171,-11,-6.0
JTU510099000000000HIL,2011,M09,2011 Sep,146,-25,-14.6
JTU510099000000000HIL,2011,M10,2011 Oct,192,46,31.5
JTU510099000000000HIL,2011,M11,2011 Nov,148,-44,-22.9
JTU510099000000000HIL,2011,M12,2011 Dec,133,-15,-10.1
JTU510099000000000HIL,2012,M01,2012 Jan,179,46,34.6
JTU510099000000000HIL,2012,M02,2012 Feb,138,-41,-22.9
JTU510099000000000HIL,2012,M03,2012 Mar,165,27,19.6
JTU510099000000000HIL,2012,M04,2012 Apr,216,51,30.9
JTU510099000000000HIL,2012,M05,2012 May,200,-16,-7.4
JTU510099000000000HIL,2012,M06,2012 Jun,217,17,8.5
JTU510099000000000HIL,2012,M07,2012 Jul,191,-26,-12.0
JTU510099000000000HIL,2012,M08,2012 Aug,200,9,4.7
JTU510099000000000HIL,2012,M09,2012 Sep,191,-9,-4.5
JTU510099000000000HIL,2012,M10,2012 Oct,216,25,13.1
JTU510099000000000HIL,2012,M11,2012 Nov,181,-35,-16.2
JTU510099000000000HIL,2012,M12,2012 Dec,129,-52,-28.7
JTU510099000000000HIL,2013,M01,2013 Jan,231,102,79.1
JTU510099000000000HIL,2013,M02,2013 Feb,170,-61,-26.4
JTU510099000000000HIL,2013,M03,2013 Mar,168,-2,-1.2
JTU510099000000000HIL,2013,M04,2013 Apr,208,40,23.8
JTU510099000000000HIL,2013,M05,2013 May,243,35,16.8
JTU510099000000000HIL,2013,M06,2013 Jun,220,-23,-9.5
JTU510099000000000HIL,2013,M07,2013 Jul,243,23,10.5
JTU510099000000000HIL,2013,M08,2013 Aug,206,-37,-15.2
JTU510099000000000HIL,2013,M09,2013 Sep,215,9,4.4
JTU510099000000000HIL,2013,M10,2013 Oct,214,-1,-0.5
JTU510099000000000HIL,2013,M11,2013 Nov,160,-54,-25.2
JTU510099000000000HIL,2013,M12,2013 Dec,126,-34,-21.3
JTU510099000000000HIL,2014,M01,2014 Jan,177,51,40.5
JTU510099000000000HIL,2014,M02,2014 Feb,144,-33,-18.6
JTU510099000000000HIL,2014,M03,2014 Mar,183,39,27.1
JTU510099000000000HIL,2014,M04,2014 Apr,200,17,9.3
JTU510099000000000HIL,2014,M05,2014 May,209,9,4.5
JTU510099000000000HIL,2014,M06,2014 Jun,221,12,5.7
JTU510099000000000HIL,2014,M07,2014 Jul,218,-3,-1.4
JTU510099000000000HIL,2014,M08,2014 Aug,201,-17,-7.8
JTU510099000000000HIL,2014,M09,2014 Sep,195,-6,-3.0
JTU510099000000000HIL,2014,M10,2014 Oct,200,5,2.6
JTU510099000000000HIL,2014,M11,2014 Nov,205,5,2.5
JTU510099000000000HIL,2014,M12,2014 Dec,158,-47,-22.9
JTU510099000000000HIL,2015,M01,2015 Jan,228,70,44.3
JTU510099000000000HIL,2015,M02,2015 Feb,128,-100,-43.9
JTU510099000000000HIL,2015,M03,2015 Mar,181,53,41.4
JTU510099000000000HIL,2015,M04,2015 Apr,229,48,26.5
JTU510099000000000HIL,2015,M05,2015 May,213,-16,-7.0
