Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU510099000000000JOL,2006,M01,2006 Jan,478,99,26.1
JTU510099000000000JOL,2006,M02,2006 Feb,350,-128,-26.8
JTU510099000000000JOL,2006,M03,2006 Mar,357,7,2.0
JTU510099000000000JOL,2006,M04,2006 Apr,432,75,21.0
JTU510099000000000JOL,2006,M05,2006 May,330,-102,-23.6
JTU510099000000000JOL,2006,M06,2006 Jun,343,13,3.9
JTU510099000000000JOL,2006,M07,2006 Jul,277,-66,-19.2
JTU510099000000000JOL,2006,M08,2006 Aug,290,13,4.7
JTU510099000000000JOL,2006,M09,2006 Sep,276,-14,-4.8
JTU510099000000000JOL,2006,M10,2006 Oct,318,42,15.2
JTU510099000000000JOL,2006,M11,2006 Nov,292,-26,-8.2
JTU510099000000000JOL,2006,M12,2006 Dec,253,-39,-13.4
JTU510099000000000JOL,2007,M01,2007 Jan,269,16,6.3
JTU510099000000000JOL,2007,M02,2007 Feb,270,1,0.4
JTU510099000000000JOL,2007,M03,2007 Mar,334,64,23.7
JTU510099000000000JOL,2007,M04,2007 Apr,281,-53,-15.9
JTU510099000000000JOL,2007,M05,2007 May,269,-12,-4.3
JTU510099000000000JOL,2007,M06,2007 Jun,271,2,0.7
JTU510099000000000JOL,2007,M07,2007 Jul,329,58,21.4
JTU510099000000000JOL,2007,M08,2007 Aug,309,-20,-6.1
JTU510099000000000JOL,2007,M09,2007 Sep,260,-49,-15.9
JTU510099000000000JOL,2007,M10,2007 Oct,281,21,8.1
JTU510099000000000JOL,2007,M11,2007 Nov,206,-75,-26.7
JTU510099000000000JOL,2007,M12,2007 Dec,227,21,10.2
JTU510099000000000JOL,2008,M01,2008 Jan,432,205,90.3
JTU510099000000000JOL,2008,M02,2008 Feb,222,-210,-48.6
JTU510099000000000JOL,2008,M03,2008 Mar,242,20,9.0
JTU510099000000000JOL,2008,M04,2008 Apr,244,2,0.8
JTU510099000000000JOL,2008,M05,2008 May,200,-44,-18.0
