Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU510099000000000TSL,2006,M01,2006 Jan,277,93,50.5
JTU510099000000000TSL,2006,M02,2006 Feb,205,-72,-26.0
JTU510099000000000TSL,2006,M03,2006 Mar,225,20,9.8
JTU510099000000000TSL,2006,M04,2006 Apr,233,8,3.6
JTU510099000000000TSL,2006,M05,2006 May,219,-14,-6.0
JTU510099000000000TSL,2006,M06,2006 Jun,243,24,11.0
JTU510099000000000TSL,2006,M07,2006 Jul,302,59,24.3
JTU510099000000000TSL,2006,M08,2006 Aug,266,-36,-11.9
JTU510099000000000TSL,2006,M09,2006 Sep,251,-15,-5.6
JTU510099000000000TSL,2006,M10,2006 Oct,303,52,20.7
JTU510099000000000TSL,2006,M11,2006 Nov,199,-104,-34.3
JTU510099000000000TSL,2006,M12,2006 Dec,220,21,10.6
JTU510099000000000TSL,2007,M01,2007 Jan,307,87,39.5
JTU510099000000000TSL,2007,M02,2007 Feb,219,-88,-28.7
JTU510099000000000TSL,2007,M03,2007 Mar,246,27,12.3
JTU510099000000000TSL,2007,M04,2007 Apr,273,27,11.0
JTU510099000000000TSL,2007,M05,2007 May,255,-18,-6.6
JTU510099000000000TSL,2007,M06,2007 Jun,228,-27,-10.6
JTU510099000000000TSL,2007,M07,2007 Jul,275,47,20.6
JTU510099000000000TSL,2007,M08,2007 Aug,342,67,24.4
JTU510099000000000TSL,2007,M09,2007 Sep,269,-73,-21.3
JTU510099000000000TSL,2007,M10,2007 Oct,290,21,7.8
JTU510099000000000TSL,2007,M11,2007 Nov,191,-99,-34.1
JTU510099000000000TSL,2007,M12,2007 Dec,210,19,9.9
JTU510099000000000TSL,2008,M01,2008 Jan,321,111,52.9
JTU510099000000000TSL,2008,M02,2008 Feb,216,-105,-32.7
JTU510099000000000TSL,2008,M03,2008 Mar,210,-6,-2.8
JTU510099000000000TSL,2008,M04,2008 Apr,270,60,28.6
JTU510099000000000TSL,2008,M05,2008 May,203,-67,-24.8
JTU510099000000000TSL,2008,M06,2008 Jun,205,2,1.0
JTU510099000000000TSL,2008,M07,2008 Jul,246,41,20.0
JTU510099000000000TSL,2008,M08,2008 Aug,258,12,4.9
JTU510099000000000TSL,2008,M09,2008 Sep,252,-6,-2.3
JTU510099000000000TSL,2008,M10,2008 Oct,231,-21,-8.3
JTU510099000000000TSL,2008,M11,2008 Nov,182,-49,-21.2
JTU510099000000000TSL,2008,M12,2008 Dec,169,-13,-7.1
JTU510099000000000TSL,2009,M01,2009 Jan,306,137,81.1
JTU510099000000000TSL,2009,M02,2009 Feb,180,-126,-41.2
JTU510099000000000TSL,2009,M03,2009 Mar,204,24,13.3
JTU510099000000000TSL,2009,M04,2009 Apr,208,4,2.0
JTU510099000000000TSL,2009,M05,2009 May,175,-33,-15.9
JTU510099000000000TSL,2009,M06,2009 Jun,169,-6,-3.4
JTU510099000000000TSL,2009,M07,2009 Jul,216,47,27.8
JTU510099000000000TSL,2009,M08,2009 Aug,215,-1,-0.5
JTU510099000000000TSL,2009,M09,2009 Sep,160,-55,-25.6
JTU510099000000000TSL,2009,M10,2009 Oct,216,56,35.0
JTU510099000000000TSL,2009,M11,2009 Nov,106,-110,-50.9
JTU510099000000000TSL,2009,M12,2009 Dec,166,60,56.6
JTU510099000000000TSL,2010,M01,2010 Jan,224,58,34.9
JTU510099000000000TSL,2010,M02,2010 Feb,145,-79,-35.3
JTU510099000000000TSL,2010,M03,2010 Mar,154,9,6.2
JTU510099000000000TSL,2010,M04,2010 Apr,199,45,29.2
JTU510099000000000TSL,2010,M05,2010 May,175,-24,-12.1
JTU510099000000000TSL,2010,M06,2010 Jun,186,11,6.3
JTU510099000000000TSL,2010,M07,2010 Jul,199,13,7.0
JTU510099000000000TSL,2010,M08,2010 Aug,181,-18,-9.0
JTU510099000000000TSL,2010,M09,2010 Sep,159,-22,-12.2
JTU510099000000000TSL,2010,M10,2010 Oct,181,22,13.8
JTU510099000000000TSL,2010,M11,2010 Nov,128,-53,-29.3
JTU510099000000000TSL,2010,M12,2010 Dec,164,36,28.1
JTU510099000000000TSL,2011,M01,2011 Jan,200,36,22.0
JTU510099000000000TSL,2011,M02,2011 Feb,128,-72,-36.0
JTU510099000000000TSL,2011,M03,2011 Mar,140,12,9.4
JTU510099000000000TSL,2011,M04,2011 Apr,142,2,1.4
JTU510099000000000TSL,2011,M05,2011 May,129,-13,-9.2
JTU510099000000000TSL,2011,M06,2011 Jun,169,40,31.0
JTU510099000000000TSL,2011,M07,2011 Jul,164,-5,-3.0
JTU510099000000000TSL,2011,M08,2011 Aug,181,17,10.4
JTU510099000000000TSL,2011,M09,2011 Sep,157,-24,-13.3
JTU510099000000000TSL,2011,M10,2011 Oct,172,15,9.6
JTU510099000000000TSL,2011,M11,2011 Nov,131,-41,-23.8
JTU510099000000000TSL,2011,M12,2011 Dec,156,25,19.1
JTU510099000000000TSL,2012,M01,2012 Jan,202,46,29.5
JTU510099000000000TSL,2012,M02,2012 Feb,138,-64,-31.7
JTU510099000000000TSL,2012,M03,2012 Mar,140,2,1.4
JTU510099000000000TSL,2012,M04,2012 Apr,211,71,50.7
JTU510099000000000TSL,2012,M05,2012 May,163,-48,-22.7
JTU510099000000000TSL,2012,M06,2012 Jun,185,22,13.5
JTU510099000000000TSL,2012,M07,2012 Jul,181,-4,-2.2
JTU510099000000000TSL,2012,M08,2012 Aug,217,36,19.9
JTU510099000000000TSL,2012,M09,2012 Sep,181,-36,-16.6
JTU510099000000000TSL,2012,M10,2012 Oct,196,15,8.3
JTU510099000000000TSL,2012,M11,2012 Nov,164,-32,-16.3
JTU510099000000000TSL,2012,M12,2012 Dec,151,-13,-7.9
JTU510099000000000TSL,2013,M01,2013 Jan,254,103,68.2
JTU510099000000000TSL,2013,M02,2013 Feb,163,-91,-35.8
JTU510099000000000TSL,2013,M03,2013 Mar,156,-7,-4.3
JTU510099000000000TSL,2013,M04,2013 Apr,189,33,21.2
JTU510099000000000TSL,2013,M05,2013 May,202,13,6.9
JTU510099000000000TSL,2013,M06,2013 Jun,186,-16,-7.9
JTU510099000000000TSL,2013,M07,2013 Jul,212,26,14.0
JTU510099000000000TSL,2013,M08,2013 Aug,251,39,18.4
JTU510099000000000TSL,2013,M09,2013 Sep,215,-36,-14.3
JTU510099000000000TSL,2013,M10,2013 Oct,191,-24,-11.2
JTU510099000000000TSL,2013,M11,2013 Nov,150,-41,-21.5
JTU510099000000000TSL,2013,M12,2013 Dec,157,7,4.7
JTU510099000000000TSL,2014,M01,2014 Jan,194,37,23.6
JTU510099000000000TSL,2014,M02,2014 Feb,134,-60,-30.9
JTU510099000000000TSL,2014,M03,2014 Mar,173,39,29.1
JTU510099000000000TSL,2014,M04,2014 Apr,181,8,4.6
JTU510099000000000TSL,2014,M05,2014 May,181,0,0.0
JTU510099000000000TSL,2014,M06,2014 Jun,174,-7,-3.9
JTU510099000000000TSL,2014,M07,2014 Jul,194,20,11.5
JTU510099000000000TSL,2014,M08,2014 Aug,233,39,20.1
JTU510099000000000TSL,2014,M09,2014 Sep,185,-48,-20.6
JTU510099000000000TSL,2014,M10,2014 Oct,169,-16,-8.6
JTU510099000000000TSL,2014,M11,2014 Nov,184,15,8.9
JTU510099000000000TSL,2014,M12,2014 Dec,195,11,6.0
JTU510099000000000TSL,2015,M01,2015 Jan,217,22,11.3
JTU510099000000000TSL,2015,M02,2015 Feb,123,-94,-43.3
JTU510099000000000TSL,2015,M03,2015 Mar,163,40,32.5
JTU510099000000000TSL,2015,M04,2015 Apr,220,57,35.0
JTU510099000000000TSL,2015,M05,2015 May,186,-34,-15.5
JTU510099000000000TSL,2015,M06,2015 Jun,184,-2,-1.1
JTU510099000000000TSL,2015,M07,2015 Jul,179,-5,-2.7
JTU510099000000000TSL,2015,M08,2015 Aug,225,46,25.7
JTU510099000000000TSL,2015,M09,2015 Sep,179,-46,-20.4
JTU510099000000000TSL,2015,M10,2015 Oct,192,13,7.3
JTU510099000000000TSL,2015,M11,2015 Nov,169,-23,-12.0
JTU510099000000000TSL,2015,M12,2015 Dec,189,20,11.8
JTU510099000000000TSL,2016,M01,2016 Jan,232,43,22.8
JTU510099000000000TSL,2016,M02,2016 Feb,185,-47,-20.3
JTU510099000000000TSL,2016,M03,2016 Mar,182,-3,-1.6
JTU510099000000000TSL,2016,M04,2016 Apr,200,18,9.9
JTU510099000000000TSL,2016,M05,2016 May,178,-22,-11.0
JTU510099000000000TSL,2016,M06,2016 Jun,187,9,5.1
JTU510099000000000TSL,2016,M07,2016 Jul,171,-16,-8.6
JTU510099000000000TSL,2016,M08,2016 Aug,228,57,33.3
JTU510099000000000TSL,2016,M09,2016 Sep,165,-63,-27.6
JTU510099000000000TSL,2016,M10,2016 Oct,199,34,20.6
JTU510099000000000TSL,2016,M11,2016 Nov,140,-59,-29.6
JTU510099000000000TSL,2016,M12,2016 Dec,150,10,7.1
JTU510099000000000TSL,2017,M01,2017 Jan,230,80,53.3
JTU510099000000000TSL,2017,M02,2017 Feb,160,-70,-30.4
JTU510099000000000TSL,2017,M03,2017 Mar,196,36,22.5
JTU510099000000000TSL,2017,M04,2017 Apr,209,13,6.6
JTU510099000000000TSL,2017,M05,2017 May,213,4,1.9
JTU510099000000000TSL,2017,M06,2017 Jun,206,-7,-3.3
JTU510099000000000TSL,2017,M07,2017 Jul,206,0,0.0
JTU510099000000000TSL,2017,M08,2017 Aug,261,55,26.7
JTU510099000000000TSL,2017,M09,2017 Sep,173,-88,-33.7
JTU510099000000000TSL,2017,M10,2017 Oct,224,51,29.5
