Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNU04032238,2006,M01,2006 Jan,2.4,0.3,14.3
LNU04032238,2006,M02,2006 Feb,2.8,0.4,16.7
LNU04032238,2006,M03,2006 Mar,3.1,0.3,10.7
LNU04032238,2006,M04,2006 Apr,3.1,0.0,0.0
LNU04032238,2006,M05,2006 May,3.0,-0.1,-3.2
LNU04032238,2006,M06,2006 Jun,3.1,0.1,3.3
LNU04032238,2006,M07,2006 Jul,3.4,0.3,9.7
LNU04032238,2006,M08,2006 Aug,2.7,-0.7,-20.6
LNU04032238,2006,M09,2006 Sep,2.4,-0.3,-11.1
LNU04032238,2006,M10,2006 Oct,2.1,-0.3,-12.5
LNU04032238,2006,M11,2006 Nov,2.3,0.2,9.5
LNU04032238,2006,M12,2006 Dec,2.3,0.0,0.0
LNU04032238,2007,M01,2007 Jan,2.4,0.1,4.3
LNU04032238,2007,M02,2007 Feb,3.1,0.7,29.2
LNU04032238,2007,M03,2007 Mar,2.6,-0.5,-16.1
LNU04032238,2007,M04,2007 Apr,2.4,-0.2,-7.7
LNU04032238,2007,M05,2007 May,2.9,0.5,20.8
LNU04032238,2007,M06,2007 Jun,3.1,0.2,6.9
LNU04032238,2007,M07,2007 Jul,3.1,0.0,0.0
LNU04032238,2007,M08,2007 Aug,3.7,0.6,19.4
LNU04032238,2007,M09,2007 Sep,3.3,-0.4,-10.8
LNU04032238,2007,M10,2007 Oct,3.2,-0.1,-3.0
LNU04032238,2007,M11,2007 Nov,2.7,-0.5,-15.6
LNU04032238,2007,M12,2007 Dec,3.2,0.5,18.5
LNU04032238,2008,M01,2008 Jan,3.0,-0.2,-6.3
LNU04032238,2008,M02,2008 Feb,3.4,0.4,13.3
LNU04032238,2008,M03,2008 Mar,3.4,0.0,0.0
LNU04032238,2008,M04,2008 Apr,3.4,0.0,0.0
LNU04032238,2008,M05,2008 May,3.7,0.3,8.8
LNU04032238,2008,M06,2008 Jun,3.4,-0.3,-8.1
LNU04032238,2008,M07,2008 Jul,3.6,0.2,5.9
LNU04032238,2008,M08,2008 Aug,4.2,0.6,16.7
LNU04032238,2008,M09,2008 Sep,4.0,-0.2,-4.8
LNU04032238,2008,M10,2008 Oct,4.5,0.5,12.5
LNU04032238,2008,M11,2008 Nov,5.2,0.7,15.6
LNU04032238,2008,M12,2008 Dec,5.6,0.4,7.7
LNU04032238,2009,M01,2009 Jan,6.0,0.4,7.1
LNU04032238,2009,M02,2009 Feb,6.7,0.7,11.7
LNU04032238,2009,M03,2009 Mar,6.8,0.1,1.5
LNU04032238,2009,M04,2009 Apr,6.0,-0.8,-11.8
LNU04032238,2009,M05,2009 May,5.7,-0.3,-5.0
LNU04032238,2009,M06,2009 Jun,5.5,-0.2,-3.5
LNU04032238,2009,M07,2009 Jul,6.1,0.6,10.9
LNU04032238,2009,M08,2009 Aug,6.0,-0.1,-1.6
LNU04032238,2009,M09,2009 Sep,7.1,1.1,18.3
LNU04032238,2009,M10,2009 Oct,7.0,-0.1,-1.4
LNU04032238,2009,M11,2009 Nov,6.7,-0.3,-4.3
LNU04032238,2009,M12,2009 Dec,7.2,0.5,7.5
LNU04032238,2010,M01,2010 Jan,6.6,-0.6,-8.3
LNU04032238,2010,M02,2010 Feb,7.5,0.9,13.6
LNU04032238,2010,M03,2010 Mar,7.7,0.2,2.7
LNU04032238,2010,M04,2010 Apr,7.6,-0.1,-1.3
LNU04032238,2010,M05,2010 May,6.8,-0.8,-10.5
LNU04032238,2010,M06,2010 Jun,6.9,0.1,1.5
LNU04032238,2010,M07,2010 Jul,6.4,-0.5,-7.2
LNU04032238,2010,M08,2010 Aug,6.7,0.3,4.7
LNU04032238,2010,M09,2010 Sep,6.3,-0.4,-6.0
LNU04032238,2010,M10,2010 Oct,6.7,0.4,6.3
LNU04032238,2010,M11,2010 Nov,6.7,0.0,0.0
LNU04032238,2010,M12,2010 Dec,6.4,-0.3,-4.5
LNU04032238,2011,M01,2011 Jan,7.2,0.8,12.5
LNU04032238,2011,M02,2011 Feb,6.9,-0.3,-4.2
LNU04032238,2011,M03,2011 Mar,7.1,0.2,2.9
LNU04032238,2011,M04,2011 Apr,6.7,-0.4,-5.6
LNU04032238,2011,M05,2011 May,6.8,0.1,1.5
LNU04032238,2011,M06,2011 Jun,6.8,0.0,0.0
LNU04032238,2011,M07,2011 Jul,6.0,-0.8,-11.8
LNU04032238,2011,M08,2011 Aug,6.2,0.2,3.3
LNU04032238,2011,M09,2011 Sep,5.5,-0.7,-11.3
LNU04032238,2011,M10,2011 Oct,5.8,0.3,5.5
LNU04032238,2011,M11,2011 Nov,6.1,0.3,5.2
LNU04032238,2011,M12,2011 Dec,5.6,-0.5,-8.2
LNU04032238,2012,M01,2012 Jan,4.9,-0.7,-12.5
LNU04032238,2012,M02,2012 Feb,5.3,0.4,8.2
LNU04032238,2012,M03,2012 Mar,5.7,0.4,7.5
LNU04032238,2012,M04,2012 Apr,5.5,-0.2,-3.5
LNU04032238,2012,M05,2012 May,5.1,-0.4,-7.3
LNU04032238,2012,M06,2012 Jun,5.6,0.5,9.8
LNU04032238,2012,M07,2012 Jul,5.1,-0.5,-8.9
LNU04032238,2012,M08,2012 Aug,5.3,0.2,3.9
LNU04032238,2012,M09,2012 Sep,4.8,-0.5,-9.4
LNU04032238,2012,M10,2012 Oct,4.9,0.1,2.1
LNU04032238,2012,M11,2012 Nov,4.7,-0.2,-4.1
LNU04032238,2012,M12,2012 Dec,4.1,-0.6,-12.8
LNU04032238,2013,M01,2013 Jan,5.5,1.4,34.1
LNU04032238,2013,M02,2013 Feb,4.5,-1.0,-18.2
LNU04032238,2013,M03,2013 Mar,4.3,-0.2,-4.4
LNU04032238,2013,M04,2013 Apr,5.4,1.1,25.6
LNU04032238,2013,M05,2013 May,4.4,-1.0,-18.5
LNU04032238,2013,M06,2013 Jun,4.7,0.3,6.8
