Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES5500000001,2006,M01,2006 Jan,8307,21,0.3
CES5500000001,2006,M02,2006 Feb,8332,25,0.3
CES5500000001,2006,M03,2006 Mar,8349,17,0.2
CES5500000001,2006,M04,2006 Apr,8371,22,0.3
CES5500000001,2006,M05,2006 May,8376,5,0.1
CES5500000001,2006,M06,2006 Jun,8364,-12,-0.1
CES5500000001,2006,M07,2006 Jul,8366,2,0.0
CES5500000001,2006,M08,2006 Aug,8374,8,0.1
CES5500000001,2006,M09,2006 Sep,8390,16,0.2
CES5500000001,2006,M10,2006 Oct,8385,-5,-0.1
CES5500000001,2006,M11,2006 Nov,8393,8,0.1
CES5500000001,2006,M12,2006 Dec,8393,0,0.0
CES5500000001,2007,M01,2007 Jan,8389,-4,0.0
CES5500000001,2007,M02,2007 Feb,8390,1,0.0
CES5500000001,2007,M03,2007 Mar,8380,-10,-0.1
CES5500000001,2007,M04,2007 Apr,8361,-19,-0.2
CES5500000001,2007,M05,2007 May,8370,9,0.1
CES5500000001,2007,M06,2007 Jun,8368,-2,0.0
CES5500000001,2007,M07,2007 Jul,8370,2,0.0
CES5500000001,2007,M08,2007 Aug,8342,-28,-0.3
CES5500000001,2007,M09,2007 Sep,8319,-23,-0.3
CES5500000001,2007,M10,2007 Oct,8308,-11,-0.1
CES5500000001,2007,M11,2007 Nov,8293,-15,-0.2
CES5500000001,2007,M12,2007 Dec,8282,-11,-0.1
CES5500000001,2008,M01,2008 Jan,8277,-5,-0.1
CES5500000001,2008,M02,2008 Feb,8268,-9,-0.1
CES5500000001,2008,M03,2008 Mar,8267,-1,0.0
CES5500000001,2008,M04,2008 Apr,8256,-11,-0.1
CES5500000001,2008,M05,2008 May,8248,-8,-0.1
CES5500000001,2008,M06,2008 Jun,8236,-12,-0.1
CES5500000001,2008,M07,2008 Jul,8219,-17,-0.2
CES5500000001,2008,M08,2008 Aug,8205,-14,-0.2
CES5500000001,2008,M09,2008 Sep,8172,-33,-0.4
