Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU700000000000000HIL,2006,M01,2006 Jan,832,127,18.0
JTU700000000000000HIL,2006,M02,2006 Feb,814,-18,-2.2
JTU700000000000000HIL,2006,M03,2006 Mar,942,128,15.7
JTU700000000000000HIL,2006,M04,2006 Apr,1081,139,14.8
JTU700000000000000HIL,2006,M05,2006 May,1107,26,2.4
JTU700000000000000HIL,2006,M06,2006 Jun,1138,31,2.8
JTU700000000000000HIL,2006,M07,2006 Jul,1041,-97,-8.5
JTU700000000000000HIL,2006,M08,2006 Aug,929,-112,-10.8
JTU700000000000000HIL,2006,M09,2006 Sep,835,-94,-10.1
JTU700000000000000HIL,2006,M10,2006 Oct,921,86,10.3
JTU700000000000000HIL,2006,M11,2006 Nov,859,-62,-6.7
JTU700000000000000HIL,2006,M12,2006 Dec,710,-149,-17.3
JTU700000000000000HIL,2007,M01,2007 Jan,815,105,14.8
JTU700000000000000HIL,2007,M02,2007 Feb,782,-33,-4.0
JTU700000000000000HIL,2007,M03,2007 Mar,904,122,15.6
JTU700000000000000HIL,2007,M04,2007 Apr,1105,201,22.2
JTU700000000000000HIL,2007,M05,2007 May,1116,11,1.0
JTU700000000000000HIL,2007,M06,2007 Jun,1163,47,4.2
JTU700000000000000HIL,2007,M07,2007 Jul,991,-172,-14.8
JTU700000000000000HIL,2007,M08,2007 Aug,970,-21,-2.1
JTU700000000000000HIL,2007,M09,2007 Sep,883,-87,-9.0
JTU700000000000000HIL,2007,M10,2007 Oct,920,37,4.2
JTU700000000000000HIL,2007,M11,2007 Nov,774,-146,-15.9
JTU700000000000000HIL,2007,M12,2007 Dec,676,-98,-12.7
JTU700000000000000HIL,2008,M01,2008 Jan,733,57,8.4
JTU700000000000000HIL,2008,M02,2008 Feb,784,51,7.0
JTU700000000000000HIL,2008,M03,2008 Mar,837,53,6.8
JTU700000000000000HIL,2008,M04,2008 Apr,979,142,17.0
JTU700000000000000HIL,2008,M05,2008 May,1091,112,11.4
JTU700000000000000HIL,2008,M06,2008 Jun,984,-107,-9.8
JTU700000000000000HIL,2008,M07,2008 Jul,874,-110,-11.2
JTU700000000000000HIL,2008,M08,2008 Aug,877,3,0.3
JTU700000000000000HIL,2008,M09,2008 Sep,786,-91,-10.4
JTU700000000000000HIL,2008,M10,2008 Oct,756,-30,-3.8
JTU700000000000000HIL,2008,M11,2008 Nov,594,-162,-21.4
JTU700000000000000HIL,2008,M12,2008 Dec,527,-67,-11.3
JTU700000000000000HIL,2009,M01,2009 Jan,597,70,13.3
JTU700000000000000HIL,2009,M02,2009 Feb,573,-24,-4.0
JTU700000000000000HIL,2009,M03,2009 Mar,631,58,10.1
JTU700000000000000HIL,2009,M04,2009 Apr,737,106,16.8
JTU700000000000000HIL,2009,M05,2009 May,841,104,14.1
JTU700000000000000HIL,2009,M06,2009 Jun,790,-51,-6.1
JTU700000000000000HIL,2009,M07,2009 Jul,676,-114,-14.4
JTU700000000000000HIL,2009,M08,2009 Aug,698,22,3.3
JTU700000000000000HIL,2009,M09,2009 Sep,634,-64,-9.2
JTU700000000000000HIL,2009,M10,2009 Oct,594,-40,-6.3
JTU700000000000000HIL,2009,M11,2009 Nov,574,-20,-3.4
JTU700000000000000HIL,2009,M12,2009 Dec,448,-126,-22.0
JTU700000000000000HIL,2010,M01,2010 Jan,546,98,21.9
JTU700000000000000HIL,2010,M02,2010 Feb,494,-52,-9.5
JTU700000000000000HIL,2010,M03,2010 Mar,679,185,37.4
JTU700000000000000HIL,2010,M04,2010 Apr,811,132,19.4
JTU700000000000000HIL,2010,M05,2010 May,823,12,1.5
JTU700000000000000HIL,2010,M06,2010 Jun,813,-10,-1.2
JTU700000000000000HIL,2010,M07,2010 Jul,725,-88,-10.8
JTU700000000000000HIL,2010,M08,2010 Aug,691,-34,-4.7
JTU700000000000000HIL,2010,M09,2010 Sep,685,-6,-0.9
JTU700000000000000HIL,2010,M10,2010 Oct,632,-53,-7.7
JTU700000000000000HIL,2010,M11,2010 Nov,551,-81,-12.8
JTU700000000000000HIL,2010,M12,2010 Dec,457,-94,-17.1
JTU700000000000000HIL,2011,M01,2011 Jan,523,66,14.4
JTU700000000000000HIL,2011,M02,2011 Feb,536,13,2.5
JTU700000000000000HIL,2011,M03,2011 Mar,780,244,45.5
JTU700000000000000HIL,2011,M04,2011 Apr,814,34,4.4
JTU700000000000000HIL,2011,M05,2011 May,847,33,4.1
JTU700000000000000HIL,2011,M06,2011 Jun,905,58,6.8
JTU700000000000000HIL,2011,M07,2011 Jul,777,-128,-14.1
JTU700000000000000HIL,2011,M08,2011 Aug,772,-5,-0.6
JTU700000000000000HIL,2011,M09,2011 Sep,774,2,0.3
JTU700000000000000HIL,2011,M10,2011 Oct,699,-75,-9.7
JTU700000000000000HIL,2011,M11,2011 Nov,668,-31,-4.4
JTU700000000000000HIL,2011,M12,2011 Dec,522,-146,-21.9
JTU700000000000000HIL,2012,M01,2012 Jan,640,118,22.6
JTU700000000000000HIL,2012,M02,2012 Feb,614,-26,-4.1
JTU700000000000000HIL,2012,M03,2012 Mar,870,256,41.7
JTU700000000000000HIL,2012,M04,2012 Apr,910,40,4.6
JTU700000000000000HIL,2012,M05,2012 May,948,38,4.2
JTU700000000000000HIL,2012,M06,2012 Jun,900,-48,-5.1
JTU700000000000000HIL,2012,M07,2012 Jul,802,-98,-10.9
JTU700000000000000HIL,2012,M08,2012 Aug,841,39,4.9
JTU700000000000000HIL,2012,M09,2012 Sep,752,-89,-10.6
JTU700000000000000HIL,2012,M10,2012 Oct,723,-29,-3.9
JTU700000000000000HIL,2012,M11,2012 Nov,596,-127,-17.6
JTU700000000000000HIL,2012,M12,2012 Dec,573,-23,-3.9
JTU700000000000000HIL,2013,M01,2013 Jan,671,98,17.1
JTU700000000000000HIL,2013,M02,2013 Feb,644,-27,-4.0
JTU700000000000000HIL,2013,M03,2013 Mar,814,170,26.4
JTU700000000000000HIL,2013,M04,2013 Apr,1015,201,24.7
JTU700000000000000HIL,2013,M05,2013 May,1037,22,2.2
JTU700000000000000HIL,2013,M06,2013 Jun,1006,-31,-3.0
JTU700000000000000HIL,2013,M07,2013 Jul,840,-166,-16.5
JTU700000000000000HIL,2013,M08,2013 Aug,815,-25,-3.0
JTU700000000000000HIL,2013,M09,2013 Sep,851,36,4.4
