Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU700000000000000JOL,2006,M01,2006 Jan,634,154,32.1
JTU700000000000000JOL,2006,M02,2006 Feb,553,-81,-12.8
JTU700000000000000JOL,2006,M03,2006 Mar,556,3,0.5
JTU700000000000000JOL,2006,M04,2006 Apr,791,235,42.3
JTU700000000000000JOL,2006,M05,2006 May,590,-201,-25.4
JTU700000000000000JOL,2006,M06,2006 Jun,521,-69,-11.7
JTU700000000000000JOL,2006,M07,2006 Jul,654,133,25.5
JTU700000000000000JOL,2006,M08,2006 Aug,581,-73,-11.2
JTU700000000000000JOL,2006,M09,2006 Sep,544,-37,-6.4
JTU700000000000000JOL,2006,M10,2006 Oct,600,56,10.3
JTU700000000000000JOL,2006,M11,2006 Nov,567,-33,-5.5
JTU700000000000000JOL,2006,M12,2006 Dec,469,-98,-17.3
JTU700000000000000JOL,2007,M01,2007 Jan,507,38,8.1
JTU700000000000000JOL,2007,M02,2007 Feb,523,16,3.2
JTU700000000000000JOL,2007,M03,2007 Mar,618,95,18.2
JTU700000000000000JOL,2007,M04,2007 Apr,673,55,8.9
JTU700000000000000JOL,2007,M05,2007 May,632,-41,-6.1
JTU700000000000000JOL,2007,M06,2007 Jun,606,-26,-4.1
JTU700000000000000JOL,2007,M07,2007 Jul,684,78,12.9
JTU700000000000000JOL,2007,M08,2007 Aug,650,-34,-5.0
JTU700000000000000JOL,2007,M09,2007 Sep,655,5,0.8
JTU700000000000000JOL,2007,M10,2007 Oct,623,-32,-4.9
JTU700000000000000JOL,2007,M11,2007 Nov,579,-44,-7.1
JTU700000000000000JOL,2007,M12,2007 Dec,479,-100,-17.3
JTU700000000000000JOL,2008,M01,2008 Jan,565,86,18.0
JTU700000000000000JOL,2008,M02,2008 Feb,533,-32,-5.7
JTU700000000000000JOL,2008,M03,2008 Mar,581,48,9.0
JTU700000000000000JOL,2008,M04,2008 Apr,649,68,11.7
JTU700000000000000JOL,2008,M05,2008 May,603,-46,-7.1
JTU700000000000000JOL,2008,M06,2008 Jun,455,-148,-24.5
JTU700000000000000JOL,2008,M07,2008 Jul,480,25,5.5
JTU700000000000000JOL,2008,M08,2008 Aug,450,-30,-6.3
JTU700000000000000JOL,2008,M09,2008 Sep,397,-53,-11.8
JTU700000000000000JOL,2008,M10,2008 Oct,428,31,7.8
JTU700000000000000JOL,2008,M11,2008 Nov,292,-136,-31.8
JTU700000000000000JOL,2008,M12,2008 Dec,247,-45,-15.4
JTU700000000000000JOL,2009,M01,2009 Jan,227,-20,-8.1
JTU700000000000000JOL,2009,M02,2009 Feb,314,87,38.3
JTU700000000000000JOL,2009,M03,2009 Mar,268,-46,-14.6
JTU700000000000000JOL,2009,M04,2009 Apr,355,87,32.5
JTU700000000000000JOL,2009,M05,2009 May,327,-28,-7.9
JTU700000000000000JOL,2009,M06,2009 Jun,277,-50,-15.3
JTU700000000000000JOL,2009,M07,2009 Jul,289,12,4.3
JTU700000000000000JOL,2009,M08,2009 Aug,215,-74,-25.6
JTU700000000000000JOL,2009,M09,2009 Sep,277,62,28.8
JTU700000000000000JOL,2009,M10,2009 Oct,288,11,4.0
JTU700000000000000JOL,2009,M11,2009 Nov,221,-67,-23.3
JTU700000000000000JOL,2009,M12,2009 Dec,164,-57,-25.8
JTU700000000000000JOL,2010,M01,2010 Jan,257,93,56.7
JTU700000000000000JOL,2010,M02,2010 Feb,267,10,3.9
JTU700000000000000JOL,2010,M03,2010 Mar,252,-15,-5.6
JTU700000000000000JOL,2010,M04,2010 Apr,366,114,45.2
JTU700000000000000JOL,2010,M05,2010 May,341,-25,-6.8
JTU700000000000000JOL,2010,M06,2010 Jun,324,-17,-5.0
JTU700000000000000JOL,2010,M07,2010 Jul,347,23,7.1
JTU700000000000000JOL,2010,M08,2010 Aug,379,32,9.2
JTU700000000000000JOL,2010,M09,2010 Sep,308,-71,-18.7
JTU700000000000000JOL,2010,M10,2010 Oct,446,138,44.8
JTU700000000000000JOL,2010,M11,2010 Nov,260,-186,-41.7
JTU700000000000000JOL,2010,M12,2010 Dec,248,-12,-4.6
JTU700000000000000JOL,2011,M01,2011 Jan,335,87,35.1
JTU700000000000000JOL,2011,M02,2011 Feb,397,62,18.5
JTU700000000000000JOL,2011,M03,2011 Mar,413,16,4.0
JTU700000000000000JOL,2011,M04,2011 Apr,426,13,3.1
JTU700000000000000JOL,2011,M05,2011 May,337,-89,-20.9
JTU700000000000000JOL,2011,M06,2011 Jun,402,65,19.3
JTU700000000000000JOL,2011,M07,2011 Jul,385,-17,-4.2
JTU700000000000000JOL,2011,M08,2011 Aug,407,22,5.7
JTU700000000000000JOL,2011,M09,2011 Sep,412,5,1.2
JTU700000000000000JOL,2011,M10,2011 Oct,455,43,10.4
JTU700000000000000JOL,2011,M11,2011 Nov,372,-83,-18.2
JTU700000000000000JOL,2011,M12,2011 Dec,332,-40,-10.8
JTU700000000000000JOL,2012,M01,2012 Jan,411,79,23.8
JTU700000000000000JOL,2012,M02,2012 Feb,393,-18,-4.4
JTU700000000000000JOL,2012,M03,2012 Mar,476,83,21.1
JTU700000000000000JOL,2012,M04,2012 Apr,601,125,26.3
JTU700000000000000JOL,2012,M05,2012 May,479,-122,-20.3
JTU700000000000000JOL,2012,M06,2012 Jun,481,2,0.4
JTU700000000000000JOL,2012,M07,2012 Jul,518,37,7.7
JTU700000000000000JOL,2012,M08,2012 Aug,438,-80,-15.4
JTU700000000000000JOL,2012,M09,2012 Sep,406,-32,-7.3
JTU700000000000000JOL,2012,M10,2012 Oct,504,98,24.1
JTU700000000000000JOL,2012,M11,2012 Nov,435,-69,-13.7
JTU700000000000000JOL,2012,M12,2012 Dec,354,-81,-18.6
JTU700000000000000JOL,2013,M01,2013 Jan,420,66,18.6
JTU700000000000000JOL,2013,M02,2013 Feb,531,111,26.4
JTU700000000000000JOL,2013,M03,2013 Mar,551,20,3.8
JTU700000000000000JOL,2013,M04,2013 Apr,598,47,8.5
JTU700000000000000JOL,2013,M05,2013 May,487,-111,-18.6
JTU700000000000000JOL,2013,M06,2013 Jun,491,4,0.8
JTU700000000000000JOL,2013,M07,2013 Jul,540,49,10.0
JTU700000000000000JOL,2013,M08,2013 Aug,544,4,0.7
JTU700000000000000JOL,2013,M09,2013 Sep,527,-17,-3.1
JTU700000000000000JOL,2013,M10,2013 Oct,552,25,4.7
JTU700000000000000JOL,2013,M11,2013 Nov,473,-79,-14.3
JTU700000000000000JOL,2013,M12,2013 Dec,441,-32,-6.8
JTU700000000000000JOL,2014,M01,2014 Jan,535,94,21.3
JTU700000000000000JOL,2014,M02,2014 Feb,572,37,6.9
JTU700000000000000JOL,2014,M03,2014 Mar,612,40,7.0
JTU700000000000000JOL,2014,M04,2014 Apr,817,205,33.5
JTU700000000000000JOL,2014,M05,2014 May,744,-73,-8.9
JTU700000000000000JOL,2014,M06,2014 Jun,671,-73,-9.8
JTU700000000000000JOL,2014,M07,2014 Jul,673,2,0.3
JTU700000000000000JOL,2014,M08,2014 Aug,732,59,8.8
JTU700000000000000JOL,2014,M09,2014 Sep,680,-52,-7.1
JTU700000000000000JOL,2014,M10,2014 Oct,672,-8,-1.2
JTU700000000000000JOL,2014,M11,2014 Nov,562,-110,-16.4
JTU700000000000000JOL,2014,M12,2014 Dec,550,-12,-2.1
JTU700000000000000JOL,2015,M01,2015 Jan,737,187,34.0
JTU700000000000000JOL,2015,M02,2015 Feb,755,18,2.4
JTU700000000000000JOL,2015,M03,2015 Mar,777,22,2.9
JTU700000000000000JOL,2015,M04,2015 Apr,888,111,14.3
JTU700000000000000JOL,2015,M05,2015 May,740,-148,-16.7
JTU700000000000000JOL,2015,M06,2015 Jun,659,-81,-10.9
JTU700000000000000JOL,2015,M07,2015 Jul,810,151,22.9
JTU700000000000000JOL,2015,M08,2015 Aug,725,-85,-10.5
JTU700000000000000JOL,2015,M09,2015 Sep,676,-49,-6.8
JTU700000000000000JOL,2015,M10,2015 Oct,772,96,14.2
JTU700000000000000JOL,2015,M11,2015 Nov,690,-82,-10.6
JTU700000000000000JOL,2015,M12,2015 Dec,582,-108,-15.7
