Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU700000000000000TSL,2006,M01,2006 Jan,940,163,21.0
JTU700000000000000TSL,2006,M02,2006 Feb,713,-227,-24.1
JTU700000000000000TSL,2006,M03,2006 Mar,695,-18,-2.5
JTU700000000000000TSL,2006,M04,2006 Apr,894,199,28.6
JTU700000000000000TSL,2006,M05,2006 May,842,-52,-5.8
JTU700000000000000TSL,2006,M06,2006 Jun,916,74,8.8
JTU700000000000000TSL,2006,M07,2006 Jul,948,32,3.5
JTU700000000000000TSL,2006,M08,2006 Aug,1043,95,10.0
JTU700000000000000TSL,2006,M09,2006 Sep,1067,24,2.3
JTU700000000000000TSL,2006,M10,2006 Oct,1104,37,3.5
JTU700000000000000TSL,2006,M11,2006 Nov,871,-233,-21.1
JTU700000000000000TSL,2006,M12,2006 Dec,781,-90,-10.3
JTU700000000000000TSL,2007,M01,2007 Jan,910,129,16.5
JTU700000000000000TSL,2007,M02,2007 Feb,685,-225,-24.7
JTU700000000000000TSL,2007,M03,2007 Mar,704,19,2.8
JTU700000000000000TSL,2007,M04,2007 Apr,941,237,33.7
JTU700000000000000TSL,2007,M05,2007 May,815,-126,-13.4
JTU700000000000000TSL,2007,M06,2007 Jun,939,124,15.2
JTU700000000000000TSL,2007,M07,2007 Jul,976,37,3.9
JTU700000000000000TSL,2007,M08,2007 Aug,1113,137,14.0
JTU700000000000000TSL,2007,M09,2007 Sep,1061,-52,-4.7
JTU700000000000000TSL,2007,M10,2007 Oct,1096,35,3.3
JTU700000000000000TSL,2007,M11,2007 Nov,821,-275,-25.1
JTU700000000000000TSL,2007,M12,2007 Dec,776,-45,-5.5
JTU700000000000000TSL,2008,M01,2008 Jan,871,95,12.2
JTU700000000000000TSL,2008,M02,2008 Feb,694,-177,-20.3
JTU700000000000000TSL,2008,M03,2008 Mar,664,-30,-4.3
JTU700000000000000TSL,2008,M04,2008 Apr,850,186,28.0
JTU700000000000000TSL,2008,M05,2008 May,836,-14,-1.6
JTU700000000000000TSL,2008,M06,2008 Jun,817,-19,-2.3
JTU700000000000000TSL,2008,M07,2008 Jul,887,70,8.6
JTU700000000000000TSL,2008,M08,2008 Aug,1066,179,20.2
JTU700000000000000TSL,2008,M09,2008 Sep,1037,-29,-2.7
JTU700000000000000TSL,2008,M10,2008 Oct,975,-62,-6.0
JTU700000000000000TSL,2008,M11,2008 Nov,715,-260,-26.7
JTU700000000000000TSL,2008,M12,2008 Dec,658,-57,-8.0
JTU700000000000000TSL,2009,M01,2009 Jan,745,87,13.2
JTU700000000000000TSL,2009,M02,2009 Feb,522,-223,-29.9
JTU700000000000000TSL,2009,M03,2009 Mar,543,21,4.0
JTU700000000000000TSL,2009,M04,2009 Apr,685,142,26.2
JTU700000000000000TSL,2009,M05,2009 May,597,-88,-12.8
JTU700000000000000TSL,2009,M06,2009 Jun,671,74,12.4
JTU700000000000000TSL,2009,M07,2009 Jul,672,1,0.1
JTU700000000000000TSL,2009,M08,2009 Aug,860,188,28.0
JTU700000000000000TSL,2009,M09,2009 Sep,754,-106,-12.3
JTU700000000000000TSL,2009,M10,2009 Oct,821,67,8.9
JTU700000000000000TSL,2009,M11,2009 Nov,668,-153,-18.6
JTU700000000000000TSL,2009,M12,2009 Dec,569,-99,-14.8
JTU700000000000000TSL,2010,M01,2010 Jan,665,96,16.9
JTU700000000000000TSL,2010,M02,2010 Feb,431,-234,-35.2
JTU700000000000000TSL,2010,M03,2010 Mar,515,84,19.5
JTU700000000000000TSL,2010,M04,2010 Apr,626,111,21.6
JTU700000000000000TSL,2010,M05,2010 May,585,-41,-6.5
JTU700000000000000TSL,2010,M06,2010 Jun,623,38,6.5
JTU700000000000000TSL,2010,M07,2010 Jul,707,84,13.5
JTU700000000000000TSL,2010,M08,2010 Aug,781,74,10.5
JTU700000000000000TSL,2010,M09,2010 Sep,771,-10,-1.3
JTU700000000000000TSL,2010,M10,2010 Oct,809,38,4.9
JTU700000000000000TSL,2010,M11,2010 Nov,636,-173,-21.4
JTU700000000000000TSL,2010,M12,2010 Dec,518,-118,-18.6
JTU700000000000000TSL,2011,M01,2011 Jan,632,114,22.0
JTU700000000000000TSL,2011,M02,2011 Feb,432,-200,-31.6
JTU700000000000000TSL,2011,M03,2011 Mar,558,126,29.2
JTU700000000000000TSL,2011,M04,2011 Apr,613,55,9.9
JTU700000000000000TSL,2011,M05,2011 May,637,24,3.9
JTU700000000000000TSL,2011,M06,2011 Jun,677,40,6.3
JTU700000000000000TSL,2011,M07,2011 Jul,753,76,11.2
JTU700000000000000TSL,2011,M08,2011 Aug,900,147,19.5
JTU700000000000000TSL,2011,M09,2011 Sep,932,32,3.6
JTU700000000000000TSL,2011,M10,2011 Oct,837,-95,-10.2
JTU700000000000000TSL,2011,M11,2011 Nov,730,-107,-12.8
JTU700000000000000TSL,2011,M12,2011 Dec,596,-134,-18.4
JTU700000000000000TSL,2012,M01,2012 Jan,700,104,17.4
JTU700000000000000TSL,2012,M02,2012 Feb,495,-205,-29.3
JTU700000000000000TSL,2012,M03,2012 Mar,629,134,27.1
JTU700000000000000TSL,2012,M04,2012 Apr,742,113,18.0
JTU700000000000000TSL,2012,M05,2012 May,709,-33,-4.4
JTU700000000000000TSL,2012,M06,2012 Jun,719,10,1.4
JTU700000000000000TSL,2012,M07,2012 Jul,775,56,7.8
JTU700000000000000TSL,2012,M08,2012 Aug,936,161,20.8
JTU700000000000000TSL,2012,M09,2012 Sep,843,-93,-9.9
JTU700000000000000TSL,2012,M10,2012 Oct,890,47,5.6
JTU700000000000000TSL,2012,M11,2012 Nov,646,-244,-27.4
JTU700000000000000TSL,2012,M12,2012 Dec,612,-34,-5.3
JTU700000000000000TSL,2013,M01,2013 Jan,736,124,20.3
JTU700000000000000TSL,2013,M02,2013 Feb,526,-210,-28.5
JTU700000000000000TSL,2013,M03,2013 Mar,625,99,18.8
JTU700000000000000TSL,2013,M04,2013 Apr,803,178,28.5
JTU700000000000000TSL,2013,M05,2013 May,735,-68,-8.5
JTU700000000000000TSL,2013,M06,2013 Jun,738,3,0.4
JTU700000000000000TSL,2013,M07,2013 Jul,806,68,9.2
JTU700000000000000TSL,2013,M08,2013 Aug,944,138,17.1
JTU700000000000000TSL,2013,M09,2013 Sep,1051,107,11.3
JTU700000000000000TSL,2013,M10,2013 Oct,879,-172,-16.4
JTU700000000000000TSL,2013,M11,2013 Nov,684,-195,-22.2
JTU700000000000000TSL,2013,M12,2013 Dec,635,-49,-7.2
JTU700000000000000TSL,2014,M01,2014 Jan,775,140,22.0
JTU700000000000000TSL,2014,M02,2014 Feb,599,-176,-22.7
JTU700000000000000TSL,2014,M03,2014 Mar,640,41,6.8
JTU700000000000000TSL,2014,M04,2014 Apr,812,172,26.9
JTU700000000000000TSL,2014,M05,2014 May,801,-11,-1.4
JTU700000000000000TSL,2014,M06,2014 Jun,864,63,7.9
JTU700000000000000TSL,2014,M07,2014 Jul,917,53,6.1
JTU700000000000000TSL,2014,M08,2014 Aug,1069,152,16.6
JTU700000000000000TSL,2014,M09,2014 Sep,1122,53,5.0
JTU700000000000000TSL,2014,M10,2014 Oct,1000,-122,-10.9
JTU700000000000000TSL,2014,M11,2014 Nov,789,-211,-21.1
JTU700000000000000TSL,2014,M12,2014 Dec,763,-26,-3.3
JTU700000000000000TSL,2015,M01,2015 Jan,855,92,12.1
JTU700000000000000TSL,2015,M02,2015 Feb,626,-229,-26.8
JTU700000000000000TSL,2015,M03,2015 Mar,764,138,22.0
JTU700000000000000TSL,2015,M04,2015 Apr,906,142,18.6
