Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNU04032241,2006,M01,2006 Jan,8.1,0.2,2.5
LNU04032241,2006,M02,2006 Feb,9.1,1.0,12.3
LNU04032241,2006,M03,2006 Mar,8.0,-1.1,-12.1
LNU04032241,2006,M04,2006 Apr,7.6,-0.4,-5.0
LNU04032241,2006,M05,2006 May,7.0,-0.6,-7.9
LNU04032241,2006,M06,2006 Jun,7.4,0.4,5.7
LNU04032241,2006,M07,2006 Jul,6.8,-0.6,-8.1
LNU04032241,2006,M08,2006 Aug,6.9,0.1,1.5
LNU04032241,2006,M09,2006 Sep,6.9,0.0,0.0
LNU04032241,2006,M10,2006 Oct,6.6,-0.3,-4.3
LNU04032241,2006,M11,2006 Nov,7.1,0.5,7.6
LNU04032241,2006,M12,2006 Dec,5.9,-1.2,-16.9
LNU04032241,2007,M01,2007 Jan,7.8,1.9,32.2
LNU04032241,2007,M02,2007 Feb,7.4,-0.4,-5.1
LNU04032241,2007,M03,2007 Mar,7.0,-0.4,-5.4
LNU04032241,2007,M04,2007 Apr,6.9,-0.1,-1.4
LNU04032241,2007,M05,2007 May,6.8,-0.1,-1.4
LNU04032241,2007,M06,2007 Jun,7.2,0.4,5.9
LNU04032241,2007,M07,2007 Jul,7.3,0.1,1.4
LNU04032241,2007,M08,2007 Aug,7.1,-0.2,-2.7
LNU04032241,2007,M09,2007 Sep,7.4,0.3,4.2
LNU04032241,2007,M10,2007 Oct,7.5,0.1,1.4
LNU04032241,2007,M11,2007 Nov,8.1,0.6,8.0
LNU04032241,2007,M12,2007 Dec,7.9,-0.2,-2.5
LNU04032241,2008,M01,2008 Jan,9.4,1.5,19.0
LNU04032241,2008,M02,2008 Feb,8.5,-0.9,-9.6
LNU04032241,2008,M03,2008 Mar,7.6,-0.9,-10.6
LNU04032241,2008,M04,2008 Apr,6.9,-0.7,-9.2
LNU04032241,2008,M05,2008 May,8.4,1.5,21.7
LNU04032241,2008,M06,2008 Jun,8.9,0.5,6.0
LNU04032241,2008,M07,2008 Jul,8.8,-0.1,-1.1
LNU04032241,2008,M08,2008 Aug,8.7,-0.1,-1.1
LNU04032241,2008,M09,2008 Sep,8.2,-0.5,-5.7
LNU04032241,2008,M10,2008 Oct,8.9,0.7,8.5
LNU04032241,2008,M11,2008 Nov,9.9,1.0,11.2
LNU04032241,2008,M12,2008 Dec,9.5,-0.4,-4.0
LNU04032241,2009,M01,2009 Jan,11.5,2.0,21.1
LNU04032241,2009,M02,2009 Feb,11.4,-0.1,-0.9
LNU04032241,2009,M03,2009 Mar,11.6,0.2,1.8
LNU04032241,2009,M04,2009 Apr,10.2,-1.4,-12.1
LNU04032241,2009,M05,2009 May,11.9,1.7,16.7
LNU04032241,2009,M06,2009 Jun,12.1,0.2,1.7
LNU04032241,2009,M07,2009 Jul,11.2,-0.9,-7.4
LNU04032241,2009,M08,2009 Aug,12.0,0.8,7.1
LNU04032241,2009,M09,2009 Sep,11.4,-0.6,-5.0
LNU04032241,2009,M10,2009 Oct,12.4,1.0,8.8
LNU04032241,2009,M11,2009 Nov,11.9,-0.5,-4.0
LNU04032241,2009,M12,2009 Dec,12.6,0.7,5.9
LNU04032241,2010,M01,2010 Jan,14.2,1.6,12.7
LNU04032241,2010,M02,2010 Feb,12.7,-1.5,-10.6
LNU04032241,2010,M03,2010 Mar,12.5,-0.2,-1.6
LNU04032241,2010,M04,2010 Apr,12.8,0.3,2.4
LNU04032241,2010,M05,2010 May,12.4,-0.4,-3.1
LNU04032241,2010,M06,2010 Jun,12.3,-0.1,-0.8
LNU04032241,2010,M07,2010 Jul,11.4,-0.9,-7.3
LNU04032241,2010,M08,2010 Aug,10.8,-0.6,-5.3
LNU04032241,2010,M09,2010 Sep,11.4,0.6,5.6
LNU04032241,2010,M10,2010 Oct,11.1,-0.3,-2.6
LNU04032241,2010,M11,2010 Nov,12.4,1.3,11.7
LNU04032241,2010,M12,2010 Dec,12.0,-0.4,-3.2
LNU04032241,2011,M01,2011 Jan,13.8,1.8,15.0
LNU04032241,2011,M02,2011 Feb,13.8,0.0,0.0
LNU04032241,2011,M03,2011 Mar,13.2,-0.6,-4.3
LNU04032241,2011,M04,2011 Apr,11.7,-1.5,-11.4
