Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES7000000001,2006,M01,2006 Jan,12945,40,0.3
CES7000000001,2006,M02,2006 Feb,12980,35,0.3
CES7000000001,2006,M03,2006 Mar,13034,54,0.4
CES7000000001,2006,M04,2006 Apr,13074,40,0.3
CES7000000001,2006,M05,2006 May,13052,-22,-0.2
CES7000000001,2006,M06,2006 Jun,13061,9,0.1
CES7000000001,2006,M07,2006 Jul,13130,69,0.5
CES7000000001,2006,M08,2006 Aug,13152,22,0.2
CES7000000001,2006,M09,2006 Sep,13150,-2,0.0
CES7000000001,2006,M10,2006 Oct,13187,37,0.3
CES7000000001,2006,M11,2006 Nov,13251,64,0.5
CES7000000001,2006,M12,2006 Dec,13292,41,0.3
CES7000000001,2007,M01,2007 Jan,13338,46,0.3
CES7000000001,2007,M02,2007 Feb,13361,23,0.2
CES7000000001,2007,M03,2007 Mar,13363,2,0.0
CES7000000001,2007,M04,2007 Apr,13375,12,0.1
CES7000000001,2007,M05,2007 May,13404,29,0.2
CES7000000001,2007,M06,2007 Jun,13413,9,0.1
CES7000000001,2007,M07,2007 Jul,13417,4,0.0
CES7000000001,2007,M08,2007 Aug,13419,2,0.0
CES7000000001,2007,M09,2007 Sep,13461,42,0.3
CES7000000001,2007,M10,2007 Oct,13499,38,0.3
CES7000000001,2007,M11,2007 Nov,13535,36,0.3
CES7000000001,2007,M12,2007 Dec,13550,15,0.1
CES7000000001,2008,M01,2008 Jan,13542,-8,-0.1
CES7000000001,2008,M02,2008 Feb,13543,1,0.0
CES7000000001,2008,M03,2008 Mar,13531,-12,-0.1
CES7000000001,2008,M04,2008 Apr,13511,-20,-0.1
CES7000000001,2008,M05,2008 May,13498,-13,-0.1
CES7000000001,2008,M06,2008 Jun,13482,-16,-0.1
CES7000000001,2008,M07,2008 Jul,13463,-19,-0.1
CES7000000001,2008,M08,2008 Aug,13431,-32,-0.2
CES7000000001,2008,M09,2008 Sep,13379,-52,-0.4
CES7000000001,2008,M10,2008 Oct,13352,-27,-0.2
CES7000000001,2008,M11,2008 Nov,13300,-52,-0.4
CES7000000001,2008,M12,2008 Dec,13256,-44,-0.3
CES7000000001,2009,M01,2009 Jan,13222,-34,-0.3
CES7000000001,2009,M02,2009 Feb,13193,-29,-0.2
CES7000000001,2009,M03,2009 Mar,13127,-66,-0.5
CES7000000001,2009,M04,2009 Apr,13056,-71,-0.5
CES7000000001,2009,M05,2009 May,13106,50,0.4
CES7000000001,2009,M06,2009 Jun,13076,-30,-0.2
CES7000000001,2009,M07,2009 Jul,13078,2,0.0
CES7000000001,2009,M08,2009 Aug,13046,-32,-0.2
CES7000000001,2009,M09,2009 Sep,13054,8,0.1
CES7000000001,2009,M10,2009 Oct,12995,-59,-0.5
CES7000000001,2009,M11,2009 Nov,12986,-9,-0.1
CES7000000001,2009,M12,2009 Dec,12944,-42,-0.3
CES7000000001,2010,M01,2010 Jan,12932,-12,-0.1
CES7000000001,2010,M02,2010 Feb,12927,-5,0.0
CES7000000001,2010,M03,2010 Mar,12943,16,0.1
CES7000000001,2010,M04,2010 Apr,12979,36,0.3
CES7000000001,2010,M05,2010 May,13012,33,0.3
CES7000000001,2010,M06,2010 Jun,13034,22,0.2
CES7000000001,2010,M07,2010 Jul,13048,14,0.1
CES7000000001,2010,M08,2010 Aug,13081,33,0.3
CES7000000001,2010,M09,2010 Sep,13137,56,0.4
CES7000000001,2010,M10,2010 Oct,13127,-10,-0.1
CES7000000001,2010,M11,2010 Nov,13126,-1,0.0
CES7000000001,2010,M12,2010 Dec,13157,31,0.2
CES7000000001,2011,M01,2011 Jan,13149,-8,-0.1
CES7000000001,2011,M02,2011 Feb,13188,39,0.3
CES7000000001,2011,M03,2011 Mar,13247,59,0.4
CES7000000001,2011,M04,2011 Apr,13298,51,0.4
CES7000000001,2011,M05,2011 May,13293,-5,0.0
CES7000000001,2011,M06,2011 Jun,13343,50,0.4
CES7000000001,2011,M07,2011 Jul,13370,27,0.2
CES7000000001,2011,M08,2011 Aug,13395,25,0.2
CES7000000001,2011,M09,2011 Sep,13426,31,0.2
CES7000000001,2011,M10,2011 Oct,13464,38,0.3
CES7000000001,2011,M11,2011 Nov,13511,47,0.3
CES7000000001,2011,M12,2011 Dec,13538,27,0.2
CES7000000001,2012,M01,2012 Jan,13600,62,0.5
CES7000000001,2012,M02,2012 Feb,13641,41,0.3
CES7000000001,2012,M03,2012 Mar,13706,65,0.5
CES7000000001,2012,M04,2012 Apr,13709,3,0.0
CES7000000001,2012,M05,2012 May,13705,-4,0.0
CES7000000001,2012,M06,2012 Jun,13702,-3,0.0
CES7000000001,2012,M07,2012 Jul,13735,33,0.2
CES7000000001,2012,M08,2012 Aug,13804,69,0.5
CES7000000001,2012,M09,2012 Sep,13872,68,0.5
CES7000000001,2012,M10,2012 Oct,13883,11,0.1
CES7000000001,2012,M11,2012 Nov,13910,27,0.2
CES7000000001,2012,M12,2012 Dec,13978,68,0.5
CES7000000001,2013,M01,2013 Jan,14037,59,0.4
CES7000000001,2013,M02,2013 Feb,14082,45,0.3
CES7000000001,2013,M03,2013 Mar,14113,31,0.2
CES7000000001,2013,M04,2013 Apr,14152,39,0.3
CES7000000001,2013,M05,2013 May,14193,41,0.3
CES7000000001,2013,M06,2013 Jun,14252,59,0.4
CES7000000001,2013,M07,2013 Jul,14288,36,0.3
CES7000000001,2013,M08,2013 Aug,14327,39,0.3
CES7000000001,2013,M09,2013 Sep,14339,12,0.1
CES7000000001,2013,M10,2013 Oct,14395,56,0.4
CES7000000001,2013,M11,2013 Nov,14432,37,0.3
CES7000000001,2013,M12,2013 Dec,14454,22,0.2
CES7000000001,2014,M01,2014 Jan,14489,35,0.2
CES7000000001,2014,M02,2014 Feb,14509,20,0.1
CES7000000001,2014,M03,2014 Mar,14564,55,0.4
CES7000000001,2014,M04,2014 Apr,14614,50,0.3
CES7000000001,2014,M05,2014 May,14670,56,0.4
CES7000000001,2014,M06,2014 Jun,14693,23,0.2
CES7000000001,2014,M07,2014 Jul,14703,10,0.1
CES7000000001,2014,M08,2014 Aug,14725,22,0.1
CES7000000001,2014,M09,2014 Sep,14768,43,0.3
CES7000000001,2014,M10,2014 Oct,14811,43,0.3
CES7000000001,2014,M11,2014 Nov,14849,38,0.3
CES7000000001,2014,M12,2014 Dec,14892,43,0.3
CES7000000001,2015,M01,2015 Jan,14915,23,0.2
CES7000000001,2015,M02,2015 Feb,14972,57,0.4
CES7000000001,2015,M03,2015 Mar,14981,9,0.1
CES7000000001,2015,M04,2015 Apr,15023,42,0.3
CES7000000001,2015,M05,2015 May,15103,80,0.5
CES7000000001,2015,M06,2015 Jun,15108,5,0.0
CES7000000001,2015,M07,2015 Jul,15168,60,0.4
CES7000000001,2015,M08,2015 Aug,15201,33,0.2
CES7000000001,2015,M09,2015 Sep,15279,78,0.5
CES7000000001,2015,M10,2015 Oct,15316,37,0.2
CES7000000001,2015,M11,2015 Nov,15374,58,0.4
CES7000000001,2015,M12,2015 Dec,15406,32,0.2
CES7000000001,2016,M01,2016 Jan,15454,48,0.3
CES7000000001,2016,M02,2016 Feb,15494,40,0.3
CES7000000001,2016,M03,2016 Mar,15535,41,0.3
CES7000000001,2016,M04,2016 Apr,15562,27,0.2
CES7000000001,2016,M05,2016 May,15583,21,0.1
CES7000000001,2016,M06,2016 Jun,15639,56,0.4
CES7000000001,2016,M07,2016 Jul,15679,40,0.3
CES7000000001,2016,M08,2016 Aug,15725,46,0.3
CES7000000001,2016,M09,2016 Sep,15785,60,0.4
CES7000000001,2016,M10,2016 Oct,15780,-5,0.0
CES7000000001,2016,M11,2016 Nov,15826,46,0.3
CES7000000001,2016,M12,2016 Dec,15845,19,0.1
CES7000000001,2017,M01,2017 Jan,15874,29,0.2
CES7000000001,2017,M02,2017 Feb,15917,43,0.3
CES7000000001,2017,M03,2017 Mar,15941,24,0.2
CES7000000001,2017,M04,2017 Apr,16006,65,0.4
CES7000000001,2017,M05,2017 May,16046,40,0.2
CES7000000001,2017,M06,2017 Jun,16087,41,0.3
CES7000000001,2017,M07,2017 Jul,16122,35,0.2
CES7000000001,2017,M08,2017 Aug,16150,28,0.2
CES7000000001,2017,M09,2017 Sep,16140,-10,-0.1
CES7000000001,2017,M10,2017 Oct,16133,-7,0.0
CES7000000001,2017,M11,2017 Nov,16160,27,0.2
CES7000000001,2017,M12,2017 Dec,16183,23,0.1
CES7000000001,2018,M01,2018 Jan,16200,17,0.1
CES7000000001,2018,M02,2018 Feb,16234,34,0.2
CES7000000001,2018,M03,2018 Mar,16248,14,0.1
CES7000000001,2018,M04,2018 Apr,16251,3,0.0
