Series ID,Year,Period,Label,Value,1-Month Net Change,3-Month % Change
JTU510000000000000HIL,2006,M01,2006 Jan,95,27,10.5
JTU510000000000000HIL,2006,M02,2006 Feb,101,6,6.3
JTU510000000000000HIL,2006,M03,2006 Mar,84,-17,23.5
JTU510000000000000HIL,2006,M04,2006 Apr,99,15,4.2
JTU510000000000000HIL,2006,M05,2006 May,100,1,-1.0
JTU510000000000000HIL,2006,M06,2006 Jun,95,-5,13.1
JTU510000000000000HIL,2006,M07,2006 Jul,112,17,13.1
JTU510000000000000HIL,2006,M08,2006 Aug,100,-12,0.0
JTU510000000000000HIL,2006,M09,2006 Sep,85,-15,-10.5
JTU510000000000000HIL,2006,M10,2006 Oct,94,9,-16.1
JTU510000000000000HIL,2006,M11,2006 Nov,89,-5,-11.0
JTU510000000000000HIL,2006,M12,2006 Dec,66,-23,-22.4
JTU510000000000000HIL,2007,M01,2007 Jan,107,41,13.8
JTU510000000000000HIL,2007,M02,2007 Feb,80,-27,-10.1
JTU510000000000000HIL,2007,M03,2007 Mar,68,-12,3.0
JTU510000000000000HIL,2007,M04,2007 Apr,99,31,-7.5
JTU510000000000000HIL,2007,M05,2007 May,90,-9,12.5
JTU510000000000000HIL,2007,M06,2007 Jun,89,-1,30.9
JTU510000000000000HIL,2007,M07,2007 Jul,96,7,-3.0
JTU510000000000000HIL,2007,M08,2007 Aug,95,-1,5.6
JTU510000000000000HIL,2007,M09,2007 Sep,82,-13,-7.9
JTU510000000000000HIL,2007,M10,2007 Oct,75,-7,-21.9
JTU510000000000000HIL,2007,M11,2007 Nov,58,-17,-38.9
JTU510000000000000HIL,2007,M12,2007 Dec,49,-9,-40.2
JTU510000000000000HIL,2008,M01,2008 Jan,93,44,24.0
JTU510000000000000HIL,2008,M02,2008 Feb,53,-40,-8.6
JTU510000000000000HIL,2008,M03,2008 Mar,60,7,22.4
JTU510000000000000HIL,2008,M04,2008 Apr,72,12,-22.6
JTU510000000000000HIL,2008,M05,2008 May,57,-15,7.5
JTU510000000000000HIL,2008,M06,2008 Jun,75,18,25.0
JTU510000000000000HIL,2008,M07,2008 Jul,60,-15,-16.7
JTU510000000000000HIL,2008,M08,2008 Aug,54,-6,-5.3
JTU510000000000000HIL,2008,M09,2008 Sep,67,13,-10.7
JTU510000000000000HIL,2008,M10,2008 Oct,87,20,45.0
JTU510000000000000HIL,2008,M11,2008 Nov,55,-32,1.9
JTU510000000000000HIL,2008,M12,2008 Dec,47,-8,-29.9
JTU510000000000000HIL,2009,M01,2009 Jan,71,24,-18.4
JTU510000000000000HIL,2009,M02,2009 Feb,43,-28,-21.8
JTU510000000000000HIL,2009,M03,2009 Mar,53,10,12.8
JTU510000000000000HIL,2009,M04,2009 Apr,57,4,-19.7
JTU510000000000000HIL,2009,M05,2009 May,55,-2,27.9
JTU510000000000000HIL,2009,M06,2009 Jun,69,14,30.2
JTU510000000000000HIL,2009,M07,2009 Jul,79,10,38.6
JTU510000000000000HIL,2009,M08,2009 Aug,61,-18,10.9
JTU510000000000000HIL,2009,M09,2009 Sep,60,-1,-13.0
JTU510000000000000HIL,2009,M10,2009 Oct,75,15,-5.1
JTU510000000000000HIL,2009,M11,2009 Nov,67,-8,9.8
JTU510000000000000HIL,2009,M12,2009 Dec,56,-11,-6.7
JTU510000000000000HIL,2010,M01,2010 Jan,72,16,-4.0
JTU510000000000000HIL,2010,M02,2010 Feb,38,-34,-43.3
JTU510000000000000HIL,2010,M03,2010 Mar,45,7,-19.6
JTU510000000000000HIL,2010,M04,2010 Apr,50,5,-30.6
JTU510000000000000HIL,2010,M05,2010 May,46,-4,21.1
JTU510000000000000HIL,2010,M06,2010 Jun,60,14,33.3
JTU510000000000000HIL,2010,M07,2010 Jul,63,3,26.0
JTU510000000000000HIL,2010,M08,2010 Aug,63,0,37.0
JTU510000000000000HIL,2010,M09,2010 Sep,62,-1,3.3
JTU510000000000000HIL,2010,M10,2010 Oct,72,10,14.3
JTU510000000000000HIL,2010,M11,2010 Nov,67,-5,6.3
JTU510000000000000HIL,2010,M12,2010 Dec,56,-11,-9.7
JTU510000000000000HIL,2011,M01,2011 Jan,69,13,-4.2
JTU510000000000000HIL,2011,M02,2011 Feb,36,-33,-46.3
JTU510000000000000HIL,2011,M03,2011 Mar,50,14,-10.7
JTU510000000000000HIL,2011,M04,2011 Apr,72,22,4.3
JTU510000000000000HIL,2011,M05,2011 May,61,-11,69.4
JTU510000000000000HIL,2011,M06,2011 Jun,81,20,62.0
JTU510000000000000HIL,2011,M07,2011 Jul,55,-26,-23.6
JTU510000000000000HIL,2011,M08,2011 Aug,75,20,23.0
JTU510000000000000HIL,2011,M09,2011 Sep,61,-14,-24.7
JTU510000000000000HIL,2011,M10,2011 Oct,65,4,18.2
JTU510000000000000HIL,2011,M11,2011 Nov,64,-1,-14.7
JTU510000000000000HIL,2011,M12,2011 Dec,59,-5,-3.3
JTU510000000000000HIL,2012,M01,2012 Jan,59,0,-9.2
JTU510000000000000HIL,2012,M02,2012 Feb,53,-6,-17.2
JTU510000000000000HIL,2012,M03,2012 Mar,57,4,-3.4
JTU510000000000000HIL,2012,M04,2012 Apr,67,10,13.6
JTU510000000000000HIL,2012,M05,2012 May,71,4,34.0
JTU510000000000000HIL,2012,M06,2012 Jun,66,-5,15.8
JTU510000000000000HIL,2012,M07,2012 Jul,62,-4,-7.5
JTU510000000000000HIL,2012,M08,2012 Aug,85,23,19.7
JTU510000000000000HIL,2012,M09,2012 Sep,58,-27,-12.1
JTU510000000000000HIL,2012,M10,2012 Oct,72,14,16.1
JTU510000000000000HIL,2012,M11,2012 Nov,72,0,-15.3
JTU510000000000000HIL,2012,M12,2012 Dec,55,-17,-5.2
JTU510000000000000HIL,2013,M01,2013 Jan,69,14,-4.2
JTU510000000000000HIL,2013,M02,2013 Feb,68,-1,-5.6
JTU510000000000000HIL,2013,M03,2013 Mar,42,-26,-23.6
JTU510000000000000HIL,2013,M04,2013 Apr,70,28,1.4
JTU510000000000000HIL,2013,M05,2013 May,82,12,20.6
JTU510000000000000HIL,2013,M06,2013 Jun,100,18,138.1
JTU510000000000000HIL,2013,M07,2013 Jul,102,2,45.7
JTU510000000000000HIL,2013,M08,2013 Aug,85,-17,3.7
JTU510000000000000HIL,2013,M09,2013 Sep,91,6,-9.0
JTU510000000000000HIL,2013,M10,2013 Oct,93,2,-8.8
JTU510000000000000HIL,2013,M11,2013 Nov,77,-16,-9.4
JTU510000000000000HIL,2013,M12,2013 Dec,68,-9,-25.3
JTU510000000000000HIL,2014,M01,2014 Jan,100,32,7.5
JTU510000000000000HIL,2014,M02,2014 Feb,66,-34,-14.3
JTU510000000000000HIL,2014,M03,2014 Mar,82,16,20.6
JTU510000000000000HIL,2014,M04,2014 Apr,79,-3,-21.0
JTU510000000000000HIL,2014,M05,2014 May,74,-5,12.1
JTU510000000000000HIL,2014,M06,2014 Jun,91,17,11.0
JTU510000000000000HIL,2014,M07,2014 Jul,102,11,29.1
JTU510000000000000HIL,2014,M08,2014 Aug,78,-24,5.4
JTU510000000000000HIL,2014,M09,2014 Sep,70,-8,-23.1
JTU510000000000000HIL,2014,M10,2014 Oct,94,24,-7.8
JTU510000000000000HIL,2014,M11,2014 Nov,104,10,33.3
JTU510000000000000HIL,2014,M12,2014 Dec,61,-43,-12.9
JTU510000000000000HIL,2015,M01,2015 Jan,94,33,0.0
JTU510000000000000HIL,2015,M02,2015 Feb,65,-29,-37.5
JTU510000000000000HIL,2015,M03,2015 Mar,72,7,18.0
JTU510000000000000HIL,2015,M04,2015 Apr,82,10,-12.8
JTU510000000000000HIL,2015,M05,2015 May,90,8,38.5
JTU510000000000000HIL,2015,M06,2015 Jun,92,2,27.8
JTU510000000000000HIL,2015,M07,2015 Jul,92,0,12.2
JTU510000000000000HIL,2015,M08,2015 Aug,80,-12,-11.1
JTU510000000000000HIL,2015,M09,2015 Sep,79,-1,-14.1
JTU510000000000000HIL,2015,M10,2015 Oct,102,23,10.9
