Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU510000000000000JOL,2006,M01,2006 Jan,150,54,56.3
JTU510000000000000JOL,2006,M02,2006 Feb,109,-41,-27.3
JTU510000000000000JOL,2006,M03,2006 Mar,113,4,3.7
JTU510000000000000JOL,2006,M04,2006 Apr,159,46,40.7
JTU510000000000000JOL,2006,M05,2006 May,130,-29,-18.2
JTU510000000000000JOL,2006,M06,2006 Jun,132,2,1.5
JTU510000000000000JOL,2006,M07,2006 Jul,153,21,15.9
JTU510000000000000JOL,2006,M08,2006 Aug,156,3,2.0
JTU510000000000000JOL,2006,M09,2006 Sep,162,6,3.8
JTU510000000000000JOL,2006,M10,2006 Oct,164,2,1.2
JTU510000000000000JOL,2006,M11,2006 Nov,152,-12,-7.3
JTU510000000000000JOL,2006,M12,2006 Dec,147,-5,-3.3
JTU510000000000000JOL,2007,M01,2007 Jan,173,26,17.7
JTU510000000000000JOL,2007,M02,2007 Feb,165,-8,-4.6
JTU510000000000000JOL,2007,M03,2007 Mar,155,-10,-6.1
JTU510000000000000JOL,2007,M04,2007 Apr,170,15,9.7
JTU510000000000000JOL,2007,M05,2007 May,180,10,5.9
JTU510000000000000JOL,2007,M06,2007 Jun,178,-2,-1.1
JTU510000000000000JOL,2007,M07,2007 Jul,160,-18,-10.1
JTU510000000000000JOL,2007,M08,2007 Aug,127,-33,-20.6
JTU510000000000000JOL,2007,M09,2007 Sep,117,-10,-7.9
JTU510000000000000JOL,2007,M10,2007 Oct,111,-6,-5.1
JTU510000000000000JOL,2007,M11,2007 Nov,119,8,7.2
JTU510000000000000JOL,2007,M12,2007 Dec,98,-21,-17.6
JTU510000000000000JOL,2008,M01,2008 Jan,83,-15,-15.3
JTU510000000000000JOL,2008,M02,2008 Feb,62,-21,-25.3
JTU510000000000000JOL,2008,M03,2008 Mar,80,18,29.0
JTU510000000000000JOL,2008,M04,2008 Apr,94,14,17.5
JTU510000000000000JOL,2008,M05,2008 May,76,-18,-19.1
JTU510000000000000JOL,2008,M06,2008 Jun,95,19,25.0
JTU510000000000000JOL,2008,M07,2008 Jul,70,-25,-26.3
JTU510000000000000JOL,2008,M08,2008 Aug,77,7,10.0
JTU510000000000000JOL,2008,M09,2008 Sep,59,-18,-23.4
JTU510000000000000JOL,2008,M10,2008 Oct,74,15,25.4
JTU510000000000000JOL,2008,M11,2008 Nov,61,-13,-17.6
JTU510000000000000JOL,2008,M12,2008 Dec,51,-10,-16.4
JTU510000000000000JOL,2009,M01,2009 Jan,79,28,54.9
JTU510000000000000JOL,2009,M02,2009 Feb,65,-14,-17.7
JTU510000000000000JOL,2009,M03,2009 Mar,44,-21,-32.3
JTU510000000000000JOL,2009,M04,2009 Apr,37,-7,-15.9
JTU510000000000000JOL,2009,M05,2009 May,38,1,2.7
JTU510000000000000JOL,2009,M06,2009 Jun,44,6,15.8
JTU510000000000000JOL,2009,M07,2009 Jul,41,-3,-6.8
JTU510000000000000JOL,2009,M08,2009 Aug,38,-3,-7.3
JTU510000000000000JOL,2009,M09,2009 Sep,55,17,44.7
JTU510000000000000JOL,2009,M10,2009 Oct,72,17,30.9
JTU510000000000000JOL,2009,M11,2009 Nov,36,-36,-50.0
JTU510000000000000JOL,2009,M12,2009 Dec,51,15,41.7
JTU510000000000000JOL,2010,M01,2010 Jan,96,45,88.2
JTU510000000000000JOL,2010,M02,2010 Feb,73,-23,-24.0
JTU510000000000000JOL,2010,M03,2010 Mar,51,-22,-30.1
JTU510000000000000JOL,2010,M04,2010 Apr,80,29,56.9
JTU510000000000000JOL,2010,M05,2010 May,78,-2,-2.5
