Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU510000000000000TSL,2006,M01,2006 Jan,109,27,32.9
JTU510000000000000TSL,2006,M02,2006 Feb,106,-3,-2.8
JTU510000000000000TSL,2006,M03,2006 Mar,82,-24,-22.6
JTU510000000000000TSL,2006,M04,2006 Apr,103,21,25.6
JTU510000000000000TSL,2006,M05,2006 May,91,-12,-11.7
JTU510000000000000TSL,2006,M06,2006 Jun,90,-1,-1.1
JTU510000000000000TSL,2006,M07,2006 Jul,112,22,24.4
JTU510000000000000TSL,2006,M08,2006 Aug,99,-13,-11.6
JTU510000000000000TSL,2006,M09,2006 Sep,91,-8,-8.1
JTU510000000000000TSL,2006,M10,2006 Oct,100,9,9.9
JTU510000000000000TSL,2006,M11,2006 Nov,84,-16,-16.0
JTU510000000000000TSL,2006,M12,2006 Dec,72,-12,-14.3
JTU510000000000000TSL,2007,M01,2007 Jan,121,49,68.1
JTU510000000000000TSL,2007,M02,2007 Feb,85,-36,-29.8
JTU510000000000000TSL,2007,M03,2007 Mar,76,-9,-10.6
JTU510000000000000TSL,2007,M04,2007 Apr,87,11,14.5
JTU510000000000000TSL,2007,M05,2007 May,74,-13,-14.9
JTU510000000000000TSL,2007,M06,2007 Jun,80,6,8.1
JTU510000000000000TSL,2007,M07,2007 Jul,92,12,15.0
JTU510000000000000TSL,2007,M08,2007 Aug,106,14,15.2
JTU510000000000000TSL,2007,M09,2007 Sep,76,-30,-28.3
JTU510000000000000TSL,2007,M10,2007 Oct,78,2,2.6
JTU510000000000000TSL,2007,M11,2007 Nov,58,-20,-25.6
JTU510000000000000TSL,2007,M12,2007 Dec,62,4,6.9
JTU510000000000000TSL,2008,M01,2008 Jan,99,37,59.7
JTU510000000000000TSL,2008,M02,2008 Feb,67,-32,-32.3
JTU510000000000000TSL,2008,M03,2008 Mar,64,-3,-4.5
JTU510000000000000TSL,2008,M04,2008 Apr,75,11,17.2
JTU510000000000000TSL,2008,M05,2008 May,56,-19,-25.3
JTU510000000000000TSL,2008,M06,2008 Jun,69,13,23.2
JTU510000000000000TSL,2008,M07,2008 Jul,74,5,7.2
JTU510000000000000TSL,2008,M08,2008 Aug,69,-5,-6.8
JTU510000000000000TSL,2008,M09,2008 Sep,73,4,5.8
JTU510000000000000TSL,2008,M10,2008 Oct,97,24,32.9
JTU510000000000000TSL,2008,M11,2008 Nov,67,-30,-30.9
