Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNU04032237,2006,M01,2006 Jan,3.3,-0.4,-10.8
LNU04032237,2006,M02,2006 Feb,3.7,0.4,12.1
LNU04032237,2006,M03,2006 Mar,3.5,-0.2,-5.4
LNU04032237,2006,M04,2006 Apr,4.2,0.7,20.0
LNU04032237,2006,M05,2006 May,4.8,0.6,14.3
LNU04032237,2006,M06,2006 Jun,3.4,-1.4,-29.2
LNU04032237,2006,M07,2006 Jul,3.0,-0.4,-11.8
LNU04032237,2006,M08,2006 Aug,3.9,0.9,30.0
LNU04032237,2006,M09,2006 Sep,4.9,1.0,25.6
LNU04032237,2006,M10,2006 Oct,3.4,-1.5,-30.6
LNU04032237,2006,M11,2006 Nov,3.9,0.5,14.7
LNU04032237,2006,M12,2006 Dec,2.9,-1.0,-25.6
LNU04032237,2007,M01,2007 Jan,4.0,1.1,37.9
LNU04032237,2007,M02,2007 Feb,4.0,0.0,0.0
LNU04032237,2007,M03,2007 Mar,3.2,-0.8,-20.0
LNU04032237,2007,M04,2007 Apr,2.4,-0.8,-25.0
LNU04032237,2007,M05,2007 May,3.3,0.9,37.5
LNU04032237,2007,M06,2007 Jun,3.4,0.1,3.0
LNU04032237,2007,M07,2007 Jul,3.4,0.0,0.0
LNU04032237,2007,M08,2007 Aug,4.1,0.7,20.6
LNU04032237,2007,M09,2007 Sep,3.7,-0.4,-9.8
LNU04032237,2007,M10,2007 Oct,3.7,0.0,0.0
LNU04032237,2007,M11,2007 Nov,4.0,0.3,8.1
LNU04032237,2007,M12,2007 Dec,3.7,-0.3,-7.5
LNU04032237,2008,M01,2008 Jan,5.1,1.4,37.8
LNU04032237,2008,M02,2008 Feb,5.8,0.7,13.7
LNU04032237,2008,M03,2008 Mar,4.8,-1.0,-17.2
LNU04032237,2008,M04,2008 Apr,4.4,-0.4,-8.3
LNU04032237,2008,M05,2008 May,5.0,0.6,13.6
LNU04032237,2008,M06,2008 Jun,4.7,-0.3,-6.0
LNU04032237,2008,M07,2008 Jul,4.1,-0.6,-12.8
LNU04032237,2008,M08,2008 Aug,4.2,0.1,2.4
LNU04032237,2008,M09,2008 Sep,5.0,0.8,19.0
LNU04032237,2008,M10,2008 Oct,5.0,0.0,0.0
LNU04032237,2008,M11,2008 Nov,5.2,0.2,4.0
LNU04032237,2008,M12,2008 Dec,6.9,1.7,32.7
LNU04032237,2009,M01,2009 Jan,7.4,0.5,7.2
LNU04032237,2009,M02,2009 Feb,7.1,-0.3,-4.1
LNU04032237,2009,M03,2009 Mar,7.8,0.7,9.9
LNU04032237,2009,M04,2009 Apr,10.1,2.3,29.5
LNU04032237,2009,M05,2009 May,9.5,-0.6,-5.9
LNU04032237,2009,M06,2009 Jun,11.1,1.6,16.8
LNU04032237,2009,M07,2009 Jul,11.5,0.4,3.6
LNU04032237,2009,M08,2009 Aug,10.7,-0.8,-7.0
LNU04032237,2009,M09,2009 Sep,11.2,0.5,4.7
LNU04032237,2009,M10,2009 Oct,8.2,-3.0,-26.8
LNU04032237,2009,M11,2009 Nov,7.6,-0.6,-7.3
LNU04032237,2009,M12,2009 Dec,8.5,0.9,11.8
LNU04032237,2010,M01,2010 Jan,10.0,1.5,17.6
LNU04032237,2010,M02,2010 Feb,10.0,0.0,0.0
LNU04032237,2010,M03,2010 Mar,10.4,0.4,4.0
LNU04032237,2010,M04,2010 Apr,9.4,-1.0,-9.6
LNU04032237,2010,M05,2010 May,9.8,0.4,4.3
LNU04032237,2010,M06,2010 Jun,8.8,-1.0,-10.2
LNU04032237,2010,M07,2010 Jul,10.6,1.8,20.5
LNU04032237,2010,M08,2010 Aug,9.7,-0.9,-8.5
LNU04032237,2010,M09,2010 Sep,10.8,1.1,11.3
LNU04032237,2010,M10,2010 Oct,9.8,-1.0,-9.3
LNU04032237,2010,M11,2010 Nov,8.8,-1.0,-10.2
LNU04032237,2010,M12,2010 Dec,8.1,-0.7,-8.0
LNU04032237,2011,M01,2011 Jan,7.3,-0.8,-9.9
LNU04032237,2011,M02,2011 Feb,6.7,-0.6,-8.2
LNU04032237,2011,M03,2011 Mar,7.6,0.9,13.4
LNU04032237,2011,M04,2011 Apr,7.1,-0.5,-6.6
LNU04032237,2011,M05,2011 May,7.3,0.2,2.8
LNU04032237,2011,M06,2011 Jun,7.9,0.6,8.2
LNU04032237,2011,M07,2011 Jul,7.6,-0.3,-3.8
LNU04032237,2011,M08,2011 Aug,6.9,-0.7,-9.2
LNU04032237,2011,M09,2011 Sep,7.4,0.5,7.2
LNU04032237,2011,M10,2011 Oct,6.6,-0.8,-10.8
LNU04032237,2011,M11,2011 Nov,7.4,0.8,12.1
LNU04032237,2011,M12,2011 Dec,7.7,0.3,4.1
LNU04032237,2012,M01,2012 Jan,7.9,0.2,2.6
LNU04032237,2012,M02,2012 Feb,8.4,0.5,6.3
LNU04032237,2012,M03,2012 Mar,8.0,-0.4,-4.8
LNU04032237,2012,M04,2012 Apr,8.3,0.3,3.8
LNU04032237,2012,M05,2012 May,7.8,-0.5,-6.0
LNU04032237,2012,M06,2012 Jun,7.1,-0.7,-9.0
LNU04032237,2012,M07,2012 Jul,6.7,-0.4,-5.6
LNU04032237,2012,M08,2012 Aug,7.3,0.6,9.0
LNU04032237,2012,M09,2012 Sep,7.3,0.0,0.0
LNU04032237,2012,M10,2012 Oct,7.7,0.4,5.5
LNU04032237,2012,M11,2012 Nov,6.8,-0.9,-11.7
LNU04032237,2012,M12,2012 Dec,8.0,1.2,17.6
LNU04032237,2013,M01,2013 Jan,8.2,0.2,2.5
LNU04032237,2013,M02,2013 Feb,5.2,-3.0,-36.6
LNU04032237,2013,M03,2013 Mar,5.2,0.0,0.0
