Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES5000000001,2006,M01,2006 Jan,3052,-1,0.0
CES5000000001,2006,M02,2006 Feb,3052,0,0.0
CES5000000001,2006,M03,2006 Mar,3055,3,0.1
CES5000000001,2006,M04,2006 Apr,3046,-9,-0.3
CES5000000001,2006,M05,2006 May,3039,-7,-0.2
CES5000000001,2006,M06,2006 Jun,3036,-3,-0.1
CES5000000001,2006,M07,2006 Jul,3031,-5,-0.2
CES5000000001,2006,M08,2006 Aug,3035,4,0.1
CES5000000001,2006,M09,2006 Sep,3028,-7,-0.2
CES5000000001,2006,M10,2006 Oct,3024,-4,-0.1
CES5000000001,2006,M11,2006 Nov,3025,1,0.0
CES5000000001,2006,M12,2006 Dec,3032,7,0.2
CES5000000001,2007,M01,2007 Jan,3029,-3,-0.1
CES5000000001,2007,M02,2007 Feb,3033,4,0.1
CES5000000001,2007,M03,2007 Mar,3029,-4,-0.1
CES5000000001,2007,M04,2007 Apr,3034,5,0.2
CES5000000001,2007,M05,2007 May,3040,6,0.2
CES5000000001,2007,M06,2007 Jun,3038,-2,-0.1
CES5000000001,2007,M07,2007 Jul,3037,-1,0.0
CES5000000001,2007,M08,2007 Aug,3029,-8,-0.3
CES5000000001,2007,M09,2007 Sep,3030,1,0.0
CES5000000001,2007,M10,2007 Oct,3028,-2,-0.1
CES5000000001,2007,M11,2007 Nov,3025,-3,-0.1
CES5000000001,2007,M12,2007 Dec,3024,-1,0.0
CES5000000001,2008,M01,2008 Jan,3025,1,0.0
CES5000000001,2008,M02,2008 Feb,3019,-6,-0.2
CES5000000001,2008,M03,2008 Mar,3021,2,0.1
CES5000000001,2008,M04,2008 Apr,3012,-9,-0.3
CES5000000001,2008,M05,2008 May,3008,-4,-0.1
CES5000000001,2008,M06,2008 Jun,3001,-7,-0.2
CES5000000001,2008,M07,2008 Jul,2987,-14,-0.5
CES5000000001,2008,M08,2008 Aug,2973,-14,-0.5
CES5000000001,2008,M09,2008 Sep,2961,-12,-0.4
CES5000000001,2008,M10,2008 Oct,2950,-11,-0.4
CES5000000001,2008,M11,2008 Nov,2932,-18,-0.6
CES5000000001,2008,M12,2008 Dec,2909,-23,-0.8
CES5000000001,2009,M01,2009 Jan,2891,-18,-0.6
CES5000000001,2009,M02,2009 Feb,2878,-13,-0.4
CES5000000001,2009,M03,2009 Mar,2864,-14,-0.5
CES5000000001,2009,M04,2009 Apr,2833,-31,-1.1
CES5000000001,2009,M05,2009 May,2807,-26,-0.9
CES5000000001,2009,M06,2009 Jun,2796,-11,-0.4
CES5000000001,2009,M07,2009 Jul,2780,-16,-0.6
CES5000000001,2009,M08,2009 Aug,2767,-13,-0.5
CES5000000001,2009,M09,2009 Sep,2768,1,0.0
CES5000000001,2009,M10,2009 Oct,2763,-5,-0.2
CES5000000001,2009,M11,2009 Nov,2752,-11,-0.4
CES5000000001,2009,M12,2009 Dec,2743,-9,-0.3
CES5000000001,2010,M01,2010 Jan,2737,-6,-0.2
CES5000000001,2010,M02,2010 Feb,2737,0,0.0
CES5000000001,2010,M03,2010 Mar,2718,-19,-0.7
CES5000000001,2010,M04,2010 Apr,2715,-3,-0.1
CES5000000001,2010,M05,2010 May,2709,-6,-0.2
CES5000000001,2010,M06,2010 Jun,2703,-6,-0.2
CES5000000001,2010,M07,2010 Jul,2703,0,0.0
CES5000000001,2010,M08,2010 Aug,2702,-1,0.0
CES5000000001,2010,M09,2010 Sep,2697,-5,-0.2
CES5000000001,2010,M10,2010 Oct,2695,-2,-0.1
CES5000000001,2010,M11,2010 Nov,2689,-6,-0.2
CES5000000001,2010,M12,2010 Dec,2682,-7,-0.3
CES5000000001,2011,M01,2011 Jan,2678,-4,-0.1
CES5000000001,2011,M02,2011 Feb,2673,-5,-0.2
CES5000000001,2011,M03,2011 Mar,2672,-1,0.0
