Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTS000000000000000JOL,2006,M01,2006 Jan,4397,115,2.7
JTS000000000000000JOL,2006,M02,2006 Feb,4325,-72,-1.6
JTS000000000000000JOL,2006,M03,2006 Mar,4732,407,9.4
JTS000000000000000JOL,2006,M04,2006 Apr,4790,58,1.2
JTS000000000000000JOL,2006,M05,2006 May,4463,-327,-6.8
JTS000000000000000JOL,2006,M06,2006 Jun,4614,151,3.4
JTS000000000000000JOL,2006,M07,2006 Jul,4394,-220,-4.8
JTS000000000000000JOL,2006,M08,2006 Aug,4710,316,7.2
JTS000000000000000JOL,2006,M09,2006 Sep,4737,27,0.6
JTS000000000000000JOL,2006,M10,2006 Oct,4591,-146,-3.1
JTS000000000000000JOL,2006,M11,2006 Nov,4645,54,1.2
JTS000000000000000JOL,2006,M12,2006 Dec,4620,-25,-0.5
JTS000000000000000JOL,2007,M01,2007 Jan,4763,143,3.1
JTS000000000000000JOL,2007,M02,2007 Feb,4699,-64,-1.3
JTS000000000000000JOL,2007,M03,2007 Mar,4962,263,5.6
JTS000000000000000JOL,2007,M04,2007 Apr,4689,-273,-5.5
JTS000000000000000JOL,2007,M05,2007 May,4657,-32,-0.7
JTS000000000000000JOL,2007,M06,2007 Jun,4859,202,4.3
JTS000000000000000JOL,2007,M07,2007 Jul,4598,-261,-5.4
JTS000000000000000JOL,2007,M08,2007 Aug,4546,-52,-1.1
JTS000000000000000JOL,2007,M09,2007 Sep,4652,106,2.3
JTS000000000000000JOL,2007,M10,2007 Oct,4636,-16,-0.3
JTS000000000000000JOL,2007,M11,2007 Nov,4646,10,0.2
JTS000000000000000JOL,2007,M12,2007 Dec,4545,-101,-2.2
JTS000000000000000JOL,2008,M01,2008 Jan,4624,79,1.7
JTS000000000000000JOL,2008,M02,2008 Feb,4279,-345,-7.5
JTS000000000000000JOL,2008,M03,2008 Mar,4225,-54,-1.3
JTS000000000000000JOL,2008,M04,2008 Apr,4035,-190,-4.5
JTS000000000000000JOL,2008,M05,2008 May,4194,159,3.9
JTS000000000000000JOL,2008,M06,2008 Jun,3830,-364,-8.7
JTS000000000000000JOL,2008,M07,2008 Jul,3749,-81,-2.1
JTS000000000000000JOL,2008,M08,2008 Aug,3674,-75,-2.0
JTS000000000000000JOL,2008,M09,2008 Sep,3222,-452,-12.3
JTS000000000000000JOL,2008,M10,2008 Oct,3377,155,4.8
JTS000000000000000JOL,2008,M11,2008 Nov,3231,-146,-4.3
JTS000000000000000JOL,2008,M12,2008 Dec,3146,-85,-2.6
JTS000000000000000JOL,2009,M01,2009 Jan,2738,-408,-13.0
