Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTS000000000000000LDL,2006,M01,2006 Jan,1784,-139,-7.2
JTS000000000000000LDL,2006,M02,2006 Feb,1882,98,5.5
JTS000000000000000LDL,2006,M03,2006 Mar,1888,6,0.3
JTS000000000000000LDL,2006,M04,2006 Apr,1853,-35,-1.9
JTS000000000000000LDL,2006,M05,2006 May,1991,138,7.4
JTS000000000000000LDL,2006,M06,2006 Jun,1817,-174,-8.7
JTS000000000000000LDL,2006,M07,2006 Jul,1860,43,2.4
JTS000000000000000LDL,2006,M08,2006 Aug,1775,-85,-4.6
JTS000000000000000LDL,2006,M09,2006 Sep,1831,56,3.2
JTS000000000000000LDL,2006,M10,2006 Oct,1898,67,3.7
JTS000000000000000LDL,2006,M11,2006 Nov,1926,28,1.5
JTS000000000000000LDL,2006,M12,2006 Dec,1772,-154,-8.0
JTS000000000000000LDL,2007,M01,2007 Jan,1922,150,8.5
JTS000000000000000LDL,2007,M02,2007 Feb,1850,-72,-3.7
JTS000000000000000LDL,2007,M03,2007 Mar,1882,32,1.7
JTS000000000000000LDL,2007,M04,2007 Apr,2000,118,6.3
JTS000000000000000LDL,2007,M05,2007 May,1967,-33,-1.7
JTS000000000000000LDL,2007,M06,2007 Jun,1845,-122,-6.2
JTS000000000000000LDL,2007,M07,2007 Jul,1896,51,2.8
JTS000000000000000LDL,2007,M08,2007 Aug,2033,137,7.2
JTS000000000000000LDL,2007,M09,2007 Sep,2188,155,7.6
JTS000000000000000LDL,2007,M10,2007 Oct,1998,-190,-8.7
JTS000000000000000LDL,2007,M11,2007 Nov,1966,-32,-1.6
JTS000000000000000LDL,2007,M12,2007 Dec,1915,-51,-2.6
JTS000000000000000LDL,2008,M01,2008 Jan,1989,74,3.9
JTS000000000000000LDL,2008,M02,2008 Feb,1995,6,0.3
JTS000000000000000LDL,2008,M03,2008 Mar,1918,-77,-3.9
JTS000000000000000LDL,2008,M04,2008 Apr,1958,40,2.1
JTS000000000000000LDL,2008,M05,2008 May,1950,-8,-0.4
JTS000000000000000LDL,2008,M06,2008 Jun,2172,222,11.4
JTS000000000000000LDL,2008,M07,2008 Jul,2071,-101,-4.7
JTS000000000000000LDL,2008,M08,2008 Aug,2190,119,5.7
JTS000000000000000LDL,2008,M09,2008 Sep,2088,-102,-4.7
JTS000000000000000LDL,2008,M10,2008 Oct,2250,162,7.8
JTS000000000000000LDL,2008,M11,2008 Nov,2290,40,1.8
JTS000000000000000LDL,2008,M12,2008 Dec,2482,192,8.4
JTS000000000000000LDL,2009,M01,2009 Jan,2581,99,4.0
JTS000000000000000LDL,2009,M02,2009 Feb,2599,18,0.7
JTS000000000000000LDL,2009,M03,2009 Mar,2575,-24,-0.9
JTS000000000000000LDL,2009,M04,2009 Apr,2654,79,3.1
JTS000000000000000LDL,2009,M05,2009 May,2231,-423,-15.9
JTS000000000000000LDL,2009,M06,2009 Jun,2261,30,1.3
JTS000000000000000LDL,2009,M07,2009 Jul,2267,6,0.3
JTS000000000000000LDL,2009,M08,2009 Aug,2119,-148,-6.5
JTS000000000000000LDL,2009,M09,2009 Sep,2195,76,3.6
JTS000000000000000LDL,2009,M10,2009 Oct,2028,-167,-7.6
JTS000000000000000LDL,2009,M11,2009 Nov,1913,-115,-5.7
JTS000000000000000LDL,2009,M12,2009 Dec,2033,120,6.3
JTS000000000000000LDL,2010,M01,2010 Jan,1880,-153,-7.5
JTS000000000000000LDL,2010,M02,2010 Feb,1825,-55,-2.9
JTS000000000000000LDL,2010,M03,2010 Mar,1924,99,5.4
JTS000000000000000LDL,2010,M04,2010 Apr,1749,-175,-9.1
JTS000000000000000LDL,2010,M05,2010 May,1762,13,0.7
JTS000000000000000LDL,2010,M06,2010 Jun,2075,313,17.8
JTS000000000000000LDL,2010,M07,2010 Jul,2166,91,4.4
JTS000000000000000LDL,2010,M08,2010 Aug,1890,-276,-12.7
JTS000000000000000LDL,2010,M09,2010 Sep,1832,-58,-3.1
JTS000000000000000LDL,2010,M10,2010 Oct,1745,-87,-4.7
JTS000000000000000LDL,2010,M11,2010 Nov,1849,104,6.0
JTS000000000000000LDL,2010,M12,2010 Dec,1854,5,0.3
JTS000000000000000LDL,2011,M01,2011 Jan,1827,-27,-1.5
JTS000000000000000LDL,2011,M02,2011 Feb,1755,-72,-3.9
JTS000000000000000LDL,2011,M03,2011 Mar,1794,39,2.2
JTS000000000000000LDL,2011,M04,2011 Apr,1792,-2,-0.1
JTS000000000000000LDL,2011,M05,2011 May,1904,112,6.3
JTS000000000000000LDL,2011,M06,2011 Jun,1942,38,2.0
JTS000000000000000LDL,2011,M07,2011 Jul,1845,-97,-5.0
JTS000000000000000LDL,2011,M08,2011 Aug,1845,0,0.0
JTS000000000000000LDL,2011,M09,2011 Sep,1872,27,1.5
JTS000000000000000LDL,2011,M10,2011 Oct,1794,-78,-4.2
JTS000000000000000LDL,2011,M11,2011 Nov,1912,118,6.6
JTS000000000000000LDL,2011,M12,2011 Dec,1801,-111,-5.8
JTS000000000000000LDL,2012,M01,2012 Jan,1797,-4,-0.2
JTS000000000000000LDL,2012,M02,2012 Feb,1903,106,5.9
JTS000000000000000LDL,2012,M03,2012 Mar,1784,-119,-6.3
JTS000000000000000LDL,2012,M04,2012 Apr,1880,96,5.4
JTS000000000000000LDL,2012,M05,2012 May,1969,89,4.7
JTS000000000000000LDL,2012,M06,2012 Jun,1892,-77,-3.9
JTS000000000000000LDL,2012,M07,2012 Jul,1722,-170,-9.0
JTS000000000000000LDL,2012,M08,2012 Aug,1894,172,10.0
JTS000000000000000LDL,2012,M09,2012 Sep,1805,-89,-4.7
JTS000000000000000LDL,2012,M10,2012 Oct,1891,86,4.8
JTS000000000000000LDL,2012,M11,2012 Nov,1921,30,1.6
JTS000000000000000LDL,2012,M12,2012 Dec,1700,-221,-11.5
JTS000000000000000LDL,2013,M01,2013 Jan,1678,-22,-1.3
JTS000000000000000LDL,2013,M02,2013 Feb,1664,-14,-0.8
JTS000000000000000LDL,2013,M03,2013 Mar,1787,123,7.4
JTS000000000000000LDL,2013,M04,2013 Apr,1793,6,0.3
JTS000000000000000LDL,2013,M05,2013 May,1836,43,2.4
JTS000000000000000LDL,2013,M06,2013 Jun,1761,-75,-4.1
JTS000000000000000LDL,2013,M07,2013 Jul,1713,-48,-2.7
JTS000000000000000LDL,2013,M08,2013 Aug,1816,103,6.0
JTS000000000000000LDL,2013,M09,2013 Sep,1892,76,4.2
JTS000000000000000LDL,2013,M10,2013 Oct,1675,-217,-11.5
JTS000000000000000LDL,2013,M11,2013 Nov,1630,-45,-2.7
JTS000000000000000LDL,2013,M12,2013 Dec,1770,140,8.6
JTS000000000000000LDL,2014,M01,2014 Jan,1806,36,2.0
JTS000000000000000LDL,2014,M02,2014 Feb,1767,-39,-2.2
JTS000000000000000LDL,2014,M03,2014 Mar,1703,-64,-3.6
JTS000000000000000LDL,2014,M04,2014 Apr,1764,61,3.6
JTS000000000000000LDL,2014,M05,2014 May,1710,-54,-3.1
JTS000000000000000LDL,2014,M06,2014 Jun,1761,51,3.0
JTS000000000000000LDL,2014,M07,2014 Jul,1781,20,1.1
JTS000000000000000LDL,2014,M08,2014 Aug,1699,-82,-4.6
JTS000000000000000LDL,2014,M09,2014 Sep,1718,19,1.1
JTS000000000000000LDL,2014,M10,2014 Oct,1835,117,6.8
