Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES3000000001,2006,M01,2006 Jan,14210,17,0.1
CES3000000001,2006,M02,2006 Feb,14209,-1,0.0
CES3000000001,2006,M03,2006 Mar,14214,5,0.0
CES3000000001,2006,M04,2006 Apr,14226,12,0.1
CES3000000001,2006,M05,2006 May,14203,-23,-0.2
CES3000000001,2006,M06,2006 Jun,14213,10,0.1
CES3000000001,2006,M07,2006 Jul,14188,-25,-0.2
CES3000000001,2006,M08,2006 Aug,14159,-29,-0.2
CES3000000001,2006,M09,2006 Sep,14125,-34,-0.2
CES3000000001,2006,M10,2006 Oct,14075,-50,-0.4
CES3000000001,2006,M11,2006 Nov,14041,-34,-0.2
CES3000000001,2006,M12,2006 Dec,14015,-26,-0.2
CES3000000001,2007,M01,2007 Jan,14008,-7,0.0
CES3000000001,2007,M02,2007 Feb,13997,-11,-0.1
CES3000000001,2007,M03,2007 Mar,13970,-27,-0.2
CES3000000001,2007,M04,2007 Apr,13945,-25,-0.2
CES3000000001,2007,M05,2007 May,13929,-16,-0.1
CES3000000001,2007,M06,2007 Jun,13911,-18,-0.1
CES3000000001,2007,M07,2007 Jul,13889,-22,-0.2
CES3000000001,2007,M08,2007 Aug,13828,-61,-0.4
CES3000000001,2007,M09,2007 Sep,13790,-38,-0.3
CES3000000001,2007,M10,2007 Oct,13764,-26,-0.2
CES3000000001,2007,M11,2007 Nov,13757,-7,-0.1
CES3000000001,2007,M12,2007 Dec,13746,-11,-0.1
CES3000000001,2008,M01,2008 Jan,13725,-21,-0.2
CES3000000001,2008,M02,2008 Feb,13696,-29,-0.2
CES3000000001,2008,M03,2008 Mar,13659,-37,-0.3
CES3000000001,2008,M04,2008 Apr,13599,-60,-0.4
CES3000000001,2008,M05,2008 May,13564,-35,-0.3
CES3000000001,2008,M06,2008 Jun,13504,-60,-0.4
CES3000000001,2008,M07,2008 Jul,13430,-74,-0.5
CES3000000001,2008,M08,2008 Aug,13358,-72,-0.5
CES3000000001,2008,M09,2008 Sep,13275,-83,-0.6
CES3000000001,2008,M10,2008 Oct,13147,-128,-1.0
CES3000000001,2008,M11,2008 Nov,13034,-113,-0.9
CES3000000001,2008,M12,2008 Dec,12850,-184,-1.4
CES3000000001,2009,M01,2009 Jan,12561,-289,-2.2
CES3000000001,2009,M02,2009 Feb,12380,-181,-1.4
CES3000000001,2009,M03,2009 Mar,12208,-172,-1.4
CES3000000001,2009,M04,2009 Apr,12030,-178,-1.5
CES3000000001,2009,M05,2009 May,11862,-168,-1.4
CES3000000001,2009,M06,2009 Jun,11726,-136,-1.1
CES3000000001,2009,M07,2009 Jul,11668,-58,-0.5
CES3000000001,2009,M08,2009 Aug,11626,-42,-0.4
CES3000000001,2009,M09,2009 Sep,11591,-35,-0.3
CES3000000001,2009,M10,2009 Oct,11538,-53,-0.5
CES3000000001,2009,M11,2009 Nov,11509,-29,-0.3
CES3000000001,2009,M12,2009 Dec,11475,-34,-0.3
CES3000000001,2010,M01,2010 Jan,11460,-15,-0.1
CES3000000001,2010,M02,2010 Feb,11453,-7,-0.1
CES3000000001,2010,M03,2010 Mar,11453,0,0.0
CES3000000001,2010,M04,2010 Apr,11489,36,0.3
CES3000000001,2010,M05,2010 May,11525,36,0.3
CES3000000001,2010,M06,2010 Jun,11545,20,0.2
CES3000000001,2010,M07,2010 Jul,11561,16,0.1
CES3000000001,2010,M08,2010 Aug,11553,-8,-0.1
CES3000000001,2010,M09,2010 Sep,11563,10,0.1
CES3000000001,2010,M10,2010 Oct,11562,-1,0.0
CES3000000001,2010,M11,2010 Nov,11585,23,0.2
CES3000000001,2010,M12,2010 Dec,11595,10,0.1
CES3000000001,2011,M01,2011 Jan,11621,26,0.2
CES3000000001,2011,M02,2011 Feb,11654,33,0.3
CES3000000001,2011,M03,2011 Mar,11675,21,0.2
CES3000000001,2011,M04,2011 Apr,11704,29,0.2
CES3000000001,2011,M05,2011 May,11713,9,0.1
CES3000000001,2011,M06,2011 Jun,11727,14,0.1
CES3000000001,2011,M07,2011 Jul,11746,19,0.2
CES3000000001,2011,M08,2011 Aug,11764,18,0.2
CES3000000001,2011,M09,2011 Sep,11769,5,0.0
CES3000000001,2011,M10,2011 Oct,11780,11,0.1
CES3000000001,2011,M11,2011 Nov,11770,-10,-0.1
CES3000000001,2011,M12,2011 Dec,11802,32,0.3
CES3000000001,2012,M01,2012 Jan,11838,36,0.3
CES3000000001,2012,M02,2012 Feb,11860,22,0.2
CES3000000001,2012,M03,2012 Mar,11898,38,0.3
CES3000000001,2012,M04,2012 Apr,11916,18,0.2
CES3000000001,2012,M05,2012 May,11927,11,0.1
CES3000000001,2012,M06,2012 Jun,11936,9,0.1
CES3000000001,2012,M07,2012 Jul,11964,28,0.2
CES3000000001,2012,M08,2012 Aug,11960,-4,0.0
CES3000000001,2012,M09,2012 Sep,11954,-6,-0.1
CES3000000001,2012,M10,2012 Oct,11961,7,0.1
CES3000000001,2012,M11,2012 Nov,11950,-11,-0.1
