Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU300000000000000HIL,2006,M01,2006 Jan,404,154,61.6
JTU300000000000000HIL,2006,M02,2006 Feb,345,-59,-14.6
JTU300000000000000HIL,2006,M03,2006 Mar,409,64,18.6
JTU300000000000000HIL,2006,M04,2006 Apr,373,-36,-8.8
JTU300000000000000HIL,2006,M05,2006 May,438,65,17.4
JTU300000000000000HIL,2006,M06,2006 Jun,460,22,5.0
JTU300000000000000HIL,2006,M07,2006 Jul,436,-24,-5.2
JTU300000000000000HIL,2006,M08,2006 Aug,407,-29,-6.7
JTU300000000000000HIL,2006,M09,2006 Sep,361,-46,-11.3
JTU300000000000000HIL,2006,M10,2006 Oct,355,-6,-1.7
JTU300000000000000HIL,2006,M11,2006 Nov,299,-56,-15.8
JTU300000000000000HIL,2006,M12,2006 Dec,246,-53,-17.7
JTU300000000000000HIL,2007,M01,2007 Jan,415,169,68.7
JTU300000000000000HIL,2007,M02,2007 Feb,345,-70,-16.9
JTU300000000000000HIL,2007,M03,2007 Mar,369,24,7.0
JTU300000000000000HIL,2007,M04,2007 Apr,376,7,1.9
JTU300000000000000HIL,2007,M05,2007 May,436,60,16.0
JTU300000000000000HIL,2007,M06,2007 Jun,438,2,0.5
JTU300000000000000HIL,2007,M07,2007 Jul,416,-22,-5.0
JTU300000000000000HIL,2007,M08,2007 Aug,396,-20,-4.8
JTU300000000000000HIL,2007,M09,2007 Sep,382,-14,-3.5
JTU300000000000000HIL,2007,M10,2007 Oct,399,17,4.5
JTU300000000000000HIL,2007,M11,2007 Nov,324,-75,-18.8
JTU300000000000000HIL,2007,M12,2007 Dec,227,-97,-29.9
JTU300000000000000HIL,2008,M01,2008 Jan,352,125,55.1
JTU300000000000000HIL,2008,M02,2008 Feb,282,-70,-19.9
JTU300000000000000HIL,2008,M03,2008 Mar,311,29,10.3
JTU300000000000000HIL,2008,M04,2008 Apr,358,47,15.1
JTU300000000000000HIL,2008,M05,2008 May,367,9,2.5
JTU300000000000000HIL,2008,M06,2008 Jun,363,-4,-1.1
JTU300000000000000HIL,2008,M07,2008 Jul,293,-70,-19.3
JTU300000000000000HIL,2008,M08,2008 Aug,304,11,3.8
JTU300000000000000HIL,2008,M09,2008 Sep,311,7,2.3
JTU300000000000000HIL,2008,M10,2008 Oct,312,1,0.3
JTU300000000000000HIL,2008,M11,2008 Nov,196,-116,-37.2
JTU300000000000000HIL,2008,M12,2008 Dec,164,-32,-16.3
JTU300000000000000HIL,2009,M01,2009 Jan,223,59,36.0
JTU300000000000000HIL,2009,M02,2009 Feb,221,-2,-0.9
JTU300000000000000HIL,2009,M03,2009 Mar,234,13,5.9
JTU300000000000000HIL,2009,M04,2009 Apr,222,-12,-5.1
JTU300000000000000HIL,2009,M05,2009 May,218,-4,-1.8
JTU300000000000000HIL,2009,M06,2009 Jun,241,23,10.6
JTU300000000000000HIL,2009,M07,2009 Jul,287,46,19.1
JTU300000000000000HIL,2009,M08,2009 Aug,261,-26,-9.1
JTU300000000000000HIL,2009,M09,2009 Sep,283,22,8.4
JTU300000000000000HIL,2009,M10,2009 Oct,243,-40,-14.1
JTU300000000000000HIL,2009,M11,2009 Nov,200,-43,-17.7
JTU300000000000000HIL,2009,M12,2009 Dec,148,-52,-26.0
JTU300000000000000HIL,2010,M01,2010 Jan,240,92,62.2
JTU300000000000000HIL,2010,M02,2010 Feb,225,-15,-6.3
JTU300000000000000HIL,2010,M03,2010 Mar,250,25,11.1
JTU300000000000000HIL,2010,M04,2010 Apr,291,41,16.4
JTU300000000000000HIL,2010,M05,2010 May,291,0,0.0
JTU300000000000000HIL,2010,M06,2010 Jun,308,17,5.8
JTU300000000000000HIL,2010,M07,2010 Jul,309,1,0.3
JTU300000000000000HIL,2010,M08,2010 Aug,292,-17,-5.5
JTU300000000000000HIL,2010,M09,2010 Sep,265,-27,-9.2
JTU300000000000000HIL,2010,M10,2010 Oct,271,6,2.3
JTU300000000000000HIL,2010,M11,2010 Nov,238,-33,-12.2
JTU300000000000000HIL,2010,M12,2010 Dec,176,-62,-26.1
JTU300000000000000HIL,2011,M01,2011 Jan,275,99,56.3
JTU300000000000000HIL,2011,M02,2011 Feb,240,-35,-12.7
JTU300000000000000HIL,2011,M03,2011 Mar,262,22,9.2
JTU300000000000000HIL,2011,M04,2011 Apr,280,18,6.9
JTU300000000000000HIL,2011,M05,2011 May,304,24,8.6
JTU300000000000000HIL,2011,M06,2011 Jun,302,-2,-0.7
JTU300000000000000HIL,2011,M07,2011 Jul,294,-8,-2.6
JTU300000000000000HIL,2011,M08,2011 Aug,286,-8,-2.7
JTU300000000000000HIL,2011,M09,2011 Sep,248,-38,-13.3
JTU300000000000000HIL,2011,M10,2011 Oct,248,0,0.0
JTU300000000000000HIL,2011,M11,2011 Nov,189,-59,-23.8
JTU300000000000000HIL,2011,M12,2011 Dec,176,-13,-6.9
JTU300000000000000HIL,2012,M01,2012 Jan,280,104,59.1
