Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU300000000000000JOL,2006,M01,2006 Jan,330,42,14.6
JTU300000000000000JOL,2006,M02,2006 Feb,347,17,5.2
JTU300000000000000JOL,2006,M03,2006 Mar,342,-5,-1.4
JTU300000000000000JOL,2006,M04,2006 Apr,392,50,14.6
JTU300000000000000JOL,2006,M05,2006 May,307,-85,-21.7
JTU300000000000000JOL,2006,M06,2006 Jun,347,40,13.0
JTU300000000000000JOL,2006,M07,2006 Jul,318,-29,-8.4
JTU300000000000000JOL,2006,M08,2006 Aug,350,32,10.1
JTU300000000000000JOL,2006,M09,2006 Sep,341,-9,-2.6
JTU300000000000000JOL,2006,M10,2006 Oct,359,18,5.3
JTU300000000000000JOL,2006,M11,2006 Nov,272,-87,-24.2
JTU300000000000000JOL,2006,M12,2006 Dec,301,29,10.7
JTU300000000000000JOL,2007,M01,2007 Jan,342,41,13.6
JTU300000000000000JOL,2007,M02,2007 Feb,340,-2,-0.6
JTU300000000000000JOL,2007,M03,2007 Mar,363,23,6.8
JTU300000000000000JOL,2007,M04,2007 Apr,373,10,2.8
JTU300000000000000JOL,2007,M05,2007 May,372,-1,-0.3
JTU300000000000000JOL,2007,M06,2007 Jun,358,-14,-3.8
JTU300000000000000JOL,2007,M07,2007 Jul,385,27,7.5
JTU300000000000000JOL,2007,M08,2007 Aug,329,-56,-14.5
JTU300000000000000JOL,2007,M09,2007 Sep,327,-2,-0.6
JTU300000000000000JOL,2007,M10,2007 Oct,291,-36,-11.0
JTU300000000000000JOL,2007,M11,2007 Nov,279,-12,-4.1
JTU300000000000000JOL,2007,M12,2007 Dec,272,-7,-2.5
JTU300000000000000JOL,2008,M01,2008 Jan,288,16,5.9
JTU300000000000000JOL,2008,M02,2008 Feb,263,-25,-8.7
JTU300000000000000JOL,2008,M03,2008 Mar,245,-18,-6.8
JTU300000000000000JOL,2008,M04,2008 Apr,290,45,18.4
JTU300000000000000JOL,2008,M05,2008 May,285,-5,-1.7
JTU300000000000000JOL,2008,M06,2008 Jun,245,-40,-14.0
JTU300000000000000JOL,2008,M07,2008 Jul,260,15,6.1
JTU300000000000000JOL,2008,M08,2008 Aug,259,-1,-0.4
JTU300000000000000JOL,2008,M09,2008 Sep,220,-39,-15.1
JTU300000000000000JOL,2008,M10,2008 Oct,246,26,11.8
JTU300000000000000JOL,2008,M11,2008 Nov,162,-84,-34.1
JTU300000000000000JOL,2008,M12,2008 Dec,137,-25,-15.4
JTU300000000000000JOL,2009,M01,2009 Jan,112,-25,-18.2
JTU300000000000000JOL,2009,M02,2009 Feb,130,18,16.1
JTU300000000000000JOL,2009,M03,2009 Mar,111,-19,-14.6
JTU300000000000000JOL,2009,M04,2009 Apr,103,-8,-7.2
JTU300000000000000JOL,2009,M05,2009 May,99,-4,-3.9
JTU300000000000000JOL,2009,M06,2009 Jun,107,8,8.1
JTU300000000000000JOL,2009,M07,2009 Jul,110,3,2.8
JTU300000000000000JOL,2009,M08,2009 Aug,123,13,11.8
JTU300000000000000JOL,2009,M09,2009 Sep,131,8,6.5
JTU300000000000000JOL,2009,M10,2009 Oct,132,1,0.8
JTU300000000000000JOL,2009,M11,2009 Nov,127,-5,-3.8
JTU300000000000000JOL,2009,M12,2009 Dec,152,25,19.7
JTU300000000000000JOL,2010,M01,2010 Jan,142,-10,-6.6
JTU300000000000000JOL,2010,M02,2010 Feb,157,15,10.6
JTU300000000000000JOL,2010,M03,2010 Mar,153,-4,-2.5
JTU300000000000000JOL,2010,M04,2010 Apr,191,38,24.8
