Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU300000000000000TSL,2006,M01,2006 Jan,412,78,23.4
JTU300000000000000TSL,2006,M02,2006 Feb,349,-63,-15.3
JTU300000000000000TSL,2006,M03,2006 Mar,382,33,9.5
JTU300000000000000TSL,2006,M04,2006 Apr,346,-36,-9.4
JTU300000000000000TSL,2006,M05,2006 May,389,43,12.4
JTU300000000000000TSL,2006,M06,2006 Jun,372,-17,-4.4
JTU300000000000000TSL,2006,M07,2006 Jul,451,79,21.2
JTU300000000000000TSL,2006,M08,2006 Aug,467,16,3.5
JTU300000000000000TSL,2006,M09,2006 Sep,382,-85,-18.2
JTU300000000000000TSL,2006,M10,2006 Oct,413,31,8.1
JTU300000000000000TSL,2006,M11,2006 Nov,355,-58,-14.0
JTU300000000000000TSL,2006,M12,2006 Dec,363,8,2.3
JTU300000000000000TSL,2007,M01,2007 Jan,477,114,31.4
JTU300000000000000TSL,2007,M02,2007 Feb,361,-116,-24.3
JTU300000000000000TSL,2007,M03,2007 Mar,380,19,5.3
JTU300000000000000TSL,2007,M04,2007 Apr,387,7,1.8
JTU300000000000000TSL,2007,M05,2007 May,382,-5,-1.3
JTU300000000000000TSL,2007,M06,2007 Jun,382,0,0.0
JTU300000000000000TSL,2007,M07,2007 Jul,417,35,9.2
JTU300000000000000TSL,2007,M08,2007 Aug,484,67,16.1
JTU300000000000000TSL,2007,M09,2007 Sep,404,-80,-16.5
JTU300000000000000TSL,2007,M10,2007 Oct,447,43,10.6
JTU300000000000000TSL,2007,M11,2007 Nov,361,-86,-19.2
JTU300000000000000TSL,2007,M12,2007 Dec,326,-35,-9.7
JTU300000000000000TSL,2008,M01,2008 Jan,415,89,27.3
JTU300000000000000TSL,2008,M02,2008 Feb,315,-100,-24.1
JTU300000000000000TSL,2008,M03,2008 Mar,334,19,6.0
JTU300000000000000TSL,2008,M04,2008 Apr,396,62,18.6
JTU300000000000000TSL,2008,M05,2008 May,338,-58,-14.6
JTU300000000000000TSL,2008,M06,2008 Jun,367,29,8.6
JTU300000000000000TSL,2008,M07,2008 Jul,349,-18,-4.9
JTU300000000000000TSL,2008,M08,2008 Aug,396,47,13.5
JTU300000000000000TSL,2008,M09,2008 Sep,384,-12,-3.0
JTU300000000000000TSL,2008,M10,2008 Oct,438,54,14.1
JTU300000000000000TSL,2008,M11,2008 Nov,345,-93,-21.2
JTU300000000000000TSL,2008,M12,2008 Dec,399,54,15.7
JTU300000000000000TSL,2009,M01,2009 Jan,586,187,46.9
JTU300000000000000TSL,2009,M02,2009 Feb,393,-193,-32.9
JTU300000000000000TSL,2009,M03,2009 Mar,387,-6,-1.5
JTU300000000000000TSL,2009,M04,2009 Apr,380,-7,-1.8
JTU300000000000000TSL,2009,M05,2009 May,342,-38,-10.0
JTU300000000000000TSL,2009,M06,2009 Jun,332,-10,-2.9
JTU300000000000000TSL,2009,M07,2009 Jul,322,-10,-3.0
JTU300000000000000TSL,2009,M08,2009 Aug,329,7,2.2
JTU300000000000000TSL,2009,M09,2009 Sep,305,-24,-7.3
JTU300000000000000TSL,2009,M10,2009 Oct,317,12,3.9
JTU300000000000000TSL,2009,M11,2009 Nov,252,-65,-20.5
JTU300000000000000TSL,2009,M12,2009 Dec,237,-15,-6.0
JTU300000000000000TSL,2010,M01,2010 Jan,280,43,18.1
JTU300000000000000TSL,2010,M02,2010 Feb,237,-43,-15.4
JTU300000000000000TSL,2010,M03,2010 Mar,234,-3,-1.3
JTU300000000000000TSL,2010,M04,2010 Apr,237,3,1.3
JTU300000000000000TSL,2010,M05,2010 May,212,-25,-10.5
JTU300000000000000TSL,2010,M06,2010 Jun,236,24,11.3
JTU300000000000000TSL,2010,M07,2010 Jul,269,33,14.0
JTU300000000000000TSL,2010,M08,2010 Aug,329,60,22.3
JTU300000000000000TSL,2010,M09,2010 Sep,248,-81,-24.6
JTU300000000000000TSL,2010,M10,2010 Oct,292,44,17.7
JTU300000000000000TSL,2010,M11,2010 Nov,244,-48,-16.4
JTU300000000000000TSL,2010,M12,2010 Dec,233,-11,-4.5
JTU300000000000000TSL,2011,M01,2011 Jan,265,32,13.7
JTU300000000000000TSL,2011,M02,2011 Feb,212,-53,-20.0
JTU300000000000000TSL,2011,M03,2011 Mar,224,12,5.7
JTU300000000000000TSL,2011,M04,2011 Apr,235,11,4.9
JTU300000000000000TSL,2011,M05,2011 May,252,17,7.2
JTU300000000000000TSL,2011,M06,2011 Jun,238,-14,-5.6
JTU300000000000000TSL,2011,M07,2011 Jul,252,14,5.9
JTU300000000000000TSL,2011,M08,2011 Aug,298,46,18.3
JTU300000000000000TSL,2011,M09,2011 Sep,239,-59,-19.8
JTU300000000000000TSL,2011,M10,2011 Oct,256,17,7.1
JTU300000000000000TSL,2011,M11,2011 Nov,214,-42,-16.4
JTU300000000000000TSL,2011,M12,2011 Dec,209,-5,-2.3
JTU300000000000000TSL,2012,M01,2012 Jan,252,43,20.6
JTU300000000000000TSL,2012,M02,2012 Feb,211,-41,-16.3
JTU300000000000000TSL,2012,M03,2012 Mar,217,6,2.8
JTU300000000000000TSL,2012,M04,2012 Apr,244,27,12.4
JTU300000000000000TSL,2012,M05,2012 May,232,-12,-4.9
JTU300000000000000TSL,2012,M06,2012 Jun,260,28,12.1
JTU300000000000000TSL,2012,M07,2012 Jul,240,-20,-7.7
JTU300000000000000TSL,2012,M08,2012 Aug,300,60,25.0
JTU300000000000000TSL,2012,M09,2012 Sep,235,-65,-21.7
JTU300000000000000TSL,2012,M10,2012 Oct,258,23,9.8
JTU300000000000000TSL,2012,M11,2012 Nov,230,-28,-10.9
JTU300000000000000TSL,2012,M12,2012 Dec,200,-30,-13.0
JTU300000000000000TSL,2013,M01,2013 Jan,238,38,19.0
JTU300000000000000TSL,2013,M02,2013 Feb,200,-38,-16.0
JTU300000000000000TSL,2013,M03,2013 Mar,199,-1,-0.5
