Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES6000000001,2006,M01,2006 Jan,17348,52,0.3
CES6000000001,2006,M02,2006 Feb,17408,60,0.3
CES6000000001,2006,M03,2006 Mar,17495,87,0.5
CES6000000001,2006,M04,2006 Apr,17515,20,0.1
CES6000000001,2006,M05,2006 May,17572,57,0.3
CES6000000001,2006,M06,2006 Jun,17642,70,0.4
CES6000000001,2006,M07,2006 Jul,17682,40,0.2
CES6000000001,2006,M08,2006 Aug,17728,46,0.3
CES6000000001,2006,M09,2006 Sep,17718,-10,-0.1
CES6000000001,2006,M10,2006 Oct,17722,4,0.0
CES6000000001,2006,M11,2006 Nov,17790,68,0.4
CES6000000001,2006,M12,2006 Dec,17823,33,0.2
CES6000000001,2007,M01,2007 Jan,17887,64,0.4
CES6000000001,2007,M02,2007 Feb,17918,31,0.2
CES6000000001,2007,M03,2007 Mar,17949,31,0.2
CES6000000001,2007,M04,2007 Apr,17966,17,0.1
CES6000000001,2007,M05,2007 May,17999,33,0.2
CES6000000001,2007,M06,2007 Jun,18011,12,0.1
CES6000000001,2007,M07,2007 Jul,18015,4,0.0
CES6000000001,2007,M08,2007 Aug,18025,10,0.1
CES6000000001,2007,M09,2007 Sep,18022,-3,0.0
CES6000000001,2007,M10,2007 Oct,18058,36,0.2
CES6000000001,2007,M11,2007 Nov,18059,1,0.0
CES6000000001,2007,M12,2007 Dec,18104,45,0.2
CES6000000001,2008,M01,2008 Jan,18094,-10,-0.1
CES6000000001,2008,M02,2008 Feb,18046,-48,-0.3
CES6000000001,2008,M03,2008 Mar,18005,-41,-0.2
CES6000000001,2008,M04,2008 Apr,17996,-9,0.0
CES6000000001,2008,M05,2008 May,17936,-60,-0.3
CES6000000001,2008,M06,2008 Jun,17896,-40,-0.2
CES6000000001,2008,M07,2008 Jul,17835,-61,-0.3
CES6000000001,2008,M08,2008 Aug,17771,-64,-0.4
CES6000000001,2008,M09,2008 Sep,17700,-71,-0.4
CES6000000001,2008,M10,2008 Oct,17590,-110,-0.6
CES6000000001,2008,M11,2008 Nov,17420,-170,-1.0
CES6000000001,2008,M12,2008 Dec,17287,-133,-0.8
