Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU540099000000000HIL,2006,M01,2006 Jan,1037,319,44.4
JTU540099000000000HIL,2006,M02,2006 Feb,846,-191,-18.4
JTU540099000000000HIL,2006,M03,2006 Mar,992,146,17.3
JTU540099000000000HIL,2006,M04,2006 Apr,1013,21,2.1
JTU540099000000000HIL,2006,M05,2006 May,1117,104,10.3
JTU540099000000000HIL,2006,M06,2006 Jun,1077,-40,-3.6
JTU540099000000000HIL,2006,M07,2006 Jul,1155,78,7.2
JTU540099000000000HIL,2006,M08,2006 Aug,1025,-130,-11.3
JTU540099000000000HIL,2006,M09,2006 Sep,963,-62,-6.0
JTU540099000000000HIL,2006,M10,2006 Oct,1127,164,17.0
JTU540099000000000HIL,2006,M11,2006 Nov,958,-169,-15.0
JTU540099000000000HIL,2006,M12,2006 Dec,767,-191,-19.9
JTU540099000000000HIL,2007,M01,2007 Jan,1139,372,48.5
JTU540099000000000HIL,2007,M02,2007 Feb,834,-305,-26.8
JTU540099000000000HIL,2007,M03,2007 Mar,985,151,18.1
JTU540099000000000HIL,2007,M04,2007 Apr,1186,201,20.4
JTU540099000000000HIL,2007,M05,2007 May,1089,-97,-8.2
JTU540099000000000HIL,2007,M06,2007 Jun,940,-149,-13.7
JTU540099000000000HIL,2007,M07,2007 Jul,1086,146,15.5
JTU540099000000000HIL,2007,M08,2007 Aug,1028,-58,-5.3
JTU540099000000000HIL,2007,M09,2007 Sep,1017,-11,-1.1
JTU540099000000000HIL,2007,M10,2007 Oct,1180,163,16.0
JTU540099000000000HIL,2007,M11,2007 Nov,879,-301,-25.5
JTU540099000000000HIL,2007,M12,2007 Dec,773,-106,-12.1
JTU540099000000000HIL,2008,M01,2008 Jan,1100,327,42.3
JTU540099000000000HIL,2008,M02,2008 Feb,857,-243,-22.1
JTU540099000000000HIL,2008,M03,2008 Mar,874,17,2.0
JTU540099000000000HIL,2008,M04,2008 Apr,1053,179,20.5
JTU540099000000000HIL,2008,M05,2008 May,852,-201,-19.1
JTU540099000000000HIL,2008,M06,2008 Jun,1045,193,22.7
JTU540099000000000HIL,2008,M07,2008 Jul,919,-126,-12.1
JTU540099000000000HIL,2008,M08,2008 Aug,865,-54,-5.9
JTU540099000000000HIL,2008,M09,2008 Sep,830,-35,-4.0
JTU540099000000000HIL,2008,M10,2008 Oct,905,75,9.0
JTU540099000000000HIL,2008,M11,2008 Nov,697,-208,-23.0
JTU540099000000000HIL,2008,M12,2008 Dec,688,-9,-1.3
JTU540099000000000HIL,2009,M01,2009 Jan,787,99,14.4
JTU540099000000000HIL,2009,M02,2009 Feb,616,-171,-21.7
JTU540099000000000HIL,2009,M03,2009 Mar,629,13,2.1
JTU540099000000000HIL,2009,M04,2009 Apr,810,181,28.8
JTU540099000000000HIL,2009,M05,2009 May,701,-109,-13.5
JTU540099000000000HIL,2009,M06,2009 Jun,677,-24,-3.4
JTU540099000000000HIL,2009,M07,2009 Jul,779,102,15.1
JTU540099000000000HIL,2009,M08,2009 Aug,686,-93,-11.9
