Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU540099000000000JOL,2006,M01,2006 Jan,793,113,16.6
JTU540099000000000JOL,2006,M02,2006 Feb,757,-36,-4.5
JTU540099000000000JOL,2006,M03,2006 Mar,840,83,11.0
JTU540099000000000JOL,2006,M04,2006 Apr,1042,202,24.0
JTU540099000000000JOL,2006,M05,2006 May,829,-213,-20.4
JTU540099000000000JOL,2006,M06,2006 Jun,900,71,8.6
JTU540099000000000JOL,2006,M07,2006 Jul,973,73,8.1
JTU540099000000000JOL,2006,M08,2006 Aug,959,-14,-1.4
JTU540099000000000JOL,2006,M09,2006 Sep,885,-74,-7.7
JTU540099000000000JOL,2006,M10,2006 Oct,868,-17,-1.9
JTU540099000000000JOL,2006,M11,2006 Nov,789,-79,-9.1
JTU540099000000000JOL,2006,M12,2006 Dec,740,-49,-6.2
JTU540099000000000JOL,2007,M01,2007 Jan,1007,267,36.1
JTU540099000000000JOL,2007,M02,2007 Feb,841,-166,-16.5
JTU540099000000000JOL,2007,M03,2007 Mar,1010,169,20.1
JTU540099000000000JOL,2007,M04,2007 Apr,1068,58,5.7
JTU540099000000000JOL,2007,M05,2007 May,884,-184,-17.2
JTU540099000000000JOL,2007,M06,2007 Jun,931,47,5.3
JTU540099000000000JOL,2007,M07,2007 Jul,820,-111,-11.9
JTU540099000000000JOL,2007,M08,2007 Aug,752,-68,-8.3
JTU540099000000000JOL,2007,M09,2007 Sep,822,70,9.3
JTU540099000000000JOL,2007,M10,2007 Oct,1076,254,30.9
JTU540099000000000JOL,2007,M11,2007 Nov,929,-147,-13.7
JTU540099000000000JOL,2007,M12,2007 Dec,988,59,6.4
JTU540099000000000JOL,2008,M01,2008 Jan,1042,54,5.5
JTU540099000000000JOL,2008,M02,2008 Feb,945,-97,-9.3
JTU540099000000000JOL,2008,M03,2008 Mar,939,-6,-0.6
JTU540099000000000JOL,2008,M04,2008 Apr,937,-2,-0.2
JTU540099000000000JOL,2008,M05,2008 May,803,-134,-14.3
JTU540099000000000JOL,2008,M06,2008 Jun,702,-101,-12.6
JTU540099000000000JOL,2008,M07,2008 Jul,654,-48,-6.8
JTU540099000000000JOL,2008,M08,2008 Aug,666,12,1.8
JTU540099000000000JOL,2008,M09,2008 Sep,607,-59,-8.9
JTU540099000000000JOL,2008,M10,2008 Oct,615,8,1.3
JTU540099000000000JOL,2008,M11,2008 Nov,475,-140,-22.8
JTU540099000000000JOL,2008,M12,2008 Dec,538,63,13.3
JTU540099000000000JOL,2009,M01,2009 Jan,584,46,8.6
JTU540099000000000JOL,2009,M02,2009 Feb,508,-76,-13.0
JTU540099000000000JOL,2009,M03,2009 Mar,476,-32,-6.3
JTU540099000000000JOL,2009,M04,2009 Apr,515,39,8.2
JTU540099000000000JOL,2009,M05,2009 May,437,-78,-15.1
JTU540099000000000JOL,2009,M06,2009 Jun,365,-72,-16.5
JTU540099000000000JOL,2009,M07,2009 Jul,431,66,18.1
JTU540099000000000JOL,2009,M08,2009 Aug,427,-4,-0.9
JTU540099000000000JOL,2009,M09,2009 Sep,438,11,2.6
JTU540099000000000JOL,2009,M10,2009 Oct,475,37,8.4
JTU540099000000000JOL,2009,M11,2009 Nov,395,-80,-16.8
JTU540099000000000JOL,2009,M12,2009 Dec,390,-5,-1.3
JTU540099000000000JOL,2010,M01,2010 Jan,494,104,26.7
JTU540099000000000JOL,2010,M02,2010 Feb,405,-89,-18.0
JTU540099000000000JOL,2010,M03,2010 Mar,413,8,2.0
JTU540099000000000JOL,2010,M04,2010 Apr,572,159,38.5
JTU540099000000000JOL,2010,M05,2010 May,599,27,4.7
JTU540099000000000JOL,2010,M06,2010 Jun,539,-60,-10.0
JTU540099000000000JOL,2010,M07,2010 Jul,605,66,12.2
JTU540099000000000JOL,2010,M08,2010 Aug,650,45,7.4
JTU540099000000000JOL,2010,M09,2010 Sep,606,-44,-6.8
JTU540099000000000JOL,2010,M10,2010 Oct,739,133,21.9
JTU540099000000000JOL,2010,M11,2010 Nov,671,-68,-9.2
JTU540099000000000JOL,2010,M12,2010 Dec,528,-143,-21.3
JTU540099000000000JOL,2011,M01,2011 Jan,556,28,5.3
JTU540099000000000JOL,2011,M02,2011 Feb,584,28,5.0
JTU540099000000000JOL,2011,M03,2011 Mar,654,70,12.0
JTU540099000000000JOL,2011,M04,2011 Apr,644,-10,-1.5
JTU540099000000000JOL,2011,M05,2011 May,588,-56,-8.7
JTU540099000000000JOL,2011,M06,2011 Jun,634,46,7.8
JTU540099000000000JOL,2011,M07,2011 Jul,778,144,22.7
JTU540099000000000JOL,2011,M08,2011 Aug,687,-91,-11.7
JTU540099000000000JOL,2011,M09,2011 Sep,858,171,24.9
JTU540099000000000JOL,2011,M10,2011 Oct,818,-40,-4.7
JTU540099000000000JOL,2011,M11,2011 Nov,642,-176,-21.5
JTU540099000000000JOL,2011,M12,2011 Dec,779,137,21.3
JTU540099000000000JOL,2012,M01,2012 Jan,947,168,21.6
JTU540099000000000JOL,2012,M02,2012 Feb,722,-225,-23.8
JTU540099000000000JOL,2012,M03,2012 Mar,836,114,15.8
JTU540099000000000JOL,2012,M04,2012 Apr,838,2,0.2
JTU540099000000000JOL,2012,M05,2012 May,764,-74,-8.8
JTU540099000000000JOL,2012,M06,2012 Jun,732,-32,-4.2
JTU540099000000000JOL,2012,M07,2012 Jul,732,0,0.0
JTU540099000000000JOL,2012,M08,2012 Aug,750,18,2.5
JTU540099000000000JOL,2012,M09,2012 Sep,652,-98,-13.1
JTU540099000000000JOL,2012,M10,2012 Oct,884,232,35.6
JTU540099000000000JOL,2012,M11,2012 Nov,724,-160,-18.1
JTU540099000000000JOL,2012,M12,2012 Dec,614,-110,-15.2
JTU540099000000000JOL,2013,M01,2013 Jan,762,148,24.1
JTU540099000000000JOL,2013,M02,2013 Feb,733,-29,-3.8
JTU540099000000000JOL,2013,M03,2013 Mar,732,-1,-0.1
JTU540099000000000JOL,2013,M04,2013 Apr,842,110,15.0
JTU540099000000000JOL,2013,M05,2013 May,815,-27,-3.2
JTU540099000000000JOL,2013,M06,2013 Jun,705,-110,-13.5
JTU540099000000000JOL,2013,M07,2013 Jul,694,-11,-1.6
JTU540099000000000JOL,2013,M08,2013 Aug,827,133,19.2
JTU540099000000000JOL,2013,M09,2013 Sep,713,-114,-13.8
JTU540099000000000JOL,2013,M10,2013 Oct,958,245,34.4
JTU540099000000000JOL,2013,M11,2013 Nov,718,-240,-25.1
JTU540099000000000JOL,2013,M12,2013 Dec,676,-42,-5.8
JTU540099000000000JOL,2014,M01,2014 Jan,692,16,2.4
JTU540099000000000JOL,2014,M02,2014 Feb,823,131,18.9
JTU540099000000000JOL,2014,M03,2014 Mar,736,-87,-10.6
JTU540099000000000JOL,2014,M04,2014 Apr,939,203,27.6
JTU540099000000000JOL,2014,M05,2014 May,892,-47,-5.0
JTU540099000000000JOL,2014,M06,2014 Jun,867,-25,-2.8
JTU540099000000000JOL,2014,M07,2014 Jul,920,53,6.1
JTU540099000000000JOL,2014,M08,2014 Aug,982,62,6.7
JTU540099000000000JOL,2014,M09,2014 Sep,919,-63,-6.4
JTU540099000000000JOL,2014,M10,2014 Oct,1095,176,19.2
JTU540099000000000JOL,2014,M11,2014 Nov,934,-161,-14.7
JTU540099000000000JOL,2014,M12,2014 Dec,932,-2,-0.2
JTU540099000000000JOL,2015,M01,2015 Jan,1001,69,7.4
JTU540099000000000JOL,2015,M02,2015 Feb,1038,37,3.7
JTU540099000000000JOL,2015,M03,2015 Mar,1056,18,1.7
JTU540099000000000JOL,2015,M04,2015 Apr,1333,277,26.2
JTU540099000000000JOL,2015,M05,2015 May,1274,-59,-4.4
JTU540099000000000JOL,2015,M06,2015 Jun,1059,-215,-16.9
JTU540099000000000JOL,2015,M07,2015 Jul,1187,128,12.1
JTU540099000000000JOL,2015,M08,2015 Aug,1098,-89,-7.5
JTU540099000000000JOL,2015,M09,2015 Sep,1116,18,1.6
JTU540099000000000JOL,2015,M10,2015 Oct,1364,248,22.2
JTU540099000000000JOL,2015,M11,2015 Nov,1233,-131,-9.6
JTU540099000000000JOL,2015,M12,2015 Dec,1074,-159,-12.9
JTU540099000000000JOL,2016,M01,2016 Jan,1287,213,19.8
JTU540099000000000JOL,2016,M02,2016 Feb,1180,-107,-8.3
JTU540099000000000JOL,2016,M03,2016 Mar,1432,252,21.4
JTU540099000000000JOL,2016,M04,2016 Apr,1159,-273,-19.1
JTU540099000000000JOL,2016,M05,2016 May,1187,28,2.4
JTU540099000000000JOL,2016,M06,2016 Jun,1093,-94,-7.9
JTU540099000000000JOL,2016,M07,2016 Jul,1318,225,20.6
JTU540099000000000JOL,2016,M08,2016 Aug,1109,-209,-15.9
JTU540099000000000JOL,2016,M09,2016 Sep,1233,124,11.2
JTU540099000000000JOL,2016,M10,2016 Oct,1126,-107,-8.7
JTU540099000000000JOL,2016,M11,2016 Nov,1150,24,2.1
JTU540099000000000JOL,2016,M12,2016 Dec,938,-212,-18.4
