Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU540099000000000TSL,2006,M01,2006 Jan,1032,196,23.4
JTU540099000000000TSL,2006,M02,2006 Feb,766,-266,-25.8
JTU540099000000000TSL,2006,M03,2006 Mar,891,125,16.3
JTU540099000000000TSL,2006,M04,2006 Apr,973,82,9.2
JTU540099000000000TSL,2006,M05,2006 May,996,23,2.4
JTU540099000000000TSL,2006,M06,2006 Jun,885,-111,-11.1
JTU540099000000000TSL,2006,M07,2006 Jul,1097,212,24.0
JTU540099000000000TSL,2006,M08,2006 Aug,1004,-93,-8.5
JTU540099000000000TSL,2006,M09,2006 Sep,936,-68,-6.8
JTU540099000000000TSL,2006,M10,2006 Oct,1113,177,18.9
JTU540099000000000TSL,2006,M11,2006 Nov,960,-153,-13.7
JTU540099000000000TSL,2006,M12,2006 Dec,915,-45,-4.7
JTU540099000000000TSL,2007,M01,2007 Jan,1118,203,22.2
JTU540099000000000TSL,2007,M02,2007 Feb,805,-313,-28.0
JTU540099000000000TSL,2007,M03,2007 Mar,925,120,14.9
JTU540099000000000TSL,2007,M04,2007 Apr,1140,215,23.2
JTU540099000000000TSL,2007,M05,2007 May,978,-162,-14.2
JTU540099000000000TSL,2007,M06,2007 Jun,818,-160,-16.4
JTU540099000000000TSL,2007,M07,2007 Jul,1053,235,28.7
JTU540099000000000TSL,2007,M08,2007 Aug,1051,-2,-0.2
JTU540099000000000TSL,2007,M09,2007 Sep,982,-69,-6.6
JTU540099000000000TSL,2007,M10,2007 Oct,1127,145,14.8
JTU540099000000000TSL,2007,M11,2007 Nov,941,-186,-16.5
JTU540099000000000TSL,2007,M12,2007 Dec,935,-6,-0.6
JTU540099000000000TSL,2008,M01,2008 Jan,1166,231,24.7
JTU540099000000000TSL,2008,M02,2008 Feb,912,-254,-21.8
JTU540099000000000TSL,2008,M03,2008 Mar,869,-43,-4.7
JTU540099000000000TSL,2008,M04,2008 Apr,1030,161,18.5
JTU540099000000000TSL,2008,M05,2008 May,838,-192,-18.6
JTU540099000000000TSL,2008,M06,2008 Jun,955,117,14.0
