Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
LNU04032239,2006,M01,2006 Jan,6.5,0.4,6.6
LNU04032239,2006,M02,2006 Feb,6.5,0.0,0.0
LNU04032239,2006,M03,2006 Mar,6.3,-0.2,-3.1
LNU04032239,2006,M04,2006 Apr,4.9,-1.4,-22.2
LNU04032239,2006,M05,2006 May,5.3,0.4,8.2
LNU04032239,2006,M06,2006 Jun,5.7,0.4,7.5
LNU04032239,2006,M07,2006 Jul,5.5,-0.2,-3.5
LNU04032239,2006,M08,2006 Aug,5.1,-0.4,-7.3
LNU04032239,2006,M09,2006 Sep,5.6,0.5,9.8
LNU04032239,2006,M10,2006 Oct,5.6,0.0,0.0
LNU04032239,2006,M11,2006 Nov,4.9,-0.7,-12.5
LNU04032239,2006,M12,2006 Dec,5.9,1.0,20.4
LNU04032239,2007,M01,2007 Jan,6.5,0.6,10.2
LNU04032239,2007,M02,2007 Feb,6.0,-0.5,-7.7
LNU04032239,2007,M03,2007 Mar,5.7,-0.3,-5.0
LNU04032239,2007,M04,2007 Apr,5.0,-0.7,-12.3
LNU04032239,2007,M05,2007 May,5.4,0.4,8.0
LNU04032239,2007,M06,2007 Jun,5.2,-0.2,-3.7
LNU04032239,2007,M07,2007 Jul,5.2,0.0,0.0
LNU04032239,2007,M08,2007 Aug,4.9,-0.3,-5.8
LNU04032239,2007,M09,2007 Sep,4.7,-0.2,-4.1
LNU04032239,2007,M10,2007 Oct,4.8,0.1,2.1
LNU04032239,2007,M11,2007 Nov,4.8,0.0,0.0
LNU04032239,2007,M12,2007 Dec,5.7,0.9,18.8
LNU04032239,2008,M01,2008 Jan,6.4,0.7,12.3
LNU04032239,2008,M02,2008 Feb,6.2,-0.2,-3.1
LNU04032239,2008,M03,2008 Mar,6.2,0.0,0.0
LNU04032239,2008,M04,2008 Apr,5.3,-0.9,-14.5
LNU04032239,2008,M05,2008 May,5.9,0.6,11.3
LNU04032239,2008,M06,2008 Jun,6.2,0.3,5.1
LNU04032239,2008,M07,2008 Jul,6.1,-0.1,-1.6
LNU04032239,2008,M08,2008 Aug,6.9,0.8,13.1
LNU04032239,2008,M09,2008 Sep,6.9,0.0,0.0
LNU04032239,2008,M10,2008 Oct,7.5,0.6,8.7
LNU04032239,2008,M11,2008 Nov,7.0,-0.5,-6.7
LNU04032239,2008,M12,2008 Dec,8.1,1.1,15.7
LNU04032239,2009,M01,2009 Jan,10.4,2.3,28.4
LNU04032239,2009,M02,2009 Feb,10.8,0.4,3.8
LNU04032239,2009,M03,2009 Mar,11.4,0.6,5.6
LNU04032239,2009,M04,2009 Apr,10.4,-1.0,-8.8
LNU04032239,2009,M05,2009 May,10.9,0.5,4.8
LNU04032239,2009,M06,2009 Jun,11.3,0.4,3.7
LNU04032239,2009,M07,2009 Jul,10.9,-0.4,-3.5
LNU04032239,2009,M08,2009 Aug,11.0,0.1,0.9
LNU04032239,2009,M09,2009 Sep,11.3,0.3,2.7
LNU04032239,2009,M10,2009 Oct,10.3,-1.0,-8.8
LNU04032239,2009,M11,2009 Nov,10.6,0.3,2.9
LNU04032239,2009,M12,2009 Dec,10.3,-0.3,-2.8
