Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTS000000000000000QUL,2006,M01,2006 Jan,2945,96,3.4
JTS000000000000000QUL,2006,M02,2006 Feb,2965,20,0.7
JTS000000000000000QUL,2006,M03,2006 Mar,2956,-9,-0.3
JTS000000000000000QUL,2006,M04,2006 Apr,2778,-178,-6.0
JTS000000000000000QUL,2006,M05,2006 May,3002,224,8.1
JTS000000000000000QUL,2006,M06,2006 Jun,3042,40,1.3
JTS000000000000000QUL,2006,M07,2006 Jul,3047,5,0.2
JTS000000000000000QUL,2006,M08,2006 Aug,3056,9,0.3
JTS000000000000000QUL,2006,M09,2006 Sep,2888,-168,-5.5
JTS000000000000000QUL,2006,M10,2006 Oct,2983,95,3.3
JTS000000000000000QUL,2006,M11,2006 Nov,3043,60,2.0
JTS000000000000000QUL,2006,M12,2006 Dec,2999,-44,-1.4
JTS000000000000000QUL,2007,M01,2007 Jan,2956,-43,-1.4
JTS000000000000000QUL,2007,M02,2007 Feb,2933,-23,-0.8
JTS000000000000000QUL,2007,M03,2007 Mar,2997,64,2.2
JTS000000000000000QUL,2007,M04,2007 Apr,2911,-86,-2.9
JTS000000000000000QUL,2007,M05,2007 May,3010,99,3.4
JTS000000000000000QUL,2007,M06,2007 Jun,2910,-100,-3.3
JTS000000000000000QUL,2007,M07,2007 Jul,2951,41,1.4
JTS000000000000000QUL,2007,M08,2007 Aug,3014,63,2.1
JTS000000000000000QUL,2007,M09,2007 Sep,2691,-323,-10.7
JTS000000000000000QUL,2007,M10,2007 Oct,2926,235,8.7
JTS000000000000000QUL,2007,M11,2007 Nov,2784,-142,-4.9
JTS000000000000000QUL,2007,M12,2007 Dec,2773,-11,-0.4
JTS000000000000000QUL,2008,M01,2008 Jan,2847,74,2.7
JTS000000000000000QUL,2008,M02,2008 Feb,2881,34,1.2
JTS000000000000000QUL,2008,M03,2008 Mar,2661,-220,-7.6
JTS000000000000000QUL,2008,M04,2008 Apr,2837,176,6.6
JTS000000000000000QUL,2008,M05,2008 May,2607,-230,-8.1
JTS000000000000000QUL,2008,M06,2008 Jun,2595,-12,-0.5
JTS000000000000000QUL,2008,M07,2008 Jul,2489,-106,-4.1
JTS000000000000000QUL,2008,M08,2008 Aug,2445,-44,-1.8
JTS000000000000000QUL,2008,M09,2008 Sep,2468,23,0.9
JTS000000000000000QUL,2008,M10,2008 Oct,2347,-121,-4.9
JTS000000000000000QUL,2008,M11,2008 Nov,2157,-190,-8.1
JTS000000000000000QUL,2008,M12,2008 Dec,2084,-73,-3.4
JTS000000000000000QUL,2009,M01,2009 Jan,1976,-108,-5.2
JTS000000000000000QUL,2009,M02,2009 Feb,1952,-24,-1.2
JTS000000000000000QUL,2009,M03,2009 Mar,1834,-118,-6.0
JTS000000000000000QUL,2009,M04,2009 Apr,1712,-122,-6.7
JTS000000000000000QUL,2009,M05,2009 May,1683,-29,-1.7
JTS000000000000000QUL,2009,M06,2009 Jun,1685,2,0.1
JTS000000000000000QUL,2009,M07,2009 Jul,1685,0,0.0
JTS000000000000000QUL,2009,M08,2009 Aug,1555,-130,-7.7
JTS000000000000000QUL,2009,M09,2009 Sep,1627,72,4.6
JTS000000000000000QUL,2009,M10,2009 Oct,1660,33,2.0
JTS000000000000000QUL,2009,M11,2009 Nov,1810,150,9.0
JTS000000000000000QUL,2009,M12,2009 Dec,1766,-44,-2.4
JTS000000000000000QUL,2010,M01,2010 Jan,1742,-24,-1.4
JTS000000000000000QUL,2010,M02,2010 Feb,1844,102,5.9
JTS000000000000000QUL,2010,M03,2010 Mar,1856,12,0.7
JTS000000000000000QUL,2010,M04,2010 Apr,1897,41,2.2
JTS000000000000000QUL,2010,M05,2010 May,1813,-84,-4.4
JTS000000000000000QUL,2010,M06,2010 Jun,1911,98,5.4
JTS000000000000000QUL,2010,M07,2010 Jul,1785,-126,-6.6
JTS000000000000000QUL,2010,M08,2010 Aug,1842,57,3.2
JTS000000000000000QUL,2010,M09,2010 Sep,1895,53,2.9
JTS000000000000000QUL,2010,M10,2010 Oct,1846,-49,-2.6
JTS000000000000000QUL,2010,M11,2010 Nov,1887,41,2.2
JTS000000000000000QUL,2010,M12,2010 Dec,1977,90,4.8
JTS000000000000000QUL,2011,M01,2011 Jan,1832,-145,-7.3
JTS000000000000000QUL,2011,M02,2011 Feb,1958,126,6.9
JTS000000000000000QUL,2011,M03,2011 Mar,2033,75,3.8
JTS000000000000000QUL,2011,M04,2011 Apr,1882,-151,-7.4
JTS000000000000000QUL,2011,M05,2011 May,1965,83,4.4
JTS000000000000000QUL,2011,M06,2011 Jun,1923,-42,-2.1
JTS000000000000000QUL,2011,M07,2011 Jul,1986,63,3.3
JTS000000000000000QUL,2011,M08,2011 Aug,2031,45,2.3
