Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTS000000000000000TSL,2006,M01,2006 Jan,5060,-110,-2.1
JTS000000000000000TSL,2006,M02,2006 Feb,5232,172,3.4
JTS000000000000000TSL,2006,M03,2006 Mar,5242,10,0.2
JTS000000000000000TSL,2006,M04,2006 Apr,5055,-187,-3.6
JTS000000000000000TSL,2006,M05,2006 May,5428,373,7.4
JTS000000000000000TSL,2006,M06,2006 Jun,5271,-157,-2.9
JTS000000000000000TSL,2006,M07,2006 Jul,5336,65,1.2
JTS000000000000000TSL,2006,M08,2006 Aug,5199,-137,-2.6
JTS000000000000000TSL,2006,M09,2006 Sep,5100,-99,-1.9
JTS000000000000000TSL,2006,M10,2006 Oct,5290,190,3.7
JTS000000000000000TSL,2006,M11,2006 Nov,5349,59,1.1
JTS000000000000000TSL,2006,M12,2006 Dec,5138,-211,-3.9
JTS000000000000000TSL,2007,M01,2007 Jan,5263,125,2.4
JTS000000000000000TSL,2007,M02,2007 Feb,5152,-111,-2.1
JTS000000000000000TSL,2007,M03,2007 Mar,5236,84,1.6
JTS000000000000000TSL,2007,M04,2007 Apr,5278,42,0.8
JTS000000000000000TSL,2007,M05,2007 May,5303,25,0.5
JTS000000000000000TSL,2007,M06,2007 Jun,5108,-195,-3.7
JTS000000000000000TSL,2007,M07,2007 Jul,5225,117,2.3
JTS000000000000000TSL,2007,M08,2007 Aug,5382,157,3.0
JTS000000000000000TSL,2007,M09,2007 Sep,5197,-185,-3.4
JTS000000000000000TSL,2007,M10,2007 Oct,5252,55,1.1
JTS000000000000000TSL,2007,M11,2007 Nov,5118,-134,-2.6
JTS000000000000000TSL,2007,M12,2007 Dec,5045,-73,-1.4
JTS000000000000000TSL,2008,M01,2008 Jan,5149,104,2.1
JTS000000000000000TSL,2008,M02,2008 Feb,5219,70,1.4
JTS000000000000000TSL,2008,M03,2008 Mar,4940,-279,-5.3
JTS000000000000000TSL,2008,M04,2008 Apr,5167,227,4.6
JTS000000000000000TSL,2008,M05,2008 May,4852,-315,-6.1
JTS000000000000000TSL,2008,M06,2008 Jun,5061,209,4.3
JTS000000000000000TSL,2008,M07,2008 Jul,4845,-216,-4.3
