Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU810000000000000HIL,2006,M01,2006 Jan,201,70,53.4
JTU810000000000000HIL,2006,M02,2006 Feb,160,-41,-20.4
JTU810000000000000HIL,2006,M03,2006 Mar,191,31,19.4
JTU810000000000000HIL,2006,M04,2006 Apr,232,41,21.5
JTU810000000000000HIL,2006,M05,2006 May,198,-34,-14.7
JTU810000000000000HIL,2006,M06,2006 Jun,276,78,39.4
JTU810000000000000HIL,2006,M07,2006 Jul,225,-51,-18.5
JTU810000000000000HIL,2006,M08,2006 Aug,199,-26,-11.6
JTU810000000000000HIL,2006,M09,2006 Sep,204,5,2.5
JTU810000000000000HIL,2006,M10,2006 Oct,235,31,15.2
JTU810000000000000HIL,2006,M11,2006 Nov,136,-99,-42.1
JTU810000000000000HIL,2006,M12,2006 Dec,117,-19,-14.0
JTU810000000000000HIL,2007,M01,2007 Jan,194,77,65.8
JTU810000000000000HIL,2007,M02,2007 Feb,122,-72,-37.1
JTU810000000000000HIL,2007,M03,2007 Mar,183,61,50.0
JTU810000000000000HIL,2007,M04,2007 Apr,195,12,6.6
JTU810000000000000HIL,2007,M05,2007 May,195,0,0.0
JTU810000000000000HIL,2007,M06,2007 Jun,283,88,45.1
JTU810000000000000HIL,2007,M07,2007 Jul,252,-31,-11.0
JTU810000000000000HIL,2007,M08,2007 Aug,189,-63,-25.0
JTU810000000000000HIL,2007,M09,2007 Sep,212,23,12.2
JTU810000000000000HIL,2007,M10,2007 Oct,184,-28,-13.2
JTU810000000000000HIL,2007,M11,2007 Nov,137,-47,-25.5
JTU810000000000000HIL,2007,M12,2007 Dec,153,16,11.7
JTU810000000000000HIL,2008,M01,2008 Jan,178,25,16.3
JTU810000000000000HIL,2008,M02,2008 Feb,153,-25,-14.0
JTU810000000000000HIL,2008,M03,2008 Mar,176,23,15.0
JTU810000000000000HIL,2008,M04,2008 Apr,217,41,23.3
JTU810000000000000HIL,2008,M05,2008 May,245,28,12.9
JTU810000000000000HIL,2008,M06,2008 Jun,237,-8,-3.3
JTU810000000000000HIL,2008,M07,2008 Jul,228,-9,-3.8
JTU810000000000000HIL,2008,M08,2008 Aug,184,-44,-19.3
JTU810000000000000HIL,2008,M09,2008 Sep,187,3,1.6
JTU810000000000000HIL,2008,M10,2008 Oct,171,-16,-8.6
JTU810000000000000HIL,2008,M11,2008 Nov,78,-93,-54.4
JTU810000000000000HIL,2008,M12,2008 Dec,119,41,52.6
JTU810000000000000HIL,2009,M01,2009 Jan,176,57,47.9
JTU810000000000000HIL,2009,M02,2009 Feb,162,-14,-8.0
JTU810000000000000HIL,2009,M03,2009 Mar,148,-14,-8.6
JTU810000000000000HIL,2009,M04,2009 Apr,205,57,38.5
JTU810000000000000HIL,2009,M05,2009 May,187,-18,-8.8
JTU810000000000000HIL,2009,M06,2009 Jun,287,100,53.5
JTU810000000000000HIL,2009,M07,2009 Jul,212,-75,-26.1
JTU810000000000000HIL,2009,M08,2009 Aug,170,-42,-19.8
JTU810000000000000HIL,2009,M09,2009 Sep,191,21,12.4
JTU810000000000000HIL,2009,M10,2009 Oct,144,-47,-24.6
JTU810000000000000HIL,2009,M11,2009 Nov,112,-32,-22.2
JTU810000000000000HIL,2009,M12,2009 Dec,119,7,6.3
JTU810000000000000HIL,2010,M01,2010 Jan,156,37,31.1
JTU810000000000000HIL,2010,M02,2010 Feb,125,-31,-19.9
JTU810000000000000HIL,2010,M03,2010 Mar,147,22,17.6
JTU810000000000000HIL,2010,M04,2010 Apr,171,24,16.3
JTU810000000000000HIL,2010,M05,2010 May,208,37,21.6
JTU810000000000000HIL,2010,M06,2010 Jun,235,27,13.0
JTU810000000000000HIL,2010,M07,2010 Jul,186,-49,-20.9
JTU810000000000000HIL,2010,M08,2010 Aug,156,-30,-16.1
JTU810000000000000HIL,2010,M09,2010 Sep,161,5,3.2
JTU810000000000000HIL,2010,M10,2010 Oct,186,25,15.5
JTU810000000000000HIL,2010,M11,2010 Nov,125,-61,-32.8
JTU810000000000000HIL,2010,M12,2010 Dec,97,-28,-22.4
JTU810000000000000HIL,2011,M01,2011 Jan,162,65,67.0
JTU810000000000000HIL,2011,M02,2011 Feb,165,3,1.9
JTU810000000000000HIL,2011,M03,2011 Mar,140,-25,-15.2
JTU810000000000000HIL,2011,M04,2011 Apr,191,51,36.4
JTU810000000000000HIL,2011,M05,2011 May,210,19,9.9
JTU810000000000000HIL,2011,M06,2011 Jun,241,31,14.8
JTU810000000000000HIL,2011,M07,2011 Jul,254,13,5.4
JTU810000000000000HIL,2011,M08,2011 Aug,176,-78,-30.7
JTU810000000000000HIL,2011,M09,2011 Sep,221,45,25.6
JTU810000000000000HIL,2011,M10,2011 Oct,219,-2,-0.9
JTU810000000000000HIL,2011,M11,2011 Nov,149,-70,-32.0
JTU810000000000000HIL,2011,M12,2011 Dec,123,-26,-17.4
JTU810000000000000HIL,2012,M01,2012 Jan,185,62,50.4
JTU810000000000000HIL,2012,M02,2012 Feb,137,-48,-25.9
JTU810000000000000HIL,2012,M03,2012 Mar,158,21,15.3
JTU810000000000000HIL,2012,M04,2012 Apr,214,56,35.4
JTU810000000000000HIL,2012,M05,2012 May,250,36,16.8
JTU810000000000000HIL,2012,M06,2012 Jun,238,-12,-4.8
JTU810000000000000HIL,2012,M07,2012 Jul,213,-25,-10.5
JTU810000000000000HIL,2012,M08,2012 Aug,176,-37,-17.4
JTU810000000000000HIL,2012,M09,2012 Sep,197,21,11.9
JTU810000000000000HIL,2012,M10,2012 Oct,186,-11,-5.6
JTU810000000000000HIL,2012,M11,2012 Nov,167,-19,-10.2
JTU810000000000000HIL,2012,M12,2012 Dec,122,-45,-26.9
JTU810000000000000HIL,2013,M01,2013 Jan,181,59,48.4
JTU810000000000000HIL,2013,M02,2013 Feb,160,-21,-11.6
JTU810000000000000HIL,2013,M03,2013 Mar,191,31,19.4
JTU810000000000000HIL,2013,M04,2013 Apr,208,17,8.9
JTU810000000000000HIL,2013,M05,2013 May,272,64,30.8
JTU810000000000000HIL,2013,M06,2013 Jun,246,-26,-9.6
JTU810000000000000HIL,2013,M07,2013 Jul,221,-25,-10.2
JTU810000000000000HIL,2013,M08,2013 Aug,174,-47,-21.3
JTU810000000000000HIL,2013,M09,2013 Sep,183,9,5.2
JTU810000000000000HIL,2013,M10,2013 Oct,172,-11,-6.0
JTU810000000000000HIL,2013,M11,2013 Nov,136,-36,-20.9
JTU810000000000000HIL,2013,M12,2013 Dec,134,-2,-1.5
JTU810000000000000HIL,2014,M01,2014 Jan,197,63,47.0
JTU810000000000000HIL,2014,M02,2014 Feb,159,-38,-19.3
JTU810000000000000HIL,2014,M03,2014 Mar,149,-10,-6.3
JTU810000000000000HIL,2014,M04,2014 Apr,186,37,24.8
JTU810000000000000HIL,2014,M05,2014 May,253,67,36.0
JTU810000000000000HIL,2014,M06,2014 Jun,230,-23,-9.1
JTU810000000000000HIL,2014,M07,2014 Jul,236,6,2.6
JTU810000000000000HIL,2014,M08,2014 Aug,177,-59,-25.0
JTU810000000000000HIL,2014,M09,2014 Sep,178,1,0.6
JTU810000000000000HIL,2014,M10,2014 Oct,182,4,2.2
JTU810000000000000HIL,2014,M11,2014 Nov,155,-27,-14.8
JTU810000000000000HIL,2014,M12,2014 Dec,119,-36,-23.2
JTU810000000000000HIL,2015,M01,2015 Jan,189,70,58.8
JTU810000000000000HIL,2015,M02,2015 Feb,199,10,5.3
JTU810000000000000HIL,2015,M03,2015 Mar,180,-19,-9.5
JTU810000000000000HIL,2015,M04,2015 Apr,209,29,16.1
JTU810000000000000HIL,2015,M05,2015 May,268,59,28.2
JTU810000000000000HIL,2015,M06,2015 Jun,299,31,11.6
JTU810000000000000HIL,2015,M07,2015 Jul,264,-35,-11.7
JTU810000000000000HIL,2015,M08,2015 Aug,189,-75,-28.4
JTU810000000000000HIL,2015,M09,2015 Sep,220,31,16.4
JTU810000000000000HIL,2015,M10,2015 Oct,199,-21,-9.5
JTU810000000000000HIL,2015,M11,2015 Nov,149,-50,-25.1
JTU810000000000000HIL,2015,M12,2015 Dec,148,-1,-0.7
JTU810000000000000HIL,2016,M01,2016 Jan,180,32,21.6
JTU810000000000000HIL,2016,M02,2016 Feb,166,-14,-7.8
JTU810000000000000HIL,2016,M03,2016 Mar,197,31,18.7
JTU810000000000000HIL,2016,M04,2016 Apr,203,6,3.0
JTU810000000000000HIL,2016,M05,2016 May,233,30,14.8
JTU810000000000000HIL,2016,M06,2016 Jun,299,66,28.3
JTU810000000000000HIL,2016,M07,2016 Jul,204,-95,-31.8
JTU810000000000000HIL,2016,M08,2016 Aug,173,-31,-15.2
JTU810000000000000HIL,2016,M09,2016 Sep,190,17,9.8
JTU810000000000000HIL,2016,M10,2016 Oct,170,-20,-10.5
JTU810000000000000HIL,2016,M11,2016 Nov,171,1,0.6
JTU810000000000000HIL,2016,M12,2016 Dec,126,-45,-26.3
JTU810000000000000HIL,2017,M01,2017 Jan,247,121,96.0
JTU810000000000000HIL,2017,M02,2017 Feb,181,-66,-26.7
JTU810000000000000HIL,2017,M03,2017 Mar,181,0,0.0
JTU810000000000000HIL,2017,M04,2017 Apr,257,76,42.0
JTU810000000000000HIL,2017,M05,2017 May,281,24,9.3
JTU810000000000000HIL,2017,M06,2017 Jun,290,9,3.2
JTU810000000000000HIL,2017,M07,2017 Jul,282,-8,-2.8
JTU810000000000000HIL,2017,M08,2017 Aug,240,-42,-14.9
JTU810000000000000HIL,2017,M09,2017 Sep,187,-53,-22.1
JTU810000000000000HIL,2017,M10,2017 Oct,228,41,21.9
JTU810000000000000HIL,2017,M11,2017 Nov,159,-69,-30.3
JTU810000000000000HIL,2017,M12,2017 Dec,155,-4,-2.5
JTU810000000000000HIL,2018,M01,2018 Jan,209,54,34.8
JTU810000000000000HIL,2018,M02,2018 Feb,144,-65,-31.1
JTU810000000000000HIL,2018,M03,2018 Mar,188,44,30.6
