Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU810000000000000JOL,2006,M01,2006 Jan,103,17,19.8
JTU810000000000000JOL,2006,M02,2006 Feb,82,-21,-20.4
JTU810000000000000JOL,2006,M03,2006 Mar,195,113,137.8
JTU810000000000000JOL,2006,M04,2006 Apr,172,-23,-11.8
JTU810000000000000JOL,2006,M05,2006 May,183,11,6.4
JTU810000000000000JOL,2006,M06,2006 Jun,156,-27,-14.8
JTU810000000000000JOL,2006,M07,2006 Jul,184,28,17.9
JTU810000000000000JOL,2006,M08,2006 Aug,227,43,23.4
JTU810000000000000JOL,2006,M09,2006 Sep,199,-28,-12.3
JTU810000000000000JOL,2006,M10,2006 Oct,166,-33,-16.6
JTU810000000000000JOL,2006,M11,2006 Nov,150,-16,-9.6
JTU810000000000000JOL,2006,M12,2006 Dec,185,35,23.3
JTU810000000000000JOL,2007,M01,2007 Jan,186,1,0.5
JTU810000000000000JOL,2007,M02,2007 Feb,249,63,33.9
JTU810000000000000JOL,2007,M03,2007 Mar,160,-89,-35.7
JTU810000000000000JOL,2007,M04,2007 Apr,196,36,22.5
JTU810000000000000JOL,2007,M05,2007 May,178,-18,-9.2
JTU810000000000000JOL,2007,M06,2007 Jun,177,-1,-0.6
JTU810000000000000JOL,2007,M07,2007 Jul,167,-10,-5.6
JTU810000000000000JOL,2007,M08,2007 Aug,178,11,6.6
JTU810000000000000JOL,2007,M09,2007 Sep,165,-13,-7.3
JTU810000000000000JOL,2007,M10,2007 Oct,210,45,27.3
JTU810000000000000JOL,2007,M11,2007 Nov,161,-49,-23.3
JTU810000000000000JOL,2007,M12,2007 Dec,108,-53,-32.9
JTU810000000000000JOL,2008,M01,2008 Jan,191,83,76.9
JTU810000000000000JOL,2008,M02,2008 Feb,134,-57,-29.8
JTU810000000000000JOL,2008,M03,2008 Mar,138,4,3.0
JTU810000000000000JOL,2008,M04,2008 Apr,226,88,63.8
