Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU810000000000000TSL,2006,M01,2006 Jan,186,45,31.9
JTU810000000000000TSL,2006,M02,2006 Feb,156,-30,-16.1
JTU810000000000000TSL,2006,M03,2006 Mar,167,11,7.1
JTU810000000000000TSL,2006,M04,2006 Apr,209,42,25.1
JTU810000000000000TSL,2006,M05,2006 May,161,-48,-23.0
JTU810000000000000TSL,2006,M06,2006 Jun,218,57,35.4
JTU810000000000000TSL,2006,M07,2006 Jul,220,2,0.9
JTU810000000000000TSL,2006,M08,2006 Aug,276,56,25.5
JTU810000000000000TSL,2006,M09,2006 Sep,198,-78,-28.3
JTU810000000000000TSL,2006,M10,2006 Oct,231,33,16.7
JTU810000000000000TSL,2006,M11,2006 Nov,160,-71,-30.7
JTU810000000000000TSL,2006,M12,2006 Dec,126,-34,-21.3
JTU810000000000000TSL,2007,M01,2007 Jan,199,73,57.9
JTU810000000000000TSL,2007,M02,2007 Feb,114,-85,-42.7
JTU810000000000000TSL,2007,M03,2007 Mar,154,40,35.1
JTU810000000000000TSL,2007,M04,2007 Apr,170,16,10.4
JTU810000000000000TSL,2007,M05,2007 May,160,-10,-5.9
JTU810000000000000TSL,2007,M06,2007 Jun,215,55,34.4
JTU810000000000000TSL,2007,M07,2007 Jul,238,23,10.7
JTU810000000000000TSL,2007,M08,2007 Aug,275,37,15.5
JTU810000000000000TSL,2007,M09,2007 Sep,228,-47,-17.1
JTU810000000000000TSL,2007,M10,2007 Oct,185,-43,-18.9
JTU810000000000000TSL,2007,M11,2007 Nov,155,-30,-16.2
JTU810000000000000TSL,2007,M12,2007 Dec,167,12,7.7
JTU810000000000000TSL,2008,M01,2008 Jan,179,12,7.2
JTU810000000000000TSL,2008,M02,2008 Feb,140,-39,-21.8
JTU810000000000000TSL,2008,M03,2008 Mar,152,12,8.6
JTU810000000000000TSL,2008,M04,2008 Apr,196,44,28.9
JTU810000000000000TSL,2008,M05,2008 May,211,15,7.7
JTU810000000000000TSL,2008,M06,2008 Jun,194,-17,-8.1
JTU810000000000000TSL,2008,M07,2008 Jul,216,22,11.3
JTU810000000000000TSL,2008,M08,2008 Aug,275,59,27.3
JTU810000000000000TSL,2008,M09,2008 Sep,200,-75,-27.3
JTU810000000000000TSL,2008,M10,2008 Oct,174,-26,-13.0
JTU810000000000000TSL,2008,M11,2008 Nov,128,-46,-26.4
JTU810000000000000TSL,2008,M12,2008 Dec,163,35,27.3
JTU810000000000000TSL,2009,M01,2009 Jan,201,38,23.3
JTU810000000000000TSL,2009,M02,2009 Feb,169,-32,-15.9
JTU810000000000000TSL,2009,M03,2009 Mar,155,-14,-8.3
JTU810000000000000TSL,2009,M04,2009 Apr,195,40,25.8
JTU810000000000000TSL,2009,M05,2009 May,161,-34,-17.4
JTU810000000000000TSL,2009,M06,2009 Jun,217,56,34.8
JTU810000000000000TSL,2009,M07,2009 Jul,197,-20,-9.2
JTU810000000000000TSL,2009,M08,2009 Aug,257,60,30.5
JTU810000000000000TSL,2009,M09,2009 Sep,211,-46,-17.9
JTU810000000000000TSL,2009,M10,2009 Oct,173,-38,-18.0
JTU810000000000000TSL,2009,M11,2009 Nov,140,-33,-19.1
JTU810000000000000TSL,2009,M12,2009 Dec,145,5,3.6
JTU810000000000000TSL,2010,M01,2010 Jan,160,15,10.3
JTU810000000000000TSL,2010,M02,2010 Feb,124,-36,-22.5
JTU810000000000000TSL,2010,M03,2010 Mar,123,-1,-0.8
JTU810000000000000TSL,2010,M04,2010 Apr,147,24,19.5
JTU810000000000000TSL,2010,M05,2010 May,178,31,21.1
JTU810000000000000TSL,2010,M06,2010 Jun,196,18,10.1
JTU810000000000000TSL,2010,M07,2010 Jul,156,-40,-20.4
JTU810000000000000TSL,2010,M08,2010 Aug,231,75,48.1
JTU810000000000000TSL,2010,M09,2010 Sep,164,-67,-29.0
JTU810000000000000TSL,2010,M10,2010 Oct,172,8,4.9
JTU810000000000000TSL,2010,M11,2010 Nov,155,-17,-9.9
JTU810000000000000TSL,2010,M12,2010 Dec,124,-31,-20.0
JTU810000000000000TSL,2011,M01,2011 Jan,178,54,43.5
JTU810000000000000TSL,2011,M02,2011 Feb,148,-30,-16.9
JTU810000000000000TSL,2011,M03,2011 Mar,131,-17,-11.5
JTU810000000000000TSL,2011,M04,2011 Apr,160,29,22.1
JTU810000000000000TSL,2011,M05,2011 May,167,7,4.4
JTU810000000000000TSL,2011,M06,2011 Jun,178,11,6.6
JTU810000000000000TSL,2011,M07,2011 Jul,225,47,26.4
JTU810000000000000TSL,2011,M08,2011 Aug,239,14,6.2
JTU810000000000000TSL,2011,M09,2011 Sep,237,-2,-0.8
JTU810000000000000TSL,2011,M10,2011 Oct,228,-9,-3.8
JTU810000000000000TSL,2011,M11,2011 Nov,164,-64,-28.1
JTU810000000000000TSL,2011,M12,2011 Dec,141,-23,-14.0
JTU810000000000000TSL,2012,M01,2012 Jan,179,38,27.0
JTU810000000000000TSL,2012,M02,2012 Feb,130,-49,-27.4
JTU810000000000000TSL,2012,M03,2012 Mar,140,10,7.7
JTU810000000000000TSL,2012,M04,2012 Apr,195,55,39.3
JTU810000000000000TSL,2012,M05,2012 May,197,2,1.0
JTU810000000000000TSL,2012,M06,2012 Jun,173,-24,-12.2
JTU810000000000000TSL,2012,M07,2012 Jul,188,15,8.7
JTU810000000000000TSL,2012,M08,2012 Aug,267,79,42.0
JTU810000000000000TSL,2012,M09,2012 Sep,210,-57,-21.3
JTU810000000000000TSL,2012,M10,2012 Oct,189,-21,-10.0
