Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES8000000001,2006,M01,2006 Jan,5425,20,0.4
CES8000000001,2006,M02,2006 Feb,5426,1,0.0
CES8000000001,2006,M03,2006 Mar,5425,-1,0.0
CES8000000001,2006,M04,2006 Apr,5426,1,0.0
CES8000000001,2006,M05,2006 May,5433,7,0.1
CES8000000001,2006,M06,2006 Jun,5432,-1,0.0
CES8000000001,2006,M07,2006 Jul,5429,-3,-0.1
CES8000000001,2006,M08,2006 Aug,5432,3,0.1
CES8000000001,2006,M09,2006 Sep,5448,16,0.3
CES8000000001,2006,M10,2006 Oct,5454,6,0.1
CES8000000001,2006,M11,2006 Nov,5455,1,0.0
CES8000000001,2006,M12,2006 Dec,5466,11,0.2
CES8000000001,2007,M01,2007 Jan,5467,1,0.0
CES8000000001,2007,M02,2007 Feb,5474,7,0.1
CES8000000001,2007,M03,2007 Mar,5484,10,0.2
CES8000000001,2007,M04,2007 Apr,5491,7,0.1
CES8000000001,2007,M05,2007 May,5496,5,0.1
CES8000000001,2007,M06,2007 Jun,5499,3,0.1
CES8000000001,2007,M07,2007 Jul,5500,1,0.0
CES8000000001,2007,M08,2007 Aug,5496,-4,-0.1
CES8000000001,2007,M09,2007 Sep,5492,-4,-0.1
CES8000000001,2007,M10,2007 Oct,5494,2,0.0
CES8000000001,2007,M11,2007 Nov,5505,11,0.2
CES8000000001,2007,M12,2007 Dec,5516,11,0.2
CES8000000001,2008,M01,2008 Jan,5522,6,0.1
CES8000000001,2008,M02,2008 Feb,5533,11,0.2
CES8000000001,2008,M03,2008 Mar,5539,6,0.1
CES8000000001,2008,M04,2008 Apr,5540,1,0.0
CES8000000001,2008,M05,2008 May,5536,-4,-0.1
CES8000000001,2008,M06,2008 Jun,5525,-11,-0.2
CES8000000001,2008,M07,2008 Jul,5521,-4,-0.1
CES8000000001,2008,M08,2008 Aug,5513,-8,-0.1
CES8000000001,2008,M09,2008 Sep,5512,-1,0.0
CES8000000001,2008,M10,2008 Oct,5516,4,0.1
CES8000000001,2008,M11,2008 Nov,5476,-40,-0.7
CES8000000001,2008,M12,2008 Dec,5446,-30,-0.5
CES8000000001,2009,M01,2009 Jan,5428,-18,-0.3
CES8000000001,2009,M02,2009 Feb,5411,-17,-0.3
CES8000000001,2009,M03,2009 Mar,5383,-28,-0.5
CES8000000001,2009,M04,2009 Apr,5372,-11,-0.2
CES8000000001,2009,M05,2009 May,5369,-3,-0.1
CES8000000001,2009,M06,2009 Jun,5372,3,0.1
CES8000000001,2009,M07,2009 Jul,5368,-4,-0.1
CES8000000001,2009,M08,2009 Aug,5359,-9,-0.2
CES8000000001,2009,M09,2009 Sep,5353,-6,-0.1
CES8000000001,2009,M10,2009 Oct,5333,-20,-0.4
CES8000000001,2009,M11,2009 Nov,5324,-9,-0.2
CES8000000001,2009,M12,2009 Dec,5320,-4,-0.1
CES8000000001,2010,M01,2010 Jan,5323,3,0.1
CES8000000001,2010,M02,2010 Feb,5316,-7,-0.1
CES8000000001,2010,M03,2010 Mar,5329,13,0.2
