Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES6056132001,2006,M01,2006 Jan,2624.2,-9.3,-0.4
CES6056132001,2006,M02,2006 Feb,2631.9,7.7,0.3
CES6056132001,2006,M03,2006 Mar,2640.3,8.4,0.3
CES6056132001,2006,M04,2006 Apr,2636.0,-4.3,-0.2
CES6056132001,2006,M05,2006 May,2654.3,18.3,0.7
CES6056132001,2006,M06,2006 Jun,2648.7,-5.6,-0.2
CES6056132001,2006,M07,2006 Jul,2642.5,-6.2,-0.2
CES6056132001,2006,M08,2006 Aug,2651.4,8.9,0.3
CES6056132001,2006,M09,2006 Sep,2642.7,-8.7,-0.3
CES6056132001,2006,M10,2006 Oct,2630.3,-12.4,-0.5
CES6056132001,2006,M11,2006 Nov,2626.8,-3.5,-0.1
CES6056132001,2006,M12,2006 Dec,2637.5,10.7,0.4
CES6056132001,2007,M01,2007 Jan,2652.7,15.2,0.6
CES6056132001,2007,M02,2007 Feb,2642.9,-9.8,-0.4
CES6056132001,2007,M03,2007 Mar,2646.7,3.8,0.1
CES6056132001,2007,M04,2007 Apr,2629.6,-17.1,-0.6
CES6056132001,2007,M05,2007 May,2611.4,-18.2,-0.7
CES6056132001,2007,M06,2007 Jun,2604.3,-7.1,-0.3
CES6056132001,2007,M07,2007 Jul,2593.1,-11.2,-0.4
CES6056132001,2007,M08,2007 Aug,2586.7,-6.4,-0.2
CES6056132001,2007,M09,2007 Sep,2557.0,-29.7,-1.1
CES6056132001,2007,M10,2007 Oct,2568.0,11.0,0.4
CES6056132001,2007,M11,2007 Nov,2553.5,-14.5,-0.6
CES6056132001,2007,M12,2007 Dec,2541.9,-11.6,-0.5
CES6056132001,2008,M01,2008 Jan,2548.8,6.9,0.3
CES6056132001,2008,M02,2008 Feb,2505.9,-42.9,-1.7
CES6056132001,2008,M03,2008 Mar,2485.8,-20.1,-0.8
CES6056132001,2008,M04,2008 Apr,2463.2,-22.6,-0.9
CES6056132001,2008,M05,2008 May,2428.0,-35.2,-1.4
CES6056132001,2008,M06,2008 Jun,2403.1,-24.9,-1.0
CES6056132001,2008,M07,2008 Jul,2369.5,-33.6,-1.4
CES6056132001,2008,M08,2008 Aug,2338.8,-30.7,-1.3
CES6056132001,2008,M09,2008 Sep,2305.9,-32.9,-1.4
CES6056132001,2008,M10,2008 Oct,2231.2,-74.7,-3.2
CES6056132001,2008,M11,2008 Nov,2127.1,-104.1,-4.7
CES6056132001,2008,M12,2008 Dec,2050.5,-76.6,-3.6
CES6056132001,2009,M01,2009 Jan,1967.0,-83.5,-4.1
CES6056132001,2009,M02,2009 Feb,1898.3,-68.7,-3.5
CES6056132001,2009,M03,2009 Mar,1835.8,-62.5,-3.3
CES6056132001,2009,M04,2009 Apr,1778.1,-57.7,-3.1
CES6056132001,2009,M05,2009 May,1773.7,-4.4,-0.2
CES6056132001,2009,M06,2009 Jun,1753.8,-19.9,-1.1
CES6056132001,2009,M07,2009 Jul,1762.3,8.5,0.5
CES6056132001,2009,M08,2009 Aug,1758.7,-3.6,-0.2
CES6056132001,2009,M09,2009 Sep,1778.3,19.6,1.1
CES6056132001,2009,M10,2009 Oct,1811.2,32.9,1.9
CES6056132001,2009,M11,2009 Nov,1868.2,57.0,3.1
CES6056132001,2009,M12,2009 Dec,1905.5,37.3,2.0
CES6056132001,2010,M01,2010 Jan,1954.6,49.1,2.6
CES6056132001,2010,M02,2010 Feb,1965.5,10.9,0.6
CES6056132001,2010,M03,2010 Mar,1993.0,27.5,1.4
CES6056132001,2010,M04,2010 Apr,2021.7,28.7,1.4
CES6056132001,2010,M05,2010 May,2066.1,44.4,2.2
CES6056132001,2010,M06,2010 Jun,2093.8,27.7,1.3
CES6056132001,2010,M07,2010 Jul,2097.4,3.6,0.2
CES6056132001,2010,M08,2010 Aug,2118.0,20.6,1.0
CES6056132001,2010,M09,2010 Sep,2147.0,29.0,1.4
CES6056132001,2010,M10,2010 Oct,2180.5,33.5,1.6
CES6056132001,2010,M11,2010 Nov,2206.2,25.7,1.2
CES6056132001,2010,M12,2010 Dec,2259.2,53.0,2.4
