Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES6056132003,2006,M03,2006 Mar,13.29, N/A, N/A
CES6056132003,2006,M04,2006 Apr,13.33,0.04,0.3
CES6056132003,2006,M05,2006 May,13.40,0.07,0.5
CES6056132003,2006,M06,2006 Jun,13.46,0.06,0.4
CES6056132003,2006,M07,2006 Jul,13.64,0.18,1.3
CES6056132003,2006,M08,2006 Aug,13.77,0.13,1.0
CES6056132003,2006,M09,2006 Sep,13.84,0.07,0.5
CES6056132003,2006,M10,2006 Oct,13.89,0.05,0.4
CES6056132003,2006,M11,2006 Nov,13.83,-0.06,-0.4
CES6056132003,2006,M12,2006 Dec,13.91,0.08,0.6
CES6056132003,2007,M01,2007 Jan,14.24,0.33,2.4
CES6056132003,2007,M02,2007 Feb,14.52,0.28,2.0
CES6056132003,2007,M03,2007 Mar,14.42,-0.10,-0.7
CES6056132003,2007,M04,2007 Apr,14.40,-0.02,-0.1
CES6056132003,2007,M05,2007 May,14.65,0.25,1.7
CES6056132003,2007,M06,2007 Jun,14.86,0.21,1.4
CES6056132003,2007,M07,2007 Jul,14.95,0.09,0.6
CES6056132003,2007,M08,2007 Aug,14.97,0.02,0.1
CES6056132003,2007,M09,2007 Sep,14.89,-0.08,-0.5
CES6056132003,2007,M10,2007 Oct,14.87,-0.02,-0.1
CES6056132003,2007,M11,2007 Nov,14.81,-0.06,-0.4
CES6056132003,2007,M12,2007 Dec,14.77,-0.04,-0.3
CES6056132003,2008,M01,2008 Jan,14.74,-0.03,-0.2
CES6056132003,2008,M02,2008 Feb,14.77,0.03,0.2
CES6056132003,2008,M03,2008 Mar,14.83,0.06,0.4
CES6056132003,2008,M04,2008 Apr,14.89,0.06,0.4
CES6056132003,2008,M05,2008 May,14.98,0.09,0.6
CES6056132003,2008,M06,2008 Jun,14.99,0.01,0.1
CES6056132003,2008,M07,2008 Jul,15.00,0.01,0.1
CES6056132003,2008,M08,2008 Aug,15.17,0.17,1.1
CES6056132003,2008,M09,2008 Sep,14.92,-0.25,-1.6
CES6056132003,2008,M10,2008 Oct,15.51,0.59,4.0
CES6056132003,2008,M11,2008 Nov,15.61,0.10,0.6
CES6056132003,2008,M12,2008 Dec,15.78,0.17,1.1
CES6056132003,2009,M01,2009 Jan,15.42,-0.36,-2.3
CES6056132003,2009,M02,2009 Feb,15.89,0.47,3.0
CES6056132003,2009,M03,2009 Mar,15.86,-0.03,-0.2
CES6056132003,2009,M04,2009 Apr,15.83,-0.03,-0.2
CES6056132003,2009,M05,2009 May,15.69,-0.14,-0.9
CES6056132003,2009,M06,2009 Jun,15.52,-0.17,-1.1
