Label,Value
2006 Jan,135425
2006 Feb,135731
2006 Mar,136040
2006 Apr,136211
2006 May,136247
2006 Jun,136328
2006 Jul,136522
2006 Aug,136688
2006 Sep,136824
2006 Oct,136848
2006 Nov,137069
2006 Dec,137253
2007 Jan,137476
2007 Feb,137554
2007 Mar,137781
2007 Apr,137843
2007 May,137993
2007 Jun,138072
2007 Jul,138042
2007 Aug,138017
2007 Sep,138103
2007 Oct,138174
2007 Nov,138292
2007 Dec,138398
2008 Jan,138399
2008 Feb,138323
2008 Mar,138255
2008 Apr,138038
2008 May,137847
2008 Jun,137689
2008 Jul,137492
2008 Aug,137209
2008 Sep,136758
2008 Oct,136294
2008 Nov,135546
2008 Dec,134849
2009 Jan,134069
2009 Feb,133311
2009 Mar,132493
2009 Apr,131825
2009 May,131470
2009 Jun,131002
2009 Jul,130661
2009 Aug,130480
2009 Sep,130240
2009 Oct,130062
2009 Nov,130059
2009 Dec,129808
2010 Jan,129798
2010 Feb,129700
2010 Mar,129864
2010 Apr,130115
2010 May,130645
2010 Jun,130501
2010 Jul,130420
2010 Aug,130424
2010 Sep,130339
2010 Oct,130620
2010 Nov,130754
2010 Dec,130835
2011 Jan,130842
2011 Feb,131052
2011 Mar,131277
2011 Apr,131604
2011 May,131704
2011 Jun,131936
2011 Jul,131991
2011 Aug,132124
2011 Sep,132345
2011 Oct,132557
2011 Nov,132701
2011 Dec,132901
2012 Jan,133246
2012 Feb,133518
2012 Mar,133744
2012 Apr,133827
2012 May,133935
2012 Jun,134007
2012 Jul,134153
2012 Aug,134330
2012 Sep,134512
2012 Oct,134671
2012 Nov,134834
2012 Dec,135075
2013 Jan,135265
2013 Feb,135544
2013 Mar,135689
2013 Apr,135876
2013 May,136091
2013 Jun,136269
2013 Jul,136391
2013 Aug,136635
2013 Sep,136819
2013 Oct,137039
2013 Nov,137314
2013 Dec,137368
2014 Jan,137552
2014 Feb,137707
2014 Mar,137986
2014 Apr,138298
2014 May,138501
2014 Jun,138833
2014 Jul,139076
2014 Aug,139258
2014 Sep,139563
2014 Oct,139805
2014 Nov,140089
2014 Dec,140366
2015 Jan,140562
2015 Feb,140829
2015 Mar,140924
2015 Apr,141202
2015 May,141540
2015 Jun,141695
2015 Jul,141989
2015 Aug,142130
2015 Sep,142265
2015 Oct,142585
2015 Nov,142810
2015 Dec,143083
2016 Jan,143198
2016 Feb,143410
2016 Mar,143666
2016 Apr,143856
2016 May,143901
2016 Jun,144152
2016 Jul,144515
2016 Aug,144664
2016 Sep,144961
2016 Oct,145069
2016 Nov,145189
2016 Dec,145408
2017 Jan,145639
2017 Feb,145845
2017 Mar,145975
2017 Apr,146172
2017 May,146389
2017 Jun,146588
2017 Jul,146772
2017 Aug,146907
2017 Sep,146999
2017 Oct,147147
2017 Nov,147377
2017 Dec,147521
2018 Jan,147670
2018 Feb,148058
2018 Mar,148281
2018 Apr,148426
2018 May,148755
2018 Jun,148966
2018 Jul,149022
2018 Aug,149272
2018 Sep,149361
2018 Oct,149526
2018 Nov,149622
2018 Dec,149805
2019 Jan,150114
2019 Feb,150092
2019 Mar,150320
2019 Apr,150563
2019 May,150630
2019 Jun,150797
2019 Jul,150879
2019 Aug,151111
2019 Sep,151318
2019 Oct,151447
2019 Nov,151662
2019 Dec,151764
2020 Jan,152098
2020 Feb,152371
2020 Mar,150944
2020 Apr,130430
2020 May,133055
2020 Jun,137620
2020 Jul,139064
2020 Aug,140799
2020 Sep,141760
2020 Oct,142479
2020 Nov,142743
2020 Dec,142475
2021 Jan,142969
2021 Feb,143544
2021 Mar,144328
2021 Apr,144614
2021 May,145096
2021 Jun,145789
2021 Jul,146558
2021 Aug,147221
2021 Sep,147778
2021 Oct,148559
2021 Nov,149173
2021 Dec,149742
2022 Jan,150106
2022 Feb,151010
2022 Mar,151424
2022 Apr,151678
2022 May,152042
2022 Jun,152412
2022 Jul,152980
2022 Aug,153332
2022 Sep,153682
2022 Oct,154006
2022 Nov,154296
2022 Dec,154535
2023 Jan,155007
2023 Feb,155255
2023 Mar,155472
2023 Apr,155689
2023 May,155970
2023 Jun,156155
2023 Jul,156342
