Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU400000000000000HIL,2006,M01,2006 Jan,1014,54,5.6
JTU400000000000000HIL,2006,M02,2006 Feb,926,-88,-8.7
JTU400000000000000HIL,2006,M03,2006 Mar,1082,156,16.8
JTU400000000000000HIL,2006,M04,2006 Apr,1204,122,11.3
JTU400000000000000HIL,2006,M05,2006 May,1206,2,0.2
JTU400000000000000HIL,2006,M06,2006 Jun,1256,50,4.1
JTU400000000000000HIL,2006,M07,2006 Jul,1189,-67,-5.3
JTU400000000000000HIL,2006,M08,2006 Aug,1273,84,7.1
JTU400000000000000HIL,2006,M09,2006 Sep,1204,-69,-5.4
JTU400000000000000HIL,2006,M10,2006 Oct,1328,124,10.3
JTU400000000000000HIL,2006,M11,2006 Nov,1309,-19,-1.4
JTU400000000000000HIL,2006,M12,2006 Dec,873,-436,-33.3
JTU400000000000000HIL,2007,M01,2007 Jan,1017,144,16.5
JTU400000000000000HIL,2007,M02,2007 Feb,872,-145,-14.3
JTU400000000000000HIL,2007,M03,2007 Mar,1126,254,29.1
JTU400000000000000HIL,2007,M04,2007 Apr,1183,57,5.1
JTU400000000000000HIL,2007,M05,2007 May,1207,24,2.0
JTU400000000000000HIL,2007,M06,2007 Jun,1131,-76,-6.3
JTU400000000000000HIL,2007,M07,2007 Jul,1112,-19,-1.7
JTU400000000000000HIL,2007,M08,2007 Aug,1156,44,4.0
JTU400000000000000HIL,2007,M09,2007 Sep,1200,44,3.8
JTU400000000000000HIL,2007,M10,2007 Oct,1330,130,10.8
JTU400000000000000HIL,2007,M11,2007 Nov,1299,-31,-2.3
JTU400000000000000HIL,2007,M12,2007 Dec,879,-420,-32.3
JTU400000000000000HIL,2008,M01,2008 Jan,926,47,5.3
JTU400000000000000HIL,2008,M02,2008 Feb,806,-120,-13.0
JTU400000000000000HIL,2008,M03,2008 Mar,988,182,22.6
JTU400000000000000HIL,2008,M04,2008 Apr,1070,82,8.3
JTU400000000000000HIL,2008,M05,2008 May,971,-99,-9.3
JTU400000000000000HIL,2008,M06,2008 Jun,1097,126,13.0
JTU400000000000000HIL,2008,M07,2008 Jul,1039,-58,-5.3
JTU400000000000000HIL,2008,M08,2008 Aug,1059,20,1.9
JTU400000000000000HIL,2008,M09,2008 Sep,993,-66,-6.2
JTU400000000000000HIL,2008,M10,2008 Oct,1094,101,10.2
JTU400000000000000HIL,2008,M11,2008 Nov,957,-137,-12.5
JTU400000000000000HIL,2008,M12,2008 Dec,699,-258,-27.0
JTU400000000000000HIL,2009,M01,2009 Jan,727,28,4.0
JTU400000000000000HIL,2009,M02,2009 Feb,600,-127,-17.5
JTU400000000000000HIL,2009,M03,2009 Mar,775,175,29.2
JTU400000000000000HIL,2009,M04,2009 Apr,854,79,10.2
JTU400000000000000HIL,2009,M05,2009 May,843,-11,-1.3
JTU400000000000000HIL,2009,M06,2009 Jun,751,-92,-10.9
JTU400000000000000HIL,2009,M07,2009 Jul,772,21,2.8
JTU400000000000000HIL,2009,M08,2009 Aug,807,35,4.5
JTU400000000000000HIL,2009,M09,2009 Sep,896,89,11.0
JTU400000000000000HIL,2009,M10,2009 Oct,845,-51,-5.7
JTU400000000000000HIL,2009,M11,2009 Nov,932,87,10.3
JTU400000000000000HIL,2009,M12,2009 Dec,623,-309,-33.2
JTU400000000000000HIL,2010,M01,2010 Jan,685,62,10.0
JTU400000000000000HIL,2010,M02,2010 Feb,599,-86,-12.6
JTU400000000000000HIL,2010,M03,2010 Mar,886,287,47.9
JTU400000000000000HIL,2010,M04,2010 Apr,856,-30,-3.4
JTU400000000000000HIL,2010,M05,2010 May,841,-15,-1.8
JTU400000000000000HIL,2010,M06,2010 Jun,880,39,4.6
JTU400000000000000HIL,2010,M07,2010 Jul,883,3,0.3
JTU400000000000000HIL,2010,M08,2010 Aug,812,-71,-8.0
JTU400000000000000HIL,2010,M09,2010 Sep,885,73,9.0
JTU400000000000000HIL,2010,M10,2010 Oct,960,75,8.5
JTU400000000000000HIL,2010,M11,2010 Nov,974,14,1.5
JTU400000000000000HIL,2010,M12,2010 Dec,647,-327,-33.6
JTU400000000000000HIL,2011,M01,2011 Jan,718,71,11.0
JTU400000000000000HIL,2011,M02,2011 Feb,689,-29,-4.0
JTU400000000000000HIL,2011,M03,2011 Mar,859,170,24.7
JTU400000000000000HIL,2011,M04,2011 Apr,913,54,6.3
JTU400000000000000HIL,2011,M05,2011 May,900,-13,-1.4
JTU400000000000000HIL,2011,M06,2011 Jun,903,3,0.3
JTU400000000000000HIL,2011,M07,2011 Jul,882,-21,-2.3
JTU400000000000000HIL,2011,M08,2011 Aug,864,-18,-2.0
JTU400000000000000HIL,2011,M09,2011 Sep,893,29,3.4
JTU400000000000000HIL,2011,M10,2011 Oct,998,105,11.8
JTU400000000000000HIL,2011,M11,2011 Nov,1012,14,1.4
JTU400000000000000HIL,2011,M12,2011 Dec,667,-345,-34.1
JTU400000000000000HIL,2012,M01,2012 Jan,762,95,14.2
JTU400000000000000HIL,2012,M02,2012 Feb,655,-107,-14.0
JTU400000000000000HIL,2012,M03,2012 Mar,859,204,31.1
JTU400000000000000HIL,2012,M04,2012 Apr,932,73,8.5
JTU400000000000000HIL,2012,M05,2012 May,942,10,1.1
JTU400000000000000HIL,2012,M06,2012 Jun,903,-39,-4.1
JTU400000000000000HIL,2012,M07,2012 Jul,886,-17,-1.9
JTU400000000000000HIL,2012,M08,2012 Aug,956,70,7.9
JTU400000000000000HIL,2012,M09,2012 Sep,908,-48,-5.0
JTU400000000000000HIL,2012,M10,2012 Oct,1076,168,18.5
JTU400000000000000HIL,2012,M11,2012 Nov,1096,20,1.9
JTU400000000000000HIL,2012,M12,2012 Dec,724,-372,-33.9
JTU400000000000000HIL,2013,M01,2013 Jan,778,54,7.5
