Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU400000000000000JOL,2006,M01,2006 Jan,697,131,23.1
JTU400000000000000JOL,2006,M02,2006 Feb,665,-32,-4.6
JTU400000000000000JOL,2006,M03,2006 Mar,876,211,31.7
JTU400000000000000JOL,2006,M04,2006 Apr,850,-26,-3.0
JTU400000000000000JOL,2006,M05,2006 May,805,-45,-5.3
JTU400000000000000JOL,2006,M06,2006 Jun,783,-22,-2.7
JTU400000000000000JOL,2006,M07,2006 Jul,754,-29,-3.7
JTU400000000000000JOL,2006,M08,2006 Aug,829,75,9.9
JTU400000000000000JOL,2006,M09,2006 Sep,939,110,13.3
JTU400000000000000JOL,2006,M10,2006 Oct,948,9,1.0
JTU400000000000000JOL,2006,M11,2006 Nov,783,-165,-17.4
JTU400000000000000JOL,2006,M12,2006 Dec,718,-65,-8.3
JTU400000000000000JOL,2007,M01,2007 Jan,874,156,21.7
JTU400000000000000JOL,2007,M02,2007 Feb,704,-170,-19.5
JTU400000000000000JOL,2007,M03,2007 Mar,811,107,15.2
JTU400000000000000JOL,2007,M04,2007 Apr,907,96,11.8
JTU400000000000000JOL,2007,M05,2007 May,722,-185,-20.4
JTU400000000000000JOL,2007,M06,2007 Jun,782,60,8.3
JTU400000000000000JOL,2007,M07,2007 Jul,867,85,10.9
JTU400000000000000JOL,2007,M08,2007 Aug,860,-7,-0.8
JTU400000000000000JOL,2007,M09,2007 Sep,871,11,1.3
JTU400000000000000JOL,2007,M10,2007 Oct,880,9,1.0
JTU400000000000000JOL,2007,M11,2007 Nov,768,-112,-12.7
JTU400000000000000JOL,2007,M12,2007 Dec,580,-188,-24.5
JTU400000000000000JOL,2008,M01,2008 Jan,769,189,32.6
JTU400000000000000JOL,2008,M02,2008 Feb,586,-183,-23.8
JTU400000000000000JOL,2008,M03,2008 Mar,601,15,2.6
JTU400000000000000JOL,2008,M04,2008 Apr,674,73,12.1
JTU400000000000000JOL,2008,M05,2008 May,695,21,3.1
JTU400000000000000JOL,2008,M06,2008 Jun,583,-112,-16.1
JTU400000000000000JOL,2008,M07,2008 Jul,680,97,16.6
JTU400000000000000JOL,2008,M08,2008 Aug,718,38,5.6
JTU400000000000000JOL,2008,M09,2008 Sep,542,-176,-24.5
JTU400000000000000JOL,2008,M10,2008 Oct,752,210,38.7
JTU400000000000000JOL,2008,M11,2008 Nov,574,-178,-23.7
JTU400000000000000JOL,2008,M12,2008 Dec,404,-170,-29.6
JTU400000000000000JOL,2009,M01,2009 Jan,498,94,23.3
JTU400000000000000JOL,2009,M02,2009 Feb,386,-112,-22.5
JTU400000000000000JOL,2009,M03,2009 Mar,401,15,3.9
JTU400000000000000JOL,2009,M04,2009 Apr,350,-51,-12.7
JTU400000000000000JOL,2009,M05,2009 May,542,192,54.9
JTU400000000000000JOL,2009,M06,2009 Jun,429,-113,-20.8
JTU400000000000000JOL,2009,M07,2009 Jul,348,-81,-18.9
JTU400000000000000JOL,2009,M08,2009 Aug,480,132,37.9
JTU400000000000000JOL,2009,M09,2009 Sep,442,-38,-7.9
JTU400000000000000JOL,2009,M10,2009 Oct,446,4,0.9
JTU400000000000000JOL,2009,M11,2009 Nov,352,-94,-21.1
JTU400000000000000JOL,2009,M12,2009 Dec,291,-61,-17.3
JTU400000000000000JOL,2010,M01,2010 Jan,440,149,51.2
JTU400000000000000JOL,2010,M02,2010 Feb,404,-36,-8.2
JTU400000000000000JOL,2010,M03,2010 Mar,458,54,13.4
JTU400000000000000JOL,2010,M04,2010 Apr,453,-5,-1.1
JTU400000000000000JOL,2010,M05,2010 May,483,30,6.6
JTU400000000000000JOL,2010,M06,2010 Jun,452,-31,-6.4
JTU400000000000000JOL,2010,M07,2010 Jul,526,74,16.4
JTU400000000000000JOL,2010,M08,2010 Aug,504,-22,-4.2
JTU400000000000000JOL,2010,M09,2010 Sep,514,10,2.0
JTU400000000000000JOL,2010,M10,2010 Oct,627,113,22.0
JTU400000000000000JOL,2010,M11,2010 Nov,470,-157,-25.0
JTU400000000000000JOL,2010,M12,2010 Dec,381,-89,-18.9
JTU400000000000000JOL,2011,M01,2011 Jan,530,149,39.1
JTU400000000000000JOL,2011,M02,2011 Feb,581,51,9.6
JTU400000000000000JOL,2011,M03,2011 Mar,533,-48,-8.3
JTU400000000000000JOL,2011,M04,2011 Apr,636,103,19.3
JTU400000000000000JOL,2011,M05,2011 May,637,1,0.2
JTU400000000000000JOL,2011,M06,2011 Jun,643,6,0.9
JTU400000000000000JOL,2011,M07,2011 Jul,718,75,11.7
JTU400000000000000JOL,2011,M08,2011 Aug,622,-96,-13.4
JTU400000000000000JOL,2011,M09,2011 Sep,733,111,17.8
JTU400000000000000JOL,2011,M10,2011 Oct,816,83,11.3
JTU400000000000000JOL,2011,M11,2011 Nov,706,-110,-13.5
JTU400000000000000JOL,2011,M12,2011 Dec,533,-173,-24.5
JTU400000000000000JOL,2012,M01,2012 Jan,622,89,16.7
