Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
JTU400000000000000TSL,2006,M01,2006 Jan,1402,87,6.6
JTU400000000000000TSL,2006,M02,2006 Feb,994,-408,-29.1
JTU400000000000000TSL,2006,M03,2006 Mar,955,-39,-3.9
JTU400000000000000TSL,2006,M04,2006 Apr,1104,149,15.6
JTU400000000000000TSL,2006,M05,2006 May,1125,21,1.9
JTU400000000000000TSL,2006,M06,2006 Jun,1101,-24,-2.1
JTU400000000000000TSL,2006,M07,2006 Jul,1164,63,5.7
JTU400000000000000TSL,2006,M08,2006 Aug,1311,147,12.6
JTU400000000000000TSL,2006,M09,2006 Sep,1092,-219,-16.7
JTU400000000000000TSL,2006,M10,2006 Oct,1092,0,0.0
JTU400000000000000TSL,2006,M11,2006 Nov,1021,-71,-6.5
JTU400000000000000TSL,2006,M12,2006 Dec,1158,137,13.4
JTU400000000000000TSL,2007,M01,2007 Jan,1408,250,21.6
JTU400000000000000TSL,2007,M02,2007 Feb,919,-489,-34.7
JTU400000000000000TSL,2007,M03,2007 Mar,952,33,3.6
JTU400000000000000TSL,2007,M04,2007 Apr,1070,118,12.4
JTU400000000000000TSL,2007,M05,2007 May,1094,24,2.2
JTU400000000000000TSL,2007,M06,2007 Jun,1033,-61,-5.6
JTU400000000000000TSL,2007,M07,2007 Jul,1099,66,6.4
JTU400000000000000TSL,2007,M08,2007 Aug,1211,112,10.2
JTU400000000000000TSL,2007,M09,2007 Sep,1087,-124,-10.2
JTU400000000000000TSL,2007,M10,2007 Oct,1127,40,3.7
JTU400000000000000TSL,2007,M11,2007 Nov,994,-133,-11.8
JTU400000000000000TSL,2007,M12,2007 Dec,1224,230,23.1
JTU400000000000000TSL,2008,M01,2008 Jan,1380,156,12.7
JTU400000000000000TSL,2008,M02,2008 Feb,928,-452,-32.8
JTU400000000000000TSL,2008,M03,2008 Mar,874,-54,-5.8
JTU400000000000000TSL,2008,M04,2008 Apr,1059,185,21.2
JTU400000000000000TSL,2008,M05,2008 May,980,-79,-7.5
JTU400000000000000TSL,2008,M06,2008 Jun,1068,88,9.0
JTU400000000000000TSL,2008,M07,2008 Jul,1104,36,3.4
JTU400000000000000TSL,2008,M08,2008 Aug,1214,110,10.0
JTU400000000000000TSL,2008,M09,2008 Sep,1033,-181,-14.9
JTU400000000000000TSL,2008,M10,2008 Oct,1057,24,2.3
JTU400000000000000TSL,2008,M11,2008 Nov,932,-125,-11.8
JTU400000000000000TSL,2008,M12,2008 Dec,1172,240,25.8
JTU400000000000000TSL,2009,M01,2009 Jan,1279,107,9.1
JTU400000000000000TSL,2009,M02,2009 Feb,785,-494,-38.6
JTU400000000000000TSL,2009,M03,2009 Mar,805,20,2.5
JTU400000000000000TSL,2009,M04,2009 Apr,914,109,13.5
JTU400000000000000TSL,2009,M05,2009 May,822,-92,-10.1
JTU400000000000000TSL,2009,M06,2009 Jun,756,-66,-8.0
JTU400000000000000TSL,2009,M07,2009 Jul,884,128,16.9
JTU400000000000000TSL,2009,M08,2009 Aug,887,3,0.3
JTU400000000000000TSL,2009,M09,2009 Sep,882,-5,-0.6
JTU400000000000000TSL,2009,M10,2009 Oct,820,-62,-7.0
JTU400000000000000TSL,2009,M11,2009 Nov,747,-73,-8.9
JTU400000000000000TSL,2009,M12,2009 Dec,1012,265,35.5
JTU400000000000000TSL,2010,M01,2010 Jan,994,-18,-1.8
JTU400000000000000TSL,2010,M02,2010 Feb,673,-321,-32.3
