Series ID,Year,Period,Label,Value,1-Month Net Change,1-Month % Change
CES4000000001,2006,M01,2006 Jan,26092,37,0.1
CES4000000001,2006,M02,2006 Feb,26128,36,0.1
CES4000000001,2006,M03,2006 Mar,26169,41,0.2
CES4000000001,2006,M04,2006 Apr,26153,-16,-0.1
CES4000000001,2006,M05,2006 May,26149,-4,0.0
CES4000000001,2006,M06,2006 Jun,26168,19,0.1
CES4000000001,2006,M07,2006 Jul,26191,23,0.1
CES4000000001,2006,M08,2006 Aug,26208,17,0.1
CES4000000001,2006,M09,2006 Sep,26242,34,0.1
CES4000000001,2006,M10,2006 Oct,26268,26,0.1
CES4000000001,2006,M11,2006 Nov,26321,53,0.2
CES4000000001,2006,M12,2006 Dec,26372,51,0.2
CES4000000001,2007,M01,2007 Jan,26418,46,0.2
CES4000000001,2007,M02,2007 Feb,26466,48,0.2
CES4000000001,2007,M03,2007 Mar,26541,75,0.3
CES4000000001,2007,M04,2007 Apr,26527,-14,-0.1
CES4000000001,2007,M05,2007 May,26560,33,0.1
CES4000000001,2007,M06,2007 Jun,26549,-11,0.0
CES4000000001,2007,M07,2007 Jul,26560,11,0.0
CES4000000001,2007,M08,2007 Aug,26558,-2,0.0
CES4000000001,2007,M09,2007 Sep,26587,29,0.1
CES4000000001,2007,M10,2007 Oct,26585,-2,0.0
CES4000000001,2007,M11,2007 Nov,26643,58,0.2
CES4000000001,2007,M12,2007 Dec,26640,-3,0.0
CES4000000001,2008,M01,2008 Jan,26630,-10,0.0
CES4000000001,2008,M02,2008 Feb,26583,-47,-0.2
CES4000000001,2008,M03,2008 Mar,26581,-2,0.0
CES4000000001,2008,M04,2008 Apr,26463,-118,-0.4
CES4000000001,2008,M05,2008 May,26384,-79,-0.3
CES4000000001,2008,M06,2008 Jun,26323,-61,-0.2
CES4000000001,2008,M07,2008 Jul,26263,-60,-0.2
CES4000000001,2008,M08,2008 Aug,26166,-97,-0.4
CES4000000001,2008,M09,2008 Sep,26048,-118,-0.5
CES4000000001,2008,M10,2008 Oct,25918,-130,-0.5
CES4000000001,2008,M11,2008 Nov,25731,-187,-0.7
CES4000000001,2008,M12,2008 Dec,25551,-180,-0.7
CES4000000001,2009,M01,2009 Jan,25415,-136,-0.5
CES4000000001,2009,M02,2009 Feb,25268,-147,-0.6
CES4000000001,2009,M03,2009 Mar,25123,-145,-0.6
CES4000000001,2009,M04,2009 Apr,24942,-181,-0.7
CES4000000001,2009,M05,2009 May,24893,-49,-0.2
CES4000000001,2009,M06,2009 Jun,24835,-58,-0.2
CES4000000001,2009,M07,2009 Jul,24734,-101,-0.4
CES4000000001,2009,M08,2009 Aug,24697,-37,-0.1
CES4000000001,2009,M09,2009 Sep,24643,-54,-0.2
CES4000000001,2009,M10,2009 Oct,24537,-106,-0.4
CES4000000001,2009,M11,2009 Nov,24519,-18,-0.1
CES4000000001,2009,M12,2009 Dec,24409,-110,-0.4
CES4000000001,2010,M01,2010 Jan,24476,67,0.3
CES4000000001,2010,M02,2010 Feb,24461,-15,-0.1
CES4000000001,2010,M03,2010 Mar,24521,60,0.2
CES4000000001,2010,M04,2010 Apr,24507,-14,-0.1
CES4000000001,2010,M05,2010 May,24526,19,0.1
CES4000000001,2010,M06,2010 Jun,24549,23,0.1
CES4000000001,2010,M07,2010 Jul,24574,25,0.1
CES4000000001,2010,M08,2010 Aug,24577,3,0.0
CES4000000001,2010,M09,2010 Sep,24623,46,0.2
CES4000000001,2010,M10,2010 Oct,24675,52,0.2
CES4000000001,2010,M11,2010 Nov,24664,-11,0.0
CES4000000001,2010,M12,2010 Dec,24686,22,0.1
CES4000000001,2011,M01,2011 Jan,24721,35,0.1
CES4000000001,2011,M02,2011 Feb,24787,66,0.3
CES4000000001,2011,M03,2011 Mar,24845,58,0.2
CES4000000001,2011,M04,2011 Apr,24934,89,0.4
CES4000000001,2011,M05,2011 May,24947,13,0.1
CES4000000001,2011,M06,2011 Jun,25007,60,0.2
CES4000000001,2011,M07,2011 Jul,25059,52,0.2
CES4000000001,2011,M08,2011 Aug,25070,11,0.0
CES4000000001,2011,M09,2011 Sep,25105,35,0.1
CES4000000001,2011,M10,2011 Oct,25133,28,0.1
CES4000000001,2011,M11,2011 Nov,25151,18,0.1
CES4000000001,2011,M12,2011 Dec,25162,11,0.0
CES4000000001,2012,M01,2012 Jan,25267,105,0.4
CES4000000001,2012,M02,2012 Feb,25283,16,0.1
CES4000000001,2012,M03,2012 Mar,25326,43,0.2
CES4000000001,2012,M04,2012 Apr,25339,13,0.1
CES4000000001,2012,M05,2012 May,25378,39,0.2
CES4000000001,2012,M06,2012 Jun,25368,-10,0.0
CES4000000001,2012,M07,2012 Jul,25379,11,0.0
CES4000000001,2012,M08,2012 Aug,25404,25,0.1
CES4000000001,2012,M09,2012 Sep,25441,37,0.1
CES4000000001,2012,M10,2012 Oct,25477,36,0.1
