"Label","Value"
"Jan 2006",265
"Feb 2006",307
"Mar 2006",309
"Apr 2006",169
"May 2006",37
"Jun 2006",81
"Jul 2006",194
"Aug 2006",166
"Sep 2006",137
"Oct 2006",24
"Nov 2006",219
"Dec 2006",183
"Jan 2007",224
"Feb 2007",81
"Mar 2007",226
"Apr 2007",60
"May 2007",151
"Jun 2007",79
"Jul 2007",-30
"Aug 2007",-25
"Sep 2007",86
"Oct 2007",72
"Nov 2007",116
"Dec 2007",105
"Jan 2008",1
"Feb 2008",-71
"Mar 2008",-70
"Apr 2008",-219
"May 2008",-190
"Jun 2008",-158
"Jul 2008",-197
"Aug 2008",-283
"Sep 2008",-450
"Oct 2008",-465
"Nov 2008",-748
"Dec 2008",-698
"Jan 2009",-782
"Feb 2009",-752
"Mar 2009",-820
"Apr 2009",-669
"May 2009",-355
"Jun 2009",-467
"Jul 2009",-342
"Aug 2009",-181
"Sep 2009",-239
"Oct 2009",-180
"Nov 2009",-2
"Dec 2009",-252
"Jan 2010",-12
"Feb 2010",-93
"Mar 2010",163
"Apr 2010",250
"May 2010",530
"Jun 2010",-144
"Jul 2010",-81
"Aug 2010",3
"Sep 2010",-83
"Oct 2010",280
"Nov 2010",134
"Dec 2010",82
"Jan 2011",3
"Feb 2011",215
"Mar 2011",224
"Apr 2011",326
"May 2011",100
"Jun 2011",232
"Jul 2011",56
"Aug 2011",131
"Sep 2011",223
"Oct 2011",211
"Nov 2011",144
"Dec 2011",201
"Jan 2012",341
"Feb 2012",278
"Mar 2012",224
"Apr 2012",83
"May 2012",107
"Jun 2012",73
"Jul 2012",145
"Aug 2012",176
"Sep 2012",183
"Oct 2012",160
"Nov 2012",159
"Dec 2012",243
"Jan 2013",189
"Feb 2013",285
"Mar 2013",142
"Apr 2013",186
"May 2013",214
"Jun 2013",179
"Jul 2013",122
"Aug 2013",243
"Sep 2013",185
"Oct 2013",220
"Nov 2013",273
"Dec 2013",55
"Jan 2014",184
"Feb 2014",159
"Mar 2014",277
"Apr 2014",311
"May 2014",202
"Jun 2014",333
"Jul 2014",243
"Aug 2014",181
"Sep 2014",307
"Oct 2014",240
"Nov 2014",284
"Dec 2014",278
"Jan 2015",196
"Feb 2015",269
"Mar 2015",94
"Apr 2015",277
"May 2015",337
"Jun 2015",156
"Jul 2015",294
"Aug 2015",141
"Sep 2015",135
"Oct 2015",319
"Nov 2015",226
"Dec 2015",273
"Jan 2016",113
"Feb 2016",215
"Mar 2016",255
"Apr 2016",190
"May 2016",45
"Jun 2016",251
"Jul 2016",363
"Aug 2016",149
"Sep 2016",297
"Oct 2016",108
"Nov 2016",119
"Dec 2016",222
"Jan 2017",226
"Feb 2017",212
"Mar 2017",128
"Apr 2017",197
"May 2017",216
"Jun 2017",199
"Jul 2017",184
"Aug 2017",135
"Sep 2017",92
"Oct 2017",147
"Nov 2017",229
"Dec 2017",146
"Jan 2018",146
"Feb 2018",387
"Mar 2018",226
"Apr 2018",146
"May 2018",329
"Jun 2018",213
"Jul 2018",55
"Aug 2018",251
"Sep 2018",87
"Oct 2018",164
"Nov 2018",97
"Dec 2018",182
"Jan 2019",258
"Feb 2019",5
"Mar 2019",227
"Apr 2019",308
"May 2019",38
"Jun 2019",204
"Jul 2019",90
"Aug 2019",221
"Sep 2019",203
"Oct 2019",100
"Nov 2019",208
"Dec 2019",126
"Jan 2020",253
"Feb 2020",264
"Mar 2020",-1411
"Apr 2020",-20477
"May 2020",2619
"Jun 2020",4615
"Jul 2020",1585
"Aug 2020",1534
"Sep 2020",1046
"Oct 2020",673
"Nov 2020",268
"Dec 2020",-243
"Jan 2021",398
"Feb 2021",527
"Mar 2021",831
"Apr 2021",319
"May 2021",451
"Jun 2021",778
"Jul 2021",939
"Aug 2021",465
"Sep 2021",480
"Oct 2021",860
"Nov 2021",631
"Dec 2021",566
"Jan 2022",251
"Feb 2022",862
"Mar 2022",494
"Apr 2022",272
"May 2022",286
"Jun 2022",420
"Jul 2022",690
"Aug 2022",243
"Sep 2022",255
"Oct 2022",361
"Nov 2022",258
"Dec 2022",136
"Jan 2023",482
"Feb 2023",287
"Mar 2023",146
"Apr 2023",278
"May 2023",303
"Jun 2023",240
"Jul 2023",184
"Aug 2023",210
"Sep 2023",246
"Oct 2023",165
"Nov 2023",182
"Dec 2023",290
"Jan 2024",229
"Feb 2024",275
